centroid_0,centroid_1,centroid_2,centroid_3,centroid_4,centroid_5,centroid_6,centroid_7,centroid_8,centroid_9,centroid_10,centroid_11,centroid_12,centroid_13,centroid_14,centroid_15,centroid_16,centroid_17,centroid_18,centroid_19,centroid_20,centroid_21,centroid_22,centroid_23,centroid_24,centroid_25,centroid_26,centroid_27,centroid_28,centroid_29,centroid_30,centroid_31,centroid_32,centroid_33,centroid_34,centroid_35,centroid_36,centroid_37,centroid_38,centroid_39,centroid_40,centroid_41,centroid_42,centroid_43,centroid_44,centroid_45,centroid_46,centroid_47,centroid_48,centroid_49,centroid_50,centroid_51,centroid_52,centroid_53,centroid_54,centroid_55,centroid_56,centroid_57,centroid_58,centroid_59,centroid_60,centroid_61,centroid_62,centroid_63,centroid_64,centroid_65,centroid_66,centroid_67,centroid_68,centroid_69,centroid_70,centroid_71,centroid_72,centroid_73,centroid_74,centroid_75,centroid_76,centroid_77,centroid_78,centroid_79,centroid_80,centroid_81,centroid_82,centroid_83,centroid_84,centroid_85,centroid_86,centroid_87,centroid_88,centroid_89,centroid_90,centroid_91,centroid_92
162.31089672320934,162.31089672320934,114.57300886076823,114.57300886076823,114.57300886076823,161.46093530398247,161.46093530398247,161.46093530398247,161.46093530398247,161.46093530398247,161.46093530398247,161.46093530398247,136.20137959869103,139.46567738267805,139.46567738267805,139.46567738267805,139.46567738267805,161.46093530398247,161.46093530398247,161.46093530398247,161.46093530398247,161.46093530398247,161.46093530398247,161.46093530398247,161.46093530398247,161.46093530398247,161.46093530398247,161.46093530398247,161.46093530398247,87.08625366971708,87.08625366971708,87.08625366971708,87.08625366971708,87.08625366971708,87.08625366971708,87.08625366971708,87.08625366971708,87.08625366971708,87.08625366971708,87.08625366971708,87.08625366971708,162.31089672320934,162.31089672320934,162.31089672320934,105.97543356514194,105.97543356514194,105.97543356514194,105.97543356514194,105.97543356514194,105.97543356514194,105.97543356514194,105.97543356514194,105.97543356514194,105.97543356514194,128.58267771837563,128.58267771837563,128.58267771837563,128.58267771837563,128.58267771837563,128.58267771837563,128.58267771837563,128.58267771837563,154.27588986430604,154.27588986430604,154.27588986430604,154.27588986430604,159.3969165358687,159.3969165358687,159.3969165358687,159.3969165358687,159.3969165358687,159.3969165358687,184.53194946081712,184.53194946081712,159.3969165358687,159.3969165358687,184.53194946081712,184.53194946081712,184.53194946081712,184.53194946081712,153.3220619673041,153.3220619673041,153.3220619673041,153.3220619673041,154.27588986430604,154.27588986430604,153.3220619673041,153.3220619673041,153.3220619673041,153.3220619673041,105.97543356514194,105.97543356514194,105.97543356514194
217.58706189800716,217.58706189800716,145.30137347615175,145.30137347615175,145.30137347615175,217.8423504238163,217.8423504238163,217.8423504238163,217.8423504238163,217.8423504238163,217.8423504238163,217.8423504238163,175.4236369620916,179.8409226499783,179.8409226499783,179.8409226499783,179.8409226499783,217.8423504238163,217.8423504238163,217.8423504238163,217.8423504238163,217.8423504238163,217.8423504238163,217.8423504238163,217.8423504238163,217.8423504238163,217.8423504238163,217.8423504238163,217.8423504238163,104.97848547251073,104.97848547251073,104.97848547251073,104.97848547251073,104.97848547251073,104.97848547251073,104.97848547251073,104.97848547251073,104.97848547251073,104.97848547251073,104.97848547251073,104.97848547251073,217.58706189800716,217.58706189800716,217.58706189800716,133.64018757551912,133.64018757551912,133.64018757551912,133.64018757551912,133.64018757551912,133.64018757551912,133.64018757551912,133.64018757551912,133.64018757551912,133.64018757551912,169.2022877662696,169.2022877662696,169.2022877662696,169.2022877662696,169.2022877662696,169.2022877662696,169.2022877662696,169.2022877662696,199.49218423891332,199.49218423891332,199.49218423891332,199.49218423891332,205.87785129234928,205.87785129234928,205.87785129234928,205.87785129234928,205.87785129234928,205.87785129234928,273.8857856904781,273.8857856904781,205.87785129234928,205.87785129234928,273.8857856904781,273.8857856904781,273.8857856904781,273.8857856904781,208.08440513684383,208.08440513684383,208.08440513684383,208.08440513684383,199.49218423891332,199.49218423891332,208.08440513684383,208.08440513684383,208.08440513684383,208.08440513684383,133.64018757551912,133.64018757551912,133.64018757551912
254.1846929815577,254.1846929815577,165.64622461476455,165.64622461476455,165.64622461476455,255.17175314195163,255.17175314195163,255.17175314195163,255.17175314195163,255.17175314195163,255.17175314195163,255.17175314195163,201.39218417788632,206.57284818294244,206.57284818294244,206.57284818294244,206.57284818294244,255.17175314195163,255.17175314195163,255.17175314195163,255.17175314195163,255.17175314195163,255.17175314195163,255.17175314195163,255.17175314195163,255.17175314195163,255.17175314195163,255.17175314195163,255.17175314195163,116.82469978041937,116.82469978041937,116.82469978041937,116.82469978041937,116.82469978041937,116.82469978041937,116.82469978041937,116.82469978041937,116.82469978041937,116.82469978041937,116.82469978041937,116.82469978041937,254.1846929815577,254.1846929815577,254.1846929815577,151.95666192006308,151.95666192006308,151.95666192006308,151.95666192006308,151.95666192006308,151.95666192006308,151.95666192006308,151.95666192006308,151.95666192006308,151.95666192006308,196.09600404686793,196.09600404686793,196.09600404686793,196.09600404686793,196.09600404686793,196.09600404686793,196.09600404686793,196.09600404686793,229.42930551449663,229.42930551449663,229.42930551449663,229.42930551449663,236.65227454072323,236.65227454072323,236.65227454072323,236.65227454072323,236.65227454072323,236.65227454072323,333.04580020834635,333.04580020834635,236.65227454072323,236.65227454072323,333.04580020834635,333.04580020834635,333.04580020834635,333.04580020834635,244.34184134378557,244.34184134378557,244.34184134378557,244.34184134378557,229.42930551449663,229.42930551449663,244.34184134378557,244.34184134378557,244.34184134378557,244.34184134378557,151.95666192006308,151.95666192006308,151.95666192006308
289.2900193729074,289.2900193729074,185.1614942772712,185.1614942772712,185.1614942772712,290.97901245397,290.97901245397,290.97901245397,290.97901245397,290.97901245397,290.97901245397,290.97901245397,226.301838134407,232.21475294889757,232.21475294889757,232.21475294889757,232.21475294889757,290.97901245397,290.97901245397,290.97901245397,290.97901245397,290.97901245397,290.97901245397,290.97901245397,290.97901245397,290.97901245397,290.97901245397,290.97901245397,290.97901245397,128.1878729549784,128.1878729549784,128.1878729549784,128.1878729549784,128.1878729549784,128.1878729549784,128.1878729549784,128.1878729549784,128.1878729549784,128.1878729549784,128.1878729549784,128.1878729549784,289.2900193729074,289.2900193729074,289.2900193729074,169.5262638633159,169.5262638633159,169.5262638633159,169.5262638633159,169.5262638633159,169.5262638633159,169.5262638633159,169.5262638633159,169.5262638633159,169.5262638633159,221.8931023823148,221.8931023823148,221.8931023823148,221.8931023823148,221.8931023823148,221.8931023823148,221.8931023823148,221.8931023823148,258.14571098887006,258.14571098887006,258.14571098887006,258.14571098887006,266.1718401698027,266.1718401698027,266.1718401698027,266.1718401698027,266.1718401698027,266.1718401698027,389.7935064799749,389.7935064799749,266.1718401698027,266.1718401698027,389.7935064799749,389.7935064799749,389.7935064799749,389.7935064799749,279.12084464190684,279.12084464190684,279.12084464190684,279.12084464190684,258.14571098887006,258.14571098887006,279.12084464190684,279.12084464190684,279.12084464190684,279.12084464190684,169.5262638633159,169.5262638633159,169.5262638633159
300.4258968740629,300.4258968740629,191.3519979615566,191.3519979615566,191.3519979615566,302.3375524346437,302.3375524346437,302.3375524346437,302.3375524346437,302.3375524346437,302.3375524346437,302.3375524346437,234.20351242632702,240.3487069588034,240.3487069588034,240.3487069588034,240.3487069588034,302.3375524346437,302.3375524346437,302.3375524346437,302.3375524346437,302.3375524346437,302.3375524346437,302.3375524346437,302.3375524346437,302.3375524346437,302.3375524346437,302.3375524346437,302.3375524346437,131.79242296216725,131.79242296216725,131.79242296216725,131.79242296216725,131.79242296216725,131.79242296216725,131.79242296216725,131.79242296216725,131.79242296216725,131.79242296216725,131.79242296216725,131.79242296216725,300.4258968740629,300.4258968740629,300.4258968740629,175.09957581042653,175.09957581042653,175.09957581042653,175.09957581042653,175.09957581042653,175.09957581042653,175.09957581042653,175.09957581042653,175.09957581042653,175.09957581042653,230.07628586126367,230.07628586126367,230.07628586126367,230.07628586126367,230.07628586126367,230.07628586126367,230.07628586126367,230.07628586126367,267.2549376079661,267.2549376079661,267.2549376079661,267.2549376079661,275.5358398964582,275.5358398964582,275.5358398964582,275.5358398964582,275.5358398964582,275.5358398964582,407.79463538183086,407.79463538183086,275.5358398964582,275.5358398964582,407.79463538183086,407.79463538183086,407.79463538183086,407.79463538183086,290.15320810785647,290.15320810785647,290.15320810785647,290.15320810785647,267.2549376079661,267.2549376079661,290.15320810785647,290.15320810785647,290.15320810785647,290.15320810785647,175.09957581042653,175.09957581042653,175.09957581042653
334.7302634851422,334.7302634851422,210.42200909188077,210.42200909188077,210.42200909188077,337.3278367317907,337.3278367317907,337.3278367317907,337.3278367317907,337.3278367317907,337.3278367317907,337.3278367317907,258.54483009287253,265.40556847012255,265.40556847012255,265.40556847012255,265.40556847012255,337.3278367317907,337.3278367317907,337.3278367317907,337.3278367317907,337.3278367317907,337.3278367317907,337.3278367317907,337.3278367317907,337.3278367317907,337.3278367317907,337.3278367317907,337.3278367317907,142.89633506085397,142.89633506085397,142.89633506085397,142.89633506085397,142.89633506085397,142.89633506085397,142.89633506085397,142.89633506085397,142.89633506085397,142.89633506085397,142.89633506085397,142.89633506085397,334.7302634851422,334.7302634851422,334.7302634851422,192.2683113906942,192.2683113906942,192.2683113906942,192.2683113906942,192.2683113906942,192.2683113906942,192.2683113906942,192.2683113906942,192.2683113906942,192.2683113906942,255.28480006038797,255.28480006038797,255.28480006038797,255.28480006038797,255.28480006038797,255.28480006038797,255.28480006038797,255.28480006038797,295.3161523126398,295.3161523126398,295.3161523126398,295.3161523126398,304.38188993031525,304.38188993031525,304.38188993031525,304.38188993031525,304.38188993031525,304.38188993031525,463.2475913970604,463.2475913970604,304.38188993031525,304.38188993031525,463.2475913970604,463.2475913970604,463.2475913970604,463.2475913970604,324.13869698229325,324.13869698229325,324.13869698229325,324.13869698229325,295.3161523126398,295.3161523126398,324.13869698229325,324.13869698229325,324.13869698229325,324.13869698229325,192.2683113906942,192.2683113906942,192.2683113906942
368.7813320379506,368.7813320379506,229.35121025345438,229.35121025345438,229.35121025345438,372.05975826214194,372.05975826214194,372.05975826214194,372.05975826214194,372.05975826214194,372.05975826214194,372.05975826214194,282.7064152906455,290.2774140492388,290.2774140492388,290.2774140492388,290.2774140492388,372.05975826214194,372.05975826214194,372.05975826214194,372.05975826214194,372.05975826214194,372.05975826214194,372.05975826214194,372.05975826214194,372.05975826214194,372.05975826214194,372.05975826214194,372.05975826214194,153.91825761559448,153.91825761559448,153.91825761559448,153.91825761559448,153.91825761559448,153.91825761559448,153.91825761559448,153.91825761559448,153.91825761559448,153.91825761559448,153.91825761559448,153.91825761559448,368.7813320379506,368.7813320379506,368.7813320379506,209.31027572242812,209.31027572242812,209.31027572242812,209.31027572242812,209.31027572242812,209.31027572242812,209.31027572242812,209.31027572242812,209.31027572242812,209.31027572242812,280.3071785476678,280.3071785476678,280.3071785476678,280.3071785476678,280.3071785476678,280.3071785476678,280.3071785476678,280.3071785476678,323.17016741272676,323.17016741272676,323.17016741272676,323.17016741272676,333.0149452587112,333.0149452587112,333.0149452587112,333.0149452587112,333.0149452587112,333.0149452587112,518.2910914895708,518.2910914895708,333.0149452587112,333.0149452587112,518.2910914895708,518.2910914895708,518.2910914895708,518.2910914895708,357.8732423416121,357.8732423416121,357.8732423416121,357.8732423416121,323.17016741272676,323.17016741272676,357.8732423416121,357.8732423416121,357.8732423416121,357.8732423416121,209.31027572242812,209.31027572242812,209.31027572242812
