Tahun,centroid_0,centroid_1,centroid_2,centroid_3,centroid_4,centroid_5,centroid_6,centroid_7,centroid_8,centroid_9,centroid_10,centroid_11,centroid_12,centroid_13,centroid_14,centroid_15,centroid_16,centroid_17,centroid_18,centroid_19,centroid_20,centroid_21,centroid_22,centroid_23,centroid_24,centroid_25,centroid_26,centroid_27,centroid_28,centroid_29,centroid_30,centroid_31,centroid_32,centroid_33,centroid_34,centroid_35,centroid_36,centroid_37,centroid_38,centroid_39,centroid_40,centroid_41,centroid_42,centroid_43,centroid_44,centroid_45,centroid_46,centroid_47,centroid_48,centroid_49,centroid_50,centroid_51,centroid_52,centroid_53,centroid_54,centroid_55,centroid_56,centroid_57,centroid_58,centroid_59,centroid_60,centroid_61,centroid_62,centroid_63,centroid_64,centroid_65,centroid_66,centroid_67,centroid_68,centroid_69,centroid_70,centroid_71,centroid_72,centroid_73,centroid_74,centroid_75,centroid_76,centroid_77,centroid_78,centroid_79,centroid_80,centroid_81,centroid_82,centroid_83,centroid_84,centroid_85,centroid_86,centroid_87,centroid_88,centroid_89,centroid_90,centroid_91,centroid_92
2,185.0786823,185.0786823,197.8834366,197.8834366,207.2356766,165.3564306,181.5774167,173.246094,173.246094,174.7082864,174.2257206,175.9982763,160.9161313,155.3266101,160.3071675,160.3071675,157.3919187,182.7297759,182.7297759,143.6843343,143.6843343,149.4666716,172.3659334,149.4666716,158.6989019,158.0746434,180.3782299,178.9132006,184.9280659,149.6544387,138.5190973,155.2818071,140.1240206,140.3318792,147.0536621,173.2636185,147.0520356,178.2159546,161.9424241,169.595025,167.2713336,167.9568874,168.8402466,168.8402466,167.7643686,174.4351613,172.3651318,164.8661957,199.3869664,168.5841322,160.6980049,160.6980049,160.6980049,186.1837618,198.0459927,186.6270296,186.6270296,171.4139524,179.1123331,183.4481809,183.4481809,183.4481809,152.9657798,143.3767682,145.6310158,145.6310158,143.7592792,139.7931147,143.7592792,139.7931147,142.5726365,151.995694,151.6810755,151.4982525,156.938578,176.6998263,155.3020959,172.2622849,172.2622849,172.2622849,158.6378492,138.7838559,147.487338,162.6507412,155.6014837,155.6014837,166.0694874,182.8398089,182.3576418,182.3576418,169.706924,175.4857448,169.8810787
5,227.653617,227.653617,241.5724445,241.5724445,263.2822741,193.6319648,221.0706448,205.2340257,205.2340257,209.4846576,203.3633475,211.3327677,188.3518466,192.6544608,200.5682678,200.5682678,185.296553,219.1729308,219.1729308,173.6652643,173.6652643,176.6692245,207.9113016,176.6692245,187.3711728,181.711196,219.9286554,215.7321912,218.4103088,173.3580726,164.013045,193.478463,173.7531517,170.7635002,182.297734,205.5258999,176.9266866,214.2747296,190.2054299,198.4359903,199.1001334,194.7910435,202.7764212,202.7764212,204.2852128,209.4709643,205.5232698,199.9302788,254.1015244,199.1828887,196.1198506,196.1198506,196.1198506,229.2779173,253.3778922,227.9369734,227.9369734,209.7809402,219.1273657,216.6549714,216.6549714,216.6549714,179.4209547,170.2434377,170.0277194,170.0277194,168.1282974,163.3467707,168.1282974,163.3467707,175.2518605,185.1688782,188.0386403,182.9150433,197.6888566,221.5427531,197.5322647,217.3564402,217.3564402,217.3564402,200.8267545,171.6473344,169.2531458,197.056554,180.8666023,180.8666023,203.7040379,220.8063684,214.6891517,214.6891517,196.636699,205.2788289,198.7835015
10,255.8419283,255.8419283,270.4983692,270.4983692,300.3899984,212.3528287,247.2185981,226.4128199,226.4128199,232.5096413,222.6549918,234.7272756,206.5166773,217.3687461,227.2246194,227.2246194,203.7718491,243.3014704,243.3014704,193.5152487,193.5152487,194.6796815,231.4454282,194.6796815,206.354711,197.3606505,246.1144785,240.1095668,240.5784669,189.0519408,180.8922566,218.7679727,196.0185626,190.9118813,205.6323763,226.8863375,196.706305,238.1487762,208.917999,217.5312189,220.1735684,212.5575897,225.2451216,225.2451216,228.4651895,232.6677145,227.4768424,223.1457528,290.3273226,219.4419281,219.5721946,219.5721946,219.5721946,257.809998,290.0124243,255.2877506,255.2877506,235.1832245,245.6207991,238.6407562,238.6407562,238.6407562,196.9365825,188.0315106,186.1804601,186.1804601,184.2627079,178.9413404,184.2627079,178.9413404,196.8883503,207.1324127,212.1105118,203.7156924,224.6690868,251.2326726,225.492311,247.2126947,247.2126947,247.2126947,228.7594809,193.4058168,183.6640045,219.8361958,197.5943091,197.5943091,228.621385,245.9435343,236.0954245,236.0954245,214.4665532,225.0044429,217.9194204
20,282.8808333,282.8808333,298.2448107,298.2448107,335.9846185,230.3103308,272.3003428,246.7280277,246.7280277,254.5957585,241.1600001,257.1678492,223.940819,241.0752818,252.7940319,252.7940319,221.4937966,266.4461448,266.4461448,212.5558302,212.5558302,211.9557443,254.0199275,211.9557443,224.5641766,212.371983,271.2325487,263.4929307,261.8426965,204.1058759,197.0832017,243.0262777,217.3760793,210.2386921,228.0155254,247.375782,215.6793898,261.0493349,226.8675445,235.8478206,240.3877132,229.5996874,246.7976385,246.7976385,251.6592037,254.9185942,248.5352362,245.4145929,325.075978,238.874885,242.068246,242.068246,242.068246,285.1786548,325.1531471,281.5232729,281.5232729,259.5497055,271.0339365,259.7300488,259.7300488,259.7300488,213.7379932,205.0942572,201.6745567,201.6745567,199.7392218,193.900026,199.7392218,193.900026,217.6425908,228.2003622,235.2008289,223.6681745,250.5491714,279.7119561,252.3122587,275.8515309,275.8515309,275.8515309,255.5532226,214.2770754,197.4872461,241.6869751,213.6399271,213.6399271,252.5227026,270.0557074,256.6288353,256.6288353,231.5693775,243.9257255,236.2750531
25,291.4579344,291.4579344,307.0463518,307.0463518,347.2757065,236.0066899,280.2566066,253.1722824,253.1722824,261.6017693,247.0300355,264.2862983,229.4679891,248.5953109,260.9049903,260.9049903,227.1154346,273.787944,273.787944,218.5957565,218.5957565,217.4359417,261.1808596,217.4359417,230.3404618,217.1337778,279.2003354,270.9104454,268.5879936,208.8811848,202.2191853,250.7213354,224.1509684,216.3694142,235.1157587,253.875307,221.6979053,268.3136974,232.5613796,241.6580909,246.7999093,235.0056679,253.6343842,253.6343842,259.0166541,261.9768698,255.2152395,252.4785658,336.0987147,245.0392779,249.2042934,249.2042934,249.2042934,293.8603576,336.3002528,289.8455303,289.8455303,267.2790781,279.0953225,266.4198536,266.4198536,266.4198536,219.0676247,210.5067879,206.5894907,206.5894907,204.6485783,198.6451205,204.6485783,198.6451205,224.2261125,234.8833967,242.5253852,229.9973678,258.7586792,288.7459645,260.8199037,284.9361515,284.9361515,284.9361515,264.0525546,220.8977169,201.8721626,248.6183336,218.7298111,218.7298111,260.1045191,277.7044101,263.1423069,263.1423069,236.9946213,249.9278085,242.0977045
50,317.8799223,317.8799223,334.1597331,334.1597331,382.0582031,253.5544754,304.7660885,273.0239804,273.0239804,283.1839717,265.1128353,286.2148699,246.4945833,271.7609606,285.8910135,285.8910135,244.4330399,296.4045518,296.4045518,237.20191,237.20191,234.3178355,283.2403013,234.3178355,248.134462,231.8026131,303.7453141,293.7602967,289.3670605,223.5916507,218.0407193,274.4261651,245.021194,235.2552663,256.9882161,273.8972663,240.238102,290.6917592,250.10139,259.5567828,266.5528501,251.6589347,274.6951609,274.6951609,281.6814759,283.7200756,275.793167,274.2393221,370.0545481,264.0288544,271.1870771,271.1870771,271.1870771,320.6045738,370.6392081,315.4824653,315.4824653,291.0896158,303.9286362,287.0279749,287.0279749,287.0279749,235.485696,227.1802325,221.7300755,221.7300755,219.7719816,213.2625103,219.7719816,213.2625103,244.5068262,255.4706619,265.0888758,249.4946159,284.0482863,316.5754675,287.02793,312.9215667,312.9215667,312.9215667,290.2349729,241.2927789,215.3800144,269.9705676,234.4093338,234.4093338,283.4605065,301.2664421,283.2072294,283.2072294,253.7072292,268.4173849,260.0345369
100,344.1068144,344.1068144,361.0729135,361.0729135,416.5838712,270.9726908,329.0945963,292.7290966,292.7290966,304.6068146,283.0621146,307.9815244,263.3954558,294.7555587,310.6925438,310.6925438,261.6227746,318.854162,318.854162,255.6706786,255.6706786,251.075076,305.1368596,251.075076,265.797074,246.3631361,328.1090565,316.4414283,309.992698,238.1934969,233.7454295,297.9559621,265.7373172,254.0016683,278.6991706,293.7713866,258.6414009,312.9045848,267.5118877,277.3233135,286.1599383,268.1892364,295.6004282,295.6004282,304.1789441,305.3027329,296.2191504,295.8394005,403.7596569,282.8782147,293.0075433,293.0075433,293.0075433,347.1513148,404.72461,340.9301013,340.9301013,314.7243403,328.5785846,307.4839291,307.4839291,307.4839291,251.7825388,243.730563,236.7588645,236.7588645,234.783716,227.7719675,234.783716,227.7719675,264.6377903,275.905914,287.4857611,268.8478994,309.1511588,344.1994818,313.0424404,340.700342,340.700342,340.700342,316.2240643,261.5372469,228.7881264,291.1651401,249.9730814,249.9730814,306.644037,324.6544958,303.1239956,303.1239956,270.2964338,286.7704372,277.8389266
