Tahun,centroid_0,centroid_1,centroid_2,centroid_3,centroid_4,centroid_5,centroid_6,centroid_7,centroid_8,centroid_9,centroid_10,centroid_11,centroid_12,centroid_13,centroid_14,centroid_15,centroid_16,centroid_17,centroid_18,centroid_19,centroid_20,centroid_21,centroid_22,centroid_23,centroid_24,centroid_25,centroid_26,centroid_27,centroid_28,centroid_29,centroid_30,centroid_31,centroid_32,centroid_33,centroid_34,centroid_35,centroid_36,centroid_37,centroid_38,centroid_39,centroid_40,centroid_41,centroid_42,centroid_43,centroid_44,centroid_45,centroid_46,centroid_47,centroid_48,centroid_49,centroid_50,centroid_51,centroid_52,centroid_53,centroid_54,centroid_55,centroid_56,centroid_57,centroid_58,centroid_59,centroid_60,centroid_61,centroid_62,centroid_63,centroid_64,centroid_65,centroid_66,centroid_67,centroid_68,centroid_69,centroid_70,centroid_71,centroid_72,centroid_73,centroid_74,centroid_75,centroid_76,centroid_77,centroid_78,centroid_79,centroid_80,centroid_81,centroid_82,centroid_83,centroid_84,centroid_85,centroid_86,centroid_87,centroid_88,centroid_89,centroid_90,centroid_91,centroid_92
2,107.8236087,107.8236087,86.88340281,86.88340281,90.91424258,84.99707001,107.7213357,98.73682993,98.73682993,96.18804337,80.69839225,80.51208558,103.2475873,85.75258556,79.1500553,79.1500553,92.8737474,90.10128967,90.10128967,104.3166781,104.3166781,100.4551142,89.32783201,100.4551142,68.4134641,81.74378354,122.094236,109.3861168,134.7805543,81.45756955,73.0823039,79.75271088,70.20443014,86.21552849,89.27546294,73.3822192,74.50245665,130.555204,116.5980822,102.2586581,105.6610655,98.01400122,75.34275342,75.34275342,88.34474963,100.0987786,81.9115082,90.03845855,93.7509053,88.44841071,90.35036672,90.35036672,90.35036672,83.69264503,84.30841135,83.72103944,83.72103944,77.39494817,87.78223108,79.69326352,79.69326352,79.69326352,84.44715752,94.35535758,102.9239421,102.9239421,80.61273444,65.45185456,80.61273444,65.45185456,130.0855169,121.9985211,94.93854845,105.4438741,158.3597443,169.6180686,150.7275163,174.5101883,174.5101883,174.5101883,102.335527,68.30219645,110.8262209,107.8379763,117.7311354,117.7311354,114.3439223,140.2164385,178.4029493,178.4029493,90.23407704,94.70446421,96.38504496
5,152.2699112,152.2699112,114.1715759,114.1715759,121.07474,111.2683808,156.6645958,139.7056795,139.7056795,134.923244,100.5943819,99.70938936,149.1201519,112.8455643,100.8542301,100.8542301,124.5380531,115.6223873,115.6223873,138.4874724,138.4874724,139.2956293,120.0255688,139.2956293,82.92911597,108.8384099,180.7665401,159.8162607,197.5434094,105.5695642,94.84247494,98.68142644,93.05360196,118.5552485,121.057507,97.69287947,100.642788,203.7082129,168.0539044,143.2763247,148.4812133,130.965569,94.2657298,94.2657298,114.1887105,128.5277743,109.2154113,114.0389909,124.5859297,109.3553976,122.1164175,122.1164175,122.1164175,107.2066589,105.0712711,100.9772992,100.9772992,97.0323342,120.0691195,98.08724268,98.08724268,98.08724268,114.3744276,132.4650238,141.4460592,141.4460592,105.8910182,81.8117028,105.8910182,81.8117028,176.2222048,166.8640798,124.0788558,141.8334717,235.4221494,251.9557611,206.2481379,259.5243651,259.5243651,259.5243651,142.7423143,86.29632844,143.1880016,141.2704055,175.2258849,175.2258849,153.7382293,206.1076785,253.4387345,253.4387345,117.0728808,129.774593,127.4998992
10,181.6972308,181.6972308,132.2387209,132.2387209,141.0436136,128.6622744,189.0692926,166.8306227,166.8306227,160.5693172,113.7672583,112.4196749,179.4917813,130.7834737,115.2242824,115.2242824,145.5025787,132.5195746,132.5195746,161.1115114,161.1115114,165.0114298,140.3501416,165.0114298,92.53974056,126.7774101,219.6127107,193.205404,239.0978807,121.5338028,109.2496016,111.2138832,108.1817419,139.9669571,142.0999855,113.7886519,117.9499619,252.14187,202.1221361,170.4335891,176.8318771,152.7823741,106.7943867,106.7943867,131.2996614,147.3502431,127.292971,129.9294316,145.0013988,123.1976421,143.1483072,143.1483072,143.1483072,122.774982,118.8180908,112.4024448,112.4024448,110.0339925,141.4458489,110.2656574,110.2656574,110.2656574,134.1888845,157.6969389,166.9510527,166.9510527,122.6274416,92.64334585,122.6274416,92.64334585,206.7687066,196.5689835,143.3722749,165.9265516,286.444167,306.470478,243.0076205,315.8111475,315.8111475,315.8111475,169.4951233,98.21000953,164.6143163,163.4055827,213.2924118,213.2924118,179.8206883,249.7334128,303.1189534,303.1189534,134.8425041,152.9940699,148.10064
20,209.9246223,209.9246223,149.5691602,149.5691602,160.1982366,145.3469148,220.1526558,192.8495195,192.8495195,185.1696464,126.4029976,124.6116859,208.6249773,147.9899471,129.0083816,129.0083816,165.612255,148.7277623,148.7277623,182.8130329,182.8130329,189.6786432,159.8459598,189.6786432,101.7584824,143.9849298,256.8748902,225.233072,278.9579272,136.8470836,123.0692634,123.2353166,122.6930169,160.5055821,162.2844362,129.2281033,134.5514187,298.6005968,234.8012018,196.4834891,204.0265145,173.7095774,118.8121752,118.8121752,147.7128962,165.4052071,144.6334003,145.1719239,164.584407,136.4754553,163.3226007,163.3226007,163.3226007,137.7084914,132.0043704,123.3617186,123.3617186,122.5054952,161.9509211,121.9474852,121.9474852,121.9474852,153.1953872,181.8999976,191.4160547,191.4160547,138.6814207,103.0333179,138.6814207,103.0333179,236.0696445,225.0626403,161.8789857,189.0372124,335.3857113,358.7623032,278.2681987,369.8027805,369.8027805,369.8027805,195.1570601,109.6378985,185.1669518,184.6381761,249.8067384,249.8067384,204.8396092,291.5802645,350.7734121,350.7734121,151.8875535,175.2667495,167.8613653
25,218.8787271,218.8787271,155.0666066,155.0666066,166.2743383,150.6395052,230.012713,201.1030604,201.1030604,192.9731987,130.4112225,128.4791543,217.8664154,153.4480698,133.3808816,133.3808816,171.9913124,153.8692155,153.8692155,189.6970448,189.6970448,197.5034121,166.0302932,197.5034121,104.6827902,149.4433844,268.6949502,235.3926752,291.6020653,141.7046605,127.4530443,127.0486755,127.2961868,167.0207077,168.687213,134.1257031,139.817622,313.3379242,245.1674371,204.7468646,212.653016,180.3479652,122.6243779,122.6243779,152.9193931,171.1324823,150.1340156,150.0070457,170.7963983,140.6873547,169.7221556,169.7221556,169.7221556,142.4455996,136.1872341,126.8381464,126.8381464,126.4616221,168.4554033,125.6531167,125.6531167,125.6531167,159.2245032,189.5775304,199.1766795,199.1766795,143.7739569,106.3291556,143.7739569,106.3291556,245.3642926,234.1012081,167.7495611,196.3682221,350.9106215,375.3499673,289.4533241,386.9296463,386.9296463,386.9296463,203.2973685,113.2629772,191.6865218,191.3734378,261.3895696,261.3895696,212.7759445,304.8546437,365.8900416,365.8900416,157.2944704,182.3319404,174.1297307
50,246.4620851,246.4620851,172.0016362,172.0016362,184.9919313,166.9434704,260.3868812,226.5283125,226.5283125,217.0122492,142.758666,140.3929936,246.3349112,170.2619619,146.850484,146.850484,191.6421682,169.7075987,169.7075987,210.9034264,210.9034264,221.6078206,185.0812967,221.6078206,113.6911981,166.2582989,305.1069594,266.6896029,330.5526688,156.668555,140.957398,138.795829,141.4763739,187.0907253,188.4111372,149.2128894,156.0403015,358.7366531,277.1009004,230.2024126,239.2271831,200.7976954,134.3679697,134.3679697,168.9581452,188.775506,167.0788072,164.9017667,189.9326024,153.6622226,189.4361543,189.4361543,189.4361543,157.0383875,149.0726567,137.5473745,137.5473745,138.6485763,188.4926337,137.068413,137.068413,137.068413,177.7973554,213.2283745,223.0834904,223.0834904,159.4616499,116.482071,159.4616499,116.482071,273.9967031,261.9447564,185.8340245,218.9515922,398.7355202,426.4487072,323.9094003,439.6894114,439.6894114,439.6894114,228.373805,124.4301285,211.7702303,212.1215903,297.0707888,297.0707888,237.2240361,345.7467216,412.4572207,412.4572207,173.9506215,204.0964487,193.4395971
100,273.841772,273.841772,188.8116202,188.8116202,203.5713164,183.1270497,290.5367712,251.7658285,251.7658285,240.873799,155.0149378,152.2188629,274.5932001,186.9517029,160.220629,160.220629,211.1479252,185.4290338,185.4290338,231.9532235,231.9532235,245.534246,203.9916306,245.534246,122.6330894,182.9490548,341.250108,297.755439,369.2156672,171.5219585,154.3620376,150.4562434,155.5518568,207.0125491,207.989423,164.1886743,172.1431953,403.8001648,308.798572,255.4700008,265.6051307,221.0964279,146.0248486,146.0248486,184.8784697,206.2882563,183.8984812,179.6865075,208.9275078,166.5412862,209.004588,209.004588,209.004588,171.5234244,161.8629355,148.1775274,148.1775274,150.7455438,208.3819123,148.3994205,148.3994205,148.3994205,196.2330685,236.7045844,246.8137772,246.8137772,175.0335075,126.5600189,175.0335075,126.5600189,302.4176964,289.5827122,203.7849551,241.3682103,446.2072873,477.1701421,358.1110583,492.0596066,492.0596066,492.0596066,253.265081,135.5148233,231.7056439,232.7165418,332.4885435,332.4885435,261.4916068,386.3368589,458.6805551,458.6805551,190.4837863,225.7002513,212.6068825
