Longitude,Latitude,Centroid,Stasiun,time,PU GPM,CH GPM,Rasio,Kategori,PU GSMaP,CH GSMaP,Rasio.1,Kategori.1,PU Stasiun,CH Stasiun,Rasio.2,Kategori.2,Unnamed: 17,Unnamed: 18,Unnamed: 19
100.4998105,-0.865066621,centroid_0,Stasiun Maritim Teluk Bayur ,2012-07-24,328.1484967,126.68267467560996,0,Tidak terdefenisi,334.3930815,27.380798134000045,0,Tidak terdefenisi,560.2281774,56.00000000000003,0,Tidak terdefenisi,,,
100.4941317,-0.86808408,centroid_1,Stasiun Maritim Teluk Bayur ,2015-05-14,328.1484967,54.95000177099992,0,Tidak terdefenisi,334.3930815,61.73473518000002,0,Tidak terdefenisi,560.2281774,93.6,0,Tidak terdefenisi,,,
100.2707124,-0.457451228,centroid_2,Stasiun Klimatologi Padang Pariaman,2012-07-24,334.4444025,157.93809729099996,0,Tidak terdefenisi,283.4006697,29.03259378699996,0,Tidak terdefenisi,500.9131363,0.0,0,Tidak terdefenisi,,,
100.2707124,-0.457451228,centroid_3,Stasiun Klimatologi Padang Pariaman,2018-12-10,334.4444025,445.33101568,0,Tidak terdefenisi,283.4006697,262.38331835500003,0,Tidak terdefenisi,500.9131363,355.0,0,Tidak terdefenisi,,GPM,
100.1842438,-0.312075145,centroid_4,Stasiun Klimatologi Padang Pariaman,2021-01-09,359.1062742,162.8541379099999,0,Tidak terdefenisi,293.8718972,67.10568841000001,0,Tidak terdefenisi,500.9131363,359.30000000000007,0,Tidak terdefenisi,,Tidak terdefenisi,93.0
103.0555409,-4.096976768,centroid_5,Stasiun Meteorologi Fatmawati Soekarno,2011-04-25,284.5383195,290.179765935,0,Tidak terdefenisi,339.9422929,164.98880714,0,Tidak terdefenisi,383.7847141,66.0,0,Tidak terdefenisi,,Hujan Ringan,0.0
102.6551064,-3.920483646,centroid_6,Stasiun Meteorologi Fatmawati Soekarno,2020-10-05,304.1457369,243.95412147599995,0,Tidak terdefenisi,364.0699612,59.53396752800001,0,Tidak terdefenisi,383.7847141,70.09999999999991,0,Tidak terdefenisi,,Hujan Lebat,0.0
103.1089597,-3.885428574,centroid_7,Stasiun Meteorologi Fatmawati Soekarno,2014-03-18,293.3725202,140.79444251899983,0,Tidak terdefenisi,315.2236383,134.29210393199992,0,Tidak terdefenisi,383.7847141,63.99999999999999,0,Tidak terdefenisi,,,
103.1089597,-3.885428574,centroid_8,Stasiun Meteorologi Fatmawati Soekarno,2020-06-21,293.3725202,127.86977146999983,0,Tidak terdefenisi,315.2236383,39.707831522999925,0,Tidak terdefenisi,383.7847141,107.19999999999992,0,Tidak terdefenisi,,GSMaP,
102.5337756,-3.713668936,centroid_9,Stasiun Meteorologi Fatmawati Soekarno,2020-11-24,303.9501839,253.9843512568,0,Tidak terdefenisi,338.8227785,71.20151455399996,0,Tidak terdefenisi,383.7847141,202.39999999999992,0,Tidak terdefenisi,,Tidak terdefenisi,92.0
102.241437,-3.196778976,centroid_10,Stasiun Meteorologi Fatmawati Soekarno,2012-12-15,307.3841284,456.2183098147801,0,Tidak terdefenisi,284.8062837,272.00210474999994,0,Tidak terdefenisi,383.7847141,195.0,0,Tidak terdefenisi,,Hujan Ringan,0.0
102.3591858,-3.199795443,centroid_11,Stasiun Meteorologi Fatmawati Soekarno,2016-04-08,308.2353091,188.7650293590001,0,Tidak terdefenisi,289.0286497,95.33118509700004,0,Tidak terdefenisi,383.7847141,130.79999999999998,0,Tidak terdefenisi,,Hujan Lebat,0.0
105.0046572,-5.638906435,centroid_12,Stasiun Meteorologi Maritim Panjang,2014-11-26,256.0453804,235.4952912769999,0,Tidak terdefenisi,302.8393719,48.27163619000004,0,Tidak terdefenisi,272.2086938,26.699999999999985,0,Tidak terdefenisi,,,
104.62723,-5.445525723,centroid_13,Stasiun Meteorologi Radin Inten II,2014-11-05,262.0773502,100.77369871400012,0,Tidak terdefenisi,292.9268333,31.897383481000027,0,Tidak terdefenisi,323.1961031,23.00000000000003,0,Tidak terdefenisi,,Stasiun,
104.3438292,-5.212548102,centroid_14,Stasiun Meteorologi Radin Inten II,2020-08-04,272.2139579,31.738146258000143,0,Tidak terdefenisi,284.9642163,10.77474336,0,Tidak terdefenisi,323.1961031,0.0,0,Tidak terdefenisi,,Tidak terdefenisi,92.0
104.3438292,-5.212548102,centroid_15,Stasiun Meteorologi Radin Inten II,2020-09-30,272.2139579,47.10194295200014,0,Tidak terdefenisi,284.9642163,13.191992106,0,Tidak terdefenisi,323.1961031,3.000000000000042,0,Tidak terdefenisi,,Hujan Ringan,0.0
