index,time,centroid_0,centroid_1,centroid_2,centroid_3,centroid_4,centroid_5,centroid_6,centroid_7,centroid_8,centroid_9,centroid_10,centroid_11,centroid_12,centroid_13,centroid_14,centroid_15,centroid_16,centroid_17,centroid_18,centroid_19,centroid_20,centroid_21,centroid_22,centroid_23,centroid_24,centroid_25,centroid_26,centroid_27,centroid_28,centroid_29,centroid_30,centroid_31,centroid_32,centroid_33,centroid_34,centroid_35,centroid_36,centroid_37,centroid_38,centroid_39,centroid_40,centroid_41,centroid_42,centroid_43,centroid_44,centroid_45,centroid_46,centroid_47,centroid_48,centroid_49,centroid_50,centroid_51,centroid_52,centroid_53,centroid_54,centroid_55,centroid_56,centroid_57,centroid_58,centroid_59,centroid_60,centroid_61,centroid_62,centroid_63,centroid_64,centroid_65,centroid_66,centroid_67,centroid_68,centroid_69,centroid_70,centroid_71,centroid_72,centroid_73,centroid_74,centroid_75,centroid_76,centroid_77,centroid_78,centroid_79,centroid_80,centroid_81,centroid_82,centroid_83,centroid_84,centroid_85,centroid_86,centroid_87,centroid_88,centroid_89,centroid_90,centroid_91,centroid_92
214,2000-12-31,212.0,212.0,89.0,89.0,89.0,130.0,130.0,130.0,130.0,130.0,130.0,130.0,62.3,80.0,80.0,80.0,80.0,130.0,130.0,130.0,130.0,130.0,130.0,130.0,130.0,130.0,130.0,130.0,130.0,47.2,47.2,47.2,47.2,47.2,47.2,47.2,47.2,47.2,47.2,47.2,47.2,212.0,212.0,212.0,133.0,133.0,133.0,133.0,133.0,133.0,133.0,133.0,133.0,133.0,330.0,330.0,330.0,330.0,330.0,330.0,330.0,330.0,86.0,86.0,86.0,86.0,209.0,209.0,209.0,209.0,209.0,209.0,207.0,207.0,209.0,209.0,207.0,207.0,207.0,207.0,93.0,93.0,93.0,93.0,86.0,86.0,93.0,93.0,93.0,93.0,133.0,133.0,133.0
579,2001-12-31,265.0,265.0,142.0,142.0,142.0,184.0,184.0,184.0,184.0,184.0,184.0,184.0,97.7,127.5,127.5,127.5,127.5,184.0,184.0,184.0,184.0,184.0,184.0,184.0,184.0,184.0,184.0,184.0,184.0,70.3,70.3,70.3,70.3,70.3,70.3,70.3,70.3,70.3,70.3,70.3,70.3,265.0,265.0,265.0,183.0,183.0,183.0,183.0,183.0,183.0,183.0,183.0,183.0,183.0,175.0,175.0,175.0,175.0,175.0,175.0,175.0,175.0,102.9,102.9,102.9,102.9,127.0,127.0,127.0,127.0,127.0,127.0,173.0,173.0,127.0,127.0,173.0,173.0,173.0,173.0,145.0,145.0,145.0,145.0,102.9,102.9,145.0,145.0,145.0,145.0,183.0,183.0,183.0
944,2002-12-31,248.0,248.0,180.0,180.0,180.0,124.0,124.0,124.0,124.0,124.0,124.0,124.0,145.1,263.0,263.0,263.0,263.0,124.0,124.0,124.0,124.0,124.0,124.0,124.0,124.0,124.0,124.0,124.0,124.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,248.0,248.0,248.0,104.0,104.0,104.0,104.0,104.0,104.0,104.0,104.0,104.0,104.0,269.0,269.0,269.0,269.0,269.0,269.0,269.0,269.0,70.0,70.0,70.0,70.0,49.0,49.0,49.0,49.0,49.0,49.0,74.0,74.0,49.0,49.0,74.0,74.0,74.0,74.0,99.0,99.0,99.0,99.0,70.0,70.0,99.0,99.0,99.0,99.0,104.0,104.0,104.0
1309,2003-12-31,199.0,199.0,136.0,136.0,136.0,129.0,129.0,129.0,129.0,129.0,129.0,129.0,133.0,91.0,91.0,91.0,91.0,129.0,129.0,129.0,129.0,129.0,129.0,129.0,129.0,129.0,129.0,129.0,129.0,83.6,83.6,83.6,83.6,83.6,83.6,83.6,83.6,83.6,83.6,83.6,83.6,199.0,199.0,199.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,199.0,199.0,199.0,199.0,199.0,199.0,199.0,199.0,75.5,75.5,75.5,75.5,80.0,80.0,80.0,80.0,80.0,80.0,83.0,83.0,80.0,80.0,83.0,83.0,83.0,83.0,118.0,118.0,118.0,118.0,75.5,75.5,118.0,118.0,118.0,118.0,97.0,97.0,97.0
1675,2004-12-31,150.0,150.0,235.0,235.0,235.0,121.0,121.0,121.0,121.0,121.0,121.0,121.0,137.2,114.2,114.2,114.2,114.2,121.0,121.0,121.0,121.0,121.0,121.0,121.0,121.0,121.0,121.0,121.0,121.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,150.0,150.0,150.0,183.0,183.0,183.0,183.0,183.0,183.0,183.0,183.0,183.0,183.0,126.0,126.0,126.0,126.0,126.0,126.0,126.0,126.0,105.0,105.0,105.0,105.0,96.0,96.0,96.0,96.0,96.0,96.0,103.0,103.0,96.0,96.0,103.0,103.0,103.0,103.0,76.0,76.0,76.0,76.0,105.0,105.0,76.0,76.0,76.0,76.0,183.0,183.0,183.0
2040,2005-12-31,305.0,305.0,171.9,171.9,171.9,137.0,137.0,137.0,137.0,137.0,137.0,137.0,88.4,76.4,76.4,76.4,76.4,137.0,137.0,137.0,137.0,137.0,137.0,137.0,137.0,137.0,137.0,137.0,137.0,67.2,67.2,67.2,67.2,67.2,67.2,67.2,67.2,67.2,67.2,67.2,67.2,305.0,305.0,305.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,211.0,211.0,211.0,211.0,211.0,211.0,211.0,211.0,88.0,88.0,88.0,88.0,87.0,87.0,87.0,87.0,87.0,87.0,64.0,64.0,87.0,87.0,64.0,64.0,64.0,64.0,190.0,190.0,190.0,190.0,88.0,88.0,190.0,190.0,190.0,190.0,140.0,140.0,140.0
2405,2006-12-31,289.0,289.0,224.7,224.7,224.7,124.0,124.0,124.0,124.0,124.0,124.0,124.0,73.0,101.3,101.3,101.3,101.3,124.0,124.0,124.0,124.0,124.0,124.0,124.0,124.0,124.0,124.0,124.0,124.0,98.4,98.4,98.4,98.4,98.4,98.4,98.4,98.4,98.4,98.4,98.4,98.4,289.0,289.0,289.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,153.0,153.0,153.0,153.0,153.0,153.0,153.0,153.0,62.0,62.0,62.0,62.0,123.0,123.0,123.0,123.0,123.0,123.0,88.0,88.0,123.0,123.0,88.0,88.0,88.0,88.0,159.0,159.0,159.0,159.0,62.0,62.0,159.0,159.0,159.0,159.0,100.0,100.0,100.0
2770,2007-12-31,186.0,186.0,134.0,134.0,134.0,130.0,130.0,130.0,130.0,130.0,130.0,130.0,105.0,107.2,107.2,107.2,107.2,130.0,130.0,130.0,130.0,130.0,130.0,130.0,130.0,130.0,130.0,130.0,130.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,186.0,186.0,186.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,424.0,424.0,424.0,424.0,424.0,424.0,424.0,424.0,105.0,105.0,105.0,105.0,76.0,76.0,76.0,76.0,76.0,76.0,147.0,147.0,76.0,76.0,147.0,147.0,147.0,147.0,219.0,219.0,219.0,219.0,105.0,105.0,219.0,219.0,219.0,219.0,0.0,0.0,0.0
3136,2008-12-31,177.4,177.4,173.8,173.8,173.8,224.0,224.0,224.0,224.0,224.0,224.0,224.0,133.0,72.0,72.0,72.0,72.0,224.0,224.0,224.0,224.0,224.0,224.0,224.0,224.0,224.0,224.0,224.0,224.0,80.5,80.5,80.5,80.5,80.5,80.5,80.5,80.5,80.5,80.5,80.5,80.5,177.4,177.4,177.4,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,162.0,162.0,162.0,162.0,162.0,162.0,162.0,162.0,72.5,72.5,72.5,72.5,86.0,86.0,86.0,86.0,86.0,86.0,71.0,71.0,86.0,86.0,71.0,71.0,71.0,71.0,83.0,83.0,83.0,83.0,72.5,72.5,83.0,83.0,83.0,83.0,110.0,110.0,110.0
3501,2009-12-31,221.0,221.0,196.0,196.0,196.0,125.0,125.0,125.0,125.0,125.0,125.0,125.0,129.8,84.7,84.7,84.7,84.7,125.0,125.0,125.0,125.0,125.0,125.0,125.0,125.0,125.0,125.0,125.0,125.0,74.5,74.5,74.5,74.5,74.5,74.5,74.5,74.5,74.5,74.5,74.5,74.5,221.0,221.0,221.0,127.0,127.0,127.0,127.0,127.0,127.0,127.0,127.0,127.0,127.0,172.0,172.0,172.0,172.0,172.0,172.0,172.0,172.0,99.5,99.5,99.5,99.5,107.0,107.0,107.0,107.0,107.0,107.0,85.0,85.0,107.0,107.0,85.0,85.0,85.0,85.0,87.0,87.0,87.0,87.0,99.5,99.5,87.0,87.0,87.0,87.0,127.0,127.0,127.0
