Tahun,centroid_0,centroid_1,centroid_2,centroid_3,centroid_4,centroid_5,centroid_6,centroid_7,centroid_8,centroid_9,centroid_10,centroid_11,centroid_12,centroid_13,centroid_14,centroid_15,centroid_16,centroid_17,centroid_18,centroid_19,centroid_20,centroid_21,centroid_22,centroid_23,centroid_24,centroid_25,centroid_26,centroid_27,centroid_28,centroid_29,centroid_30,centroid_31,centroid_32,centroid_33,centroid_34,centroid_35,centroid_36,centroid_37,centroid_38,centroid_39,centroid_40,centroid_41,centroid_42,centroid_43,centroid_44,centroid_45,centroid_46,centroid_47,centroid_48,centroid_49,centroid_50,centroid_51,centroid_52,centroid_53,centroid_54,centroid_55,centroid_56,centroid_57,centroid_58,centroid_59,centroid_60,centroid_61,centroid_62,centroid_63,centroid_64,centroid_65,centroid_66,centroid_67,centroid_68,centroid_69,centroid_70,centroid_71,centroid_72,centroid_73,centroid_74,centroid_75,centroid_76,centroid_77,centroid_78,centroid_79,centroid_80,centroid_81,centroid_82,centroid_83,centroid_84,centroid_85,centroid_86,centroid_87,centroid_88,centroid_89,centroid_90,centroid_91,centroid_92
2,210.8824833,210.8824833,148.7368367,148.7368367,148.7368367,141.8729058,141.8729058,141.8729058,141.8729058,141.8729058,141.8729058,141.8729058,101.6252197,100.8105255,100.8105255,100.8105255,100.8105255,141.8729058,141.8729058,141.8729058,141.8729058,141.8729058,141.8729058,141.8729058,141.8729058,141.8729058,141.8729058,141.8729058,141.8729058,72.95954027,72.95954027,72.95954027,72.95954027,72.95954027,72.95954027,72.95954027,72.95954027,72.95954027,72.95954027,72.95954027,72.95954027,210.8824833,210.8824833,210.8824833,121.3732099,121.3732099,121.3732099,121.3732099,121.3732099,121.3732099,121.3732099,121.3732099,121.3732099,121.3732099,190.2560245,190.2560245,190.2560245,190.2560245,190.2560245,190.2560245,190.2560245,190.2560245,62.73041596,62.73041596,62.73041596,62.73041596,95.02321835,95.02321835,95.02321835,95.02321835,95.02321835,95.02321835,92.30391031,92.30391031,95.02321835,95.02321835,92.30391031,92.30391031,92.30391031,92.30391031,124.1964574,124.1964574,124.1964574,124.1964574,62.73041596,62.73041596,124.1964574,124.1964574,124.1964574,124.1964574,121.3732099,121.3732099,121.3732099
5,257.6846354,257.6846354,185.2794556,185.2794556,185.2794556,163.0386238,163.0386238,163.0386238,163.0386238,163.0386238,163.0386238,163.0386238,132.2081414,123.167238,123.167238,123.167238,123.167238,163.0386238,163.0386238,163.0386238,163.0386238,163.0386238,163.0386238,163.0386238,163.0386238,163.0386238,163.0386238,163.0386238,163.0386238,90.08581393,90.08581393,90.08581393,90.08581393,90.08581393,90.08581393,90.08581393,90.08581393,90.08581393,90.08581393,90.08581393,90.08581393,257.6846354,257.6846354,257.6846354,178.8429527,178.8429527,178.8429527,178.8429527,178.8429527,178.8429527,178.8429527,178.8429527,178.8429527,178.8429527,248.8089583,248.8089583,248.8089583,248.8089583,248.8089583,248.8089583,248.8089583,248.8089583,110.863653,110.863653,110.863653,110.863653,129.138773,129.138773,129.138773,129.138773,129.138773,129.138773,120.2583281,120.2583281,129.138773,129.138773,120.2583281,120.2583281,120.2583281,120.2583281,157.9652827,157.9652827,157.9652827,157.9652827,110.863653,110.863653,157.9652827,157.9652827,157.9652827,157.9652827,178.8429527,178.8429527,178.8429527
10,288.6717325,288.6717325,209.473849,209.473849,209.473849,177.0521708,177.0521708,177.0521708,177.0521708,177.0521708,177.0521708,177.0521708,152.4566966,137.9693271,137.9693271,137.9693271,137.9693271,177.0521708,177.0521708,177.0521708,177.0521708,177.0521708,177.0521708,177.0521708,177.0521708,177.0521708,177.0521708,177.0521708,177.0521708,101.4248973,101.4248973,101.4248973,101.4248973,101.4248973,101.4248973,101.4248973,101.4248973,101.4248973,101.4248973,101.4248973,101.4248973,288.6717325,288.6717325,288.6717325,216.8929231,216.8929231,216.8929231,216.8929231,216.8929231,216.8929231,216.8929231,216.8929231,216.8929231,216.8929231,287.5760953,287.5760953,287.5760953,287.5760953,287.5760953,287.5760953,287.5760953,287.5760953,142.7320442,142.7320442,142.7320442,142.7320442,151.7262387,151.7262387,151.7262387,151.7262387,151.7262387,151.7262387,138.766585,138.766585,151.7262387,151.7262387,138.766585,138.766585,138.766585,138.766585,180.3231833,180.3231833,180.3231833,180.3231833,142.7320442,142.7320442,180.3231833,180.3231833,180.3231833,180.3231833,216.8929231,216.8929231,216.8929231
20,318.3953,318.3953,232.6816919,232.6816919,232.6816919,190.4943015,190.4943015,190.4943015,190.4943015,190.4943015,190.4943015,190.4943015,171.879597,152.1678463,152.1678463,152.1678463,152.1678463,190.4943015,190.4943015,190.4943015,190.4943015,190.4943015,190.4943015,190.4943015,190.4943015,190.4943015,190.4943015,190.4943015,190.4943015,112.3016183,112.3016183,112.3016183,112.3016183,112.3016183,112.3016183,112.3016183,112.3016183,112.3016183,112.3016183,112.3016183,112.3016183,318.3953,318.3953,318.3953,253.3913682,253.3913682,253.3913682,253.3913682,253.3913682,253.3913682,253.3913682,253.3913682,253.3913682,253.3913682,324.7624639,324.7624639,324.7624639,324.7624639,324.7624639,324.7624639,324.7624639,324.7624639,173.3009701,173.3009701,173.3009701,173.3009701,173.3926781,173.3926781,173.3926781,173.3926781,173.3926781,173.3926781,156.5201495,156.5201495,173.3926781,173.3926781,156.5201495,156.5201495,156.5201495,156.5201495,201.7694184,201.7694184,201.7694184,201.7694184,173.3009701,173.3009701,201.7694184,201.7694184,201.7694184,201.7694184,253.3913682,253.3913682,253.3913682
25,327.8240118,327.8240118,240.0435291,240.0435291,240.0435291,194.7583246,194.7583246,194.7583246,194.7583246,194.7583246,194.7583246,194.7583246,178.0407999,156.6718058,156.6718058,156.6718058,156.6718058,194.7583246,194.7583246,194.7583246,194.7583246,194.7583246,194.7583246,194.7583246,194.7583246,194.7583246,194.7583246,194.7583246,194.7583246,115.7518592,115.7518592,115.7518592,115.7518592,115.7518592,115.7518592,115.7518592,115.7518592,115.7518592,115.7518592,115.7518592,115.7518592,327.8240118,327.8240118,327.8240118,264.9691615,264.9691615,264.9691615,264.9691615,264.9691615,264.9691615,264.9691615,264.9691615,264.9691615,264.9691615,336.5584758,336.5584758,336.5584758,336.5584758,336.5584758,336.5584758,336.5584758,336.5584758,182.9978409,182.9978409,182.9978409,182.9978409,180.2655615,180.2655615,180.2655615,180.2655615,180.2655615,180.2655615,162.1518168,162.1518168,180.2655615,180.2655615,162.1518168,162.1518168,162.1518168,162.1518168,208.57245,208.57245,208.57245,208.57245,182.9978409,182.9978409,208.57245,208.57245,208.57245,208.57245,264.9691615,264.9691615,264.9691615
50,356.8694093,356.8694093,262.7218642,262.7218642,262.7218642,207.8937609,207.8937609,207.8937609,207.8937609,207.8937609,207.8937609,207.8937609,197.0205492,170.546373,170.546373,170.546373,170.546373,207.8937609,207.8937609,207.8937609,207.8937609,207.8937609,207.8937609,207.8937609,207.8937609,207.8937609,207.8937609,207.8937609,207.8937609,126.380418,126.380418,126.380418,126.380418,126.380418,126.380418,126.380418,126.380418,126.380418,126.380418,126.380418,126.380418,356.8694093,356.8694093,356.8694093,300.6348615,300.6348615,300.6348615,300.6348615,300.6348615,300.6348615,300.6348615,300.6348615,300.6348615,300.6348615,372.8964037,372.8964037,372.8964037,372.8964037,372.8964037,372.8964037,372.8964037,372.8964037,212.8693091,212.8693091,212.8693091,212.8693091,201.4376615,201.4376615,201.4376615,201.4376615,201.4376615,201.4376615,179.5003176,179.5003176,201.4376615,201.4376615,179.5003176,179.5003176,179.5003176,179.5003176,229.5293699,229.5293699,229.5293699,229.5293699,212.8693091,212.8693091,229.5293699,229.5293699,229.5293699,229.5293699,300.6348615,300.6348615,300.6348615
100,385.70034,385.70034,285.2327459,285.2327459,285.2327459,220.9322072,220.9322072,220.9322072,220.9322072,220.9322072,220.9322072,220.9322072,215.8601551,184.3184925,184.3184925,184.3184925,184.3184925,220.9322072,220.9322072,220.9322072,220.9322072,220.9322072,220.9322072,220.9322072,220.9322072,220.9322072,220.9322072,220.9322072,220.9322072,136.9304972,136.9304972,136.9304972,136.9304972,136.9304972,136.9304972,136.9304972,136.9304972,136.9304972,136.9304972,136.9304972,136.9304972,385.70034,385.70034,385.70034,336.0372116,336.0372116,336.0372116,336.0372116,336.0372116,336.0372116,336.0372116,336.0372116,336.0372116,336.0372116,408.9660181,408.9660181,408.9660181,408.9660181,408.9660181,408.9660181,408.9660181,408.9660181,242.5202111,242.5202111,242.5202111,242.5202111,222.45343,222.45343,222.45343,222.45343,222.45343,222.45343,196.7207198,196.7207198,222.45343,222.45343,196.7207198,196.7207198,196.7207198,196.7207198,250.3315471,250.3315471,250.3315471,250.3315471,242.5202111,242.5202111,250.3315471,250.3315471,250.3315471,250.3315471,336.0372116,336.0372116,336.0372116
