Tahun,centroid_0,centroid_1,centroid_2,centroid_3,centroid_4,centroid_5,centroid_6,centroid_7,centroid_8,centroid_9,centroid_10,centroid_11,centroid_12,centroid_13,centroid_14,centroid_15,centroid_16,centroid_17,centroid_18,centroid_19,centroid_20,centroid_21,centroid_22,centroid_23,centroid_24,centroid_25,centroid_26,centroid_27,centroid_28,centroid_29,centroid_30,centroid_31,centroid_32,centroid_33,centroid_34,centroid_35,centroid_36,centroid_37,centroid_38,centroid_39,centroid_40,centroid_41,centroid_42,centroid_43,centroid_44,centroid_45,centroid_46,centroid_47,centroid_48,centroid_49,centroid_50,centroid_51,centroid_52,centroid_53,centroid_54,centroid_55,centroid_56,centroid_57,centroid_58,centroid_59,centroid_60,centroid_61,centroid_62,centroid_63,centroid_64,centroid_65,centroid_66,centroid_67,centroid_68,centroid_69,centroid_70,centroid_71,centroid_72,centroid_73,centroid_74,centroid_75,centroid_76,centroid_77,centroid_78,centroid_79,centroid_80,centroid_81,centroid_82,centroid_83,centroid_84,centroid_85,centroid_86,centroid_87,centroid_88,centroid_89,centroid_90,centroid_91,centroid_92
2,273.3879802,273.3879802,243.5347114,243.5347114,248.2937742,271.3325233,288.3024013,258.2770897,258.2770897,273.9592466,240.6952101,240.6314996,236.8150954,237.0568475,240.1182996,240.1182996,303.5195637,288.8231377,288.8231377,303.9808016,303.9808016,272.6178535,288.6648248,272.6178535,232.8442517,245.2056439,294.9202586,277.9328823,307.9372676,239.5654889,229.9414811,246.2295887,220.1986954,244.2485773,247.9453527,215.6744726,217.5530231,323.5370207,263.7583445,268.0553484,272.295015,281.8639001,219.179301,219.179301,235.5075788,234.1233143,222.3542574,258.8497474,247.9390785,253.5998614,233.9653901,233.9653901,233.9653901,241.771566,212.7496608,220.6423772,220.6423772,211.0769555,227.6332161,198.0522237,198.0522237,198.0522237,244.5329023,262.9107445,273.8857911,273.8857911,207.4259811,194.1935438,207.4259811,194.1935438,278.6463656,269.41731,259.2639462,282.4269546,331.1924187,357.3723215,321.2255845,335.235063,335.235063,335.235063,264.8447789,204.5690604,291.5708357,293.3781333,318.1487323,318.1487323,280.1660163,313.6298865,380.1393102,380.1393102,236.1643188,239.8929306,239.434111
5,334.3930815,334.3930815,283.4006697,283.4006697,293.8718972,339.9422929,364.0699612,315.2236383,315.2236383,338.8227785,284.8062837,289.0286497,302.8393719,292.9268333,284.9642163,284.9642163,365.8421103,342.2393537,342.2393537,373.8780517,373.8780517,326.3737568,343.3253779,326.3737568,284.7956185,292.4638753,371.3131377,346.4022111,390.5505198,275.5116593,279.5190377,292.3217881,261.5353498,292.0589379,299.6993856,258.3096771,260.7927737,401.3155354,320.2578439,310.5251178,334.8317244,330.0567499,260.4709882,260.4709882,276.6959661,278.49544,266.3474949,307.8673683,297.1701215,296.8460913,280.1636504,280.1636504,280.1636504,287.3568012,245.0537189,258.5089694,258.5089694,253.9950827,272.1239736,236.1968926,236.1968926,236.1968926,288.3608201,324.9073474,338.7877246,338.7877246,258.7826943,234.1531407,258.7826943,234.1531407,353.9980412,343.9471501,309.9018647,357.8604871,434.2556352,505.5923583,406.0536404,439.5876184,439.5876184,439.5876184,322.5178963,241.6588039,344.5179313,340.7002239,402.8212683,402.8212683,330.9548083,393.2587654,465.1248298,465.1248298,283.3919743,298.6598298,284.4526175
10,374.7837667,374.7837667,309.7954029,309.7954029,324.0485805,385.3679304,414.2346785,352.9272086,352.9272086,381.7680806,314.0116526,321.0717743,346.553188,329.9176252,314.6561154,314.6561154,407.105059,377.6055366,377.6055366,420.1561131,420.1561131,361.9648423,379.5154202,361.9648423,319.1919438,323.7529366,421.8918708,391.7348645,445.2476812,299.3111519,312.343694,322.8388347,288.9038119,323.7135567,333.9650586,286.5378923,289.4212511,452.8116799,357.6654287,338.6438006,376.2364676,361.9646098,287.809678,287.809678,303.9662625,307.8736482,295.4748461,340.3212985,329.7653558,325.4788585,310.7509187,310.7509187,310.7509187,317.5381934,266.4418161,283.5799484,283.5799484,282.4106174,301.5807264,261.4519824,261.4519824,261.4519824,317.3787153,365.954493,381.7584519,381.7584519,292.7853071,260.6098708,292.7853071,260.6098708,403.887407,393.2923893,343.4285729,407.8040494,502.4924523,603.7269198,462.2171945,508.6780901,508.6780901,508.6780901,360.7025183,266.2154414,379.5735156,372.0315654,458.8818548,458.8818548,364.5814079,445.9800119,521.3926387,521.3926387,314.6607916,337.5686305,314.258786
20,413.5274818,413.5274818,335.1138647,335.1138647,352.9947796,428.9412924,462.3538798,389.0933784,389.0933784,422.9622454,342.0261436,351.8083086,388.4845299,365.400081,343.1372978,343.1372978,446.68547,411.5296284,411.5296284,464.5471408,464.5471408,396.1046659,414.2297776,396.1046659,352.1857248,353.7661554,470.408206,435.219034,497.7145115,322.1401967,343.8298924,352.1115185,315.1562978,354.0774271,366.8335149,313.615074,316.8823739,502.208018,393.5476821,365.6159162,415.9528913,392.5713951,314.0336056,314.0336056,330.1245854,336.0539308,323.4145007,371.4518876,361.031487,352.9440961,340.0909607,340.0909607,340.0909607,346.4889094,286.9577925,307.6286334,307.6286334,309.6674805,329.8363509,285.6772709,285.6772709,285.6772709,345.213377,405.3279006,422.9770052,422.9770052,325.4014297,285.9878015,325.4014297,285.9878015,451.7424845,440.6255274,375.5881964,455.7111133,567.9468456,697.8599472,516.090624,574.9513293,574.9513293,574.9513293,397.3301244,289.7707576,413.1996738,402.0853405,512.6565153,512.6565153,396.8368496,496.5514973,575.3660718,575.3660718,344.654592,374.8908863,342.8495784
25,425.8175046,425.8175046,343.1452183,343.1452183,362.1768998,442.7633437,477.6179319,400.5657696,400.5657696,436.0295837,350.9127136,361.5583471,401.7857105,376.6555889,352.1719085,352.1719085,459.240904,422.2908025,422.2908025,478.6285665,478.6285665,406.9342731,425.2416346,406.9342731,362.651792,363.2867485,485.7982342,449.0127922,514.3576896,329.381874,353.8177342,361.3972041,323.4839363,363.7092515,377.2598273,322.204317,325.5934081,517.8771949,404.9300113,374.1718309,428.5514704,402.2802754,322.352185,322.352185,338.4223542,344.9930921,332.2773316,381.3269254,370.9495206,361.6564357,349.3980131,349.3980131,349.3980131,355.6724624,293.4657337,315.2571968,315.2571968,318.3137208,338.7994116,293.3618554,293.3618554,293.3618554,354.0429028,417.8176703,436.0520798,436.0520798,335.7476985,294.0380194,335.7476985,294.0380194,466.922753,455.6402298,385.7896576,470.9078726,588.7098516,727.7201983,533.179994,595.9740843,595.9740843,595.9740843,408.9488894,297.2428179,423.8663394,411.6187986,529.7145544,529.7145544,407.0687057,512.5934467,592.4871643,592.4871643,354.1690253,386.7300034,351.9189589
50,463.6772468,463.6772468,367.8860165,367.8860165,390.4626652,485.34254,524.6392501,435.9067755,435.9067755,476.2838663,378.2880286,391.5935996,442.7603508,411.3284803,380.003267,380.003267,497.9182522,455.4408854,455.4408854,522.0067727,522.0067727,440.2951658,459.1639526,440.2951658,394.89279,392.6151886,533.2076253,491.504831,565.6274417,351.6900534,384.5855465,390.0020051,349.137448,393.3803427,409.37836,348.6637083,352.4279806,566.1465109,439.9935786,400.5285533,467.3617279,432.1887393,347.97779,347.97779,363.9838514,372.5304161,359.5795177,411.7472419,401.5022868,388.4950291,378.0686356,378.0686356,378.0686356,383.9626417,313.5136196,338.7571893,338.7571893,344.9486938,366.4103585,317.034422,317.034422,317.034422,381.2424915,456.292738,476.3301945,476.3301945,367.6196548,318.8369297,367.6196548,318.8369297,513.6859735,501.8934195,417.2155302,517.7218936,652.6708437,819.7054955,585.8242525,660.7352396,660.7352396,660.7352396,444.7408036,320.2606983,456.7252863,440.9868695,582.2622974,582.2622974,438.5882103,562.0110979,645.2291448,645.2291448,383.4784899,423.2007181,379.8574265
100,501.2574385,501.2574385,392.4441325,392.4441325,418.5395729,527.6073383,571.3133702,470.986829,470.986829,516.2409177,405.4612087,421.4070766,483.4324409,445.7453526,407.6291231,407.6291231,536.3100129,488.3461932,488.3461932,565.064681,565.064681,473.4097269,492.8357935,473.4097269,426.8957256,421.727072,580.2669528,533.6831153,616.5186261,373.8335127,415.1261741,418.3955928,374.6015382,422.8323472,441.2597345,374.9277276,379.0644107,614.0594139,474.7982421,426.6906618,505.8854167,461.8763637,373.4141796,373.4141796,389.3566064,399.8644087,386.6801087,441.9429396,431.8294562,415.1354506,406.5275586,406.5275586,406.5275586,412.0439307,333.413475,362.0836615,362.0836615,371.3869985,393.8174304,340.5321941,340.5321941,340.5321941,408.2412428,494.4837118,516.3109019,516.3109019,399.2562735,343.4527287,399.2562735,343.4527287,560.1039018,547.805083,448.409359,564.1902472,716.1595578,911.0115877,638.079794,725.0182087,725.0182087,725.0182087,480.2684359,343.1086183,489.3416079,470.1380913,634.422036,634.422036,469.8749798,611.063857,697.5816867,697.5816867,412.5715381,459.4021389,407.5896009
