Tahun,centroid_0,centroid_1,centroid_2,centroid_3,centroid_4,centroid_5,centroid_6,centroid_7,centroid_8,centroid_9,centroid_10,centroid_11,centroid_12,centroid_13,centroid_14,centroid_15,centroid_16,centroid_17,centroid_18,centroid_19,centroid_20,centroid_21,centroid_22,centroid_23,centroid_24,centroid_25,centroid_26,centroid_27,centroid_28,centroid_29,centroid_30,centroid_31,centroid_32,centroid_33,centroid_34,centroid_35,centroid_36,centroid_37,centroid_38,centroid_39,centroid_40,centroid_41,centroid_42,centroid_43,centroid_44,centroid_45,centroid_46,centroid_47,centroid_48,centroid_49,centroid_50,centroid_51,centroid_52,centroid_53,centroid_54,centroid_55,centroid_56,centroid_57,centroid_58,centroid_59,centroid_60,centroid_61,centroid_62,centroid_63,centroid_64,centroid_65,centroid_66,centroid_67,centroid_68,centroid_69,centroid_70,centroid_71,centroid_72,centroid_73,centroid_74,centroid_75,centroid_76,centroid_77,centroid_78,centroid_79,centroid_80,centroid_81,centroid_82,centroid_83,centroid_84,centroid_85,centroid_86,centroid_87,centroid_88,centroid_89,centroid_90,centroid_91,centroid_92
2,116.8108153,116.8108153,114.2136536,114.2136536,113.3744071,85.23973804,93.68242192,85.68455503,85.68455503,91.35694883,86.36815608,85.60461618,104.7131452,84.08415317,80.12747627,80.12747627,80.81299571,83.37660307,83.37660307,74.35254684,74.35254684,68.46839642,76.43998562,68.46839642,74.11927229,70.36691734,89.65680808,90.44765276,90.37621382,68.26310856,68.85275327,77.28922322,64.475916,66.39769247,75.1071653,94.16118144,69.28079413,100.9018429,97.68370586,81.66077752,92.28573529,78.94693858,78.30294856,78.30294856,93.23181024,104.6028242,81.17705371,88.92531605,108.6182192,88.15592525,81.43893802,81.43893802,81.43893802,96.58896491,104.1861545,91.86536002,91.86536002,91.54618729,109.3668468,109.9540428,109.9540428,109.9540428,76.40987065,72.36705166,78.87460373,78.87460373,65.55847436,67.24323663,65.55847436,67.24323663,67.70911792,71.78324775,75.16595267,82.72861849,87.2846774,91.97165006,80.69508851,89.7141229,89.7141229,89.7141229,80.55898045,85.21915022,79.02294168,89.83997297,87.60754242,87.60754242,96.31731225,102.9807421,98.67698287,98.67698287,94.64058453,93.7785785,94.75094283
5,156.7607651,156.7607651,149.3043459,149.3043459,153.8647045,111.3930897,124.9112947,111.4883113,111.4883113,116.1536209,109.8337004,109.901935,132.5363693,109.5791526,99.48535117,99.48535117,102.7614075,108.4275941,108.4275941,93.31982709,93.31982709,85.42404811,96.74639451,85.42404811,90.86207607,83.96593151,112.6276428,116.3361266,110.6518054,85.62032498,83.63995587,99.37143415,84.01107594,82.18679128,95.02744565,125.3887166,89.07802951,136.0236806,116.9312578,101.47199,119.2849432,99.22540763,97.2418221,97.2418221,112.3922306,136.617532,97.38166728,111.0607309,151.3986907,109.5279801,98.67305457,98.67305457,98.67305457,126.2815026,134.0901737,112.6147806,112.6147806,119.3614818,146.0261199,140.479691,140.479691,140.479691,95.3465876,90.29203155,101.1890879,101.1890879,77.25575626,83.2454015,77.25575626,83.2454015,86.76057763,86.34235939,100.7643398,110.2856533,116.6160693,121.6772448,106.0419383,118.4031249,118.4031249,118.4031249,103.0293093,112.6708262,96.2948361,114.4617975,105.2343987,105.2343987,123.2707191,130.2766495,126.7494521,126.7494521,120.9729339,116.9123924,123.1159692
10,183.211108,183.211108,172.5374375,172.5374375,180.6728045,128.7088842,145.5875259,128.5726432,128.5726432,132.5711755,125.3699326,125.9888742,150.9577646,126.4590606,112.3019487,112.3019487,117.2931658,125.0135299,125.0135299,105.877817,105.877817,96.65016489,110.1910041,96.65016489,101.947269,92.96966217,127.8363341,133.476549,124.0760113,97.11231256,93.43037067,113.9917792,96.94505164,92.64054854,108.2164046,146.0640621,102.1855219,159.2773933,129.674812,114.5887365,137.160768,112.6515186,109.7810043,109.7810043,125.0780961,157.8140543,108.1105315,125.7163016,179.7230852,123.67814,110.0835393,110.0835393,110.0835393,145.9405462,153.8892365,126.3527025,126.3527025,137.7776271,170.2977485,160.6903262,160.6903262,160.6903262,107.884342,102.1599279,115.963218,115.963218,85.00037468,93.84022704,85.00037468,93.84022704,99.37430169,95.98175813,117.7126994,128.5308081,136.036003,141.3449334,122.8237584,137.3977405,137.3977405,137.3977405,117.9066222,130.8462243,107.7303331,130.7635877,116.9049113,116.9049113,141.1162198,148.3489152,145.3358694,145.3358694,138.4072404,132.2289902,141.8960848
20,208.5829119,208.5829119,194.8231768,194.8231768,206.3877777,145.31861,165.4206631,144.9603445,144.9603445,148.3192879,140.2726594,141.4198525,168.6280092,142.6506736,124.5959368,124.5959368,131.2323774,140.9231577,140.9231577,117.9237425,117.9237425,107.4185256,123.0873964,107.4185256,112.5804522,101.6062568,142.424876,149.9180536,136.9528319,108.1357029,102.8215716,128.0159652,109.3516317,102.6680435,120.8675706,165.8963499,114.7585434,181.5829128,141.8987351,127.1706346,154.3076885,125.5301666,121.8088889,121.8088889,137.2466829,178.1462673,118.4019156,139.7742768,206.8925245,137.2513132,121.0287502,121.0287502,121.0287502,164.7979728,172.8809729,139.530447,139.530447,155.4428358,193.5796774,180.0768527,180.0768527,180.0768527,119.910857,113.5438991,130.1349184,130.1349184,92.42919861,104.0030381,92.42919861,104.0030381,111.4736886,105.2281008,133.9699729,146.0319987,154.6640696,160.2106524,138.9212831,155.6178318,155.6178318,155.6178318,132.1772979,148.2805026,118.6995363,146.4006562,128.0995472,128.0995472,158.2340524,165.6842665,163.1644071,163.1644071,155.1306458,146.9210385,159.9104226
25,216.6311863,216.6311863,201.8925104,201.8925104,214.54491,150.5874364,171.7119987,150.1587418,150.1587418,153.3147991,145.0000031,146.3147645,174.2332464,147.7868691,128.4957537,128.4957537,135.6540811,145.9699037,145.9699037,121.7448706,121.7448706,110.8343932,127.178304,110.8343932,115.9534397,104.3458997,147.0525559,155.133518,141.037531,111.6324693,105.8005857,132.464624,113.2871642,105.8488986,124.8806891,172.187416,118.7468734,188.6585209,145.7763265,131.1617804,159.7469202,129.6154455,125.6242943,125.6242943,141.1067208,184.5959163,121.6664798,144.233654,215.5110328,141.5569047,124.5007171,124.5007171,124.5007171,170.7797999,178.9054049,143.7106032,143.7106032,161.0464754,200.9650156,186.2265174,186.2265174,186.2265174,123.7258278,117.1550465,134.6303706,134.6303706,94.78572059,107.2268172,94.78572059,107.2268172,115.3117755,108.161164,139.1269968,151.5836096,160.5731406,166.19511,144.0276325,161.3974877,161.3974877,161.3974877,136.7041465,153.8108881,122.1791138,151.3609428,131.650635,131.650635,163.6640571,171.183271,168.8198569,168.8198569,160.4355329,151.5815521,165.6248107
50,241.4241096,241.4241096,223.6697804,223.6697804,239.6731728,166.8181963,191.092625,166.1725429,166.1725429,168.7036042,159.5627108,161.3936711,191.5003284,163.6090558,140.5092434,140.5092434,149.2752569,161.516539,161.516539,133.5159573,133.5159573,121.357064,139.7804535,121.357064,126.3440172,112.7854426,161.308247,171.1998948,153.6205553,122.4043511,114.9775179,146.1688355,125.4106769,115.6476071,137.2432074,191.5672122,131.0330299,210.4551198,157.7213498,143.4566112,176.5026181,142.2002555,137.3777518,137.3777518,152.9976702,204.4642315,131.7230567,157.9708838,242.0605768,154.8203936,135.1962031,135.1962031,135.1962031,189.2069772,197.4638276,156.5876855,156.5876855,178.3086364,223.7157462,205.1707227,205.1707227,205.1707227,135.477947,128.279282,148.4787308,148.4787308,102.0450492,117.1577545,102.0450492,117.1577545,127.1351039,117.196543,155.0133458,168.6854947,178.776191,184.6303905,159.7578777,179.2018712,179.2018712,179.2018712,150.6492238,170.8473875,132.8980448,166.6412376,142.5898551,142.5898551,180.391331,188.1231005,186.2416204,186.2416204,176.7773787,165.938388,183.228135
100,266.0339659,266.0339659,245.2862504,245.2862504,264.6158924,182.9291108,210.3301478,182.0681007,182.0681007,183.9787807,174.0178897,176.3612374,208.639913,179.314414,152.4340273,152.4340273,162.795856,176.9483804,176.9483804,145.2001282,145.2001282,131.8020371,152.2895506,131.8020371,136.6578723,121.1626693,175.4586763,187.1476401,166.1106685,133.096695,124.0866891,159.7718572,137.4446714,125.3739636,149.5144427,210.803911,143.2284675,232.090776,169.5781728,155.6606588,193.1345946,154.6921412,149.0444237,149.0444237,164.8008187,224.1858422,141.7053774,171.6066801,268.4140831,167.985947,145.8127153,145.8127153,145.8127153,207.4980912,215.8852178,169.3696855,169.3696855,195.4433363,246.298489,223.9750471,223.9750471,223.9750471,147.1432904,139.321378,162.2248369,162.2248369,109.250776,127.0153633,109.250776,127.0153633,138.8711308,126.1652062,170.7823926,185.6611021,196.844833,202.9295479,175.3719731,196.8747899,196.8747899,196.8747899,164.4913329,187.7580921,143.5378289,181.808705,153.4483018,153.4483018,196.9950932,204.9378489,203.5347444,203.5347444,192.9985588,180.1892153,200.7014792
