Tahun,centroid_0,centroid_1,centroid_2,centroid_3,centroid_4,centroid_5,centroid_6,centroid_7,centroid_8,centroid_9,centroid_10,centroid_11,centroid_12,centroid_13,centroid_14,centroid_15,centroid_16,centroid_17,centroid_18,centroid_19,centroid_20,centroid_21,centroid_22,centroid_23,centroid_24,centroid_25,centroid_26,centroid_27,centroid_28,centroid_29,centroid_30,centroid_31,centroid_32,centroid_33,centroid_34,centroid_35,centroid_36,centroid_37,centroid_38,centroid_39,centroid_40,centroid_41,centroid_42,centroid_43,centroid_44,centroid_45,centroid_46,centroid_47,centroid_48,centroid_49,centroid_50,centroid_51,centroid_52,centroid_53,centroid_54,centroid_55,centroid_56,centroid_57,centroid_58,centroid_59,centroid_60,centroid_61,centroid_62,centroid_63,centroid_64,centroid_65,centroid_66,centroid_67,centroid_68,centroid_69,centroid_70,centroid_71,centroid_72,centroid_73,centroid_74,centroid_75,centroid_76,centroid_77,centroid_78,centroid_79,centroid_80,centroid_81,centroid_82,centroid_83,centroid_84,centroid_85,centroid_86,centroid_87,centroid_88,centroid_89,centroid_90,centroid_91,centroid_92
2,134.6039656,134.6039656,106.8687883,106.8687883,114.1791287,112.5610781,132.1052139,119.2738377,119.2738377,126.0289066,104.3359528,105.4895707,130.1727433,110.3722933,107.4104943,107.4104943,124.9992555,116.5686453,116.5686453,128.9144821,128.9144821,123.8723144,117.7876865,123.8723144,91.63597639,103.5729371,143.8165933,132.4725213,155.7931823,108.4483844,96.88070054,108.5941385,91.15923618,106.9930111,111.1691561,92.16406283,93.47717623,160.8646943,135.611277,127.5299206,133.7604097,129.0964797,96.40747465,96.40747465,109.4597603,114.0739589,103.409154,107.4908897,116.6493036,108.7950612,108.4667866,108.4667866,108.4667866,104.3221956,102.0432633,101.3113969,101.3113969,98.47573056,110.3123289,97.82185318,97.82185318,97.82185318,107.3219047,122.636283,129.54396,129.54396,103.3599386,89.59671706,103.3599386,89.59671706,150.0334705,142.8474423,117.8278905,132.5129835,186.0740149,188.499554,172.9206543,205.4630363,205.4630363,205.4630363,125.4498262,87.56130861,139.2310768,131.2030693,154.3618275,154.3618275,139.3014784,168.1992117,206.5142904,206.5142904,108.1467022,113.5141199,115.4581256
5,183.7120021,183.7120021,133.988853,133.988853,149.1852903,144.9250635,178.858539,158.9676765,158.9676765,166.6278029,126.1026693,128.6199133,176.1587593,142.9510686,130.1759541,130.1759541,159.6728656,142.0243745,142.0243745,163.523749,163.523749,166.9857064,145.6004669,166.9857064,113.3522133,133.6350338,201.8551965,184.0860138,221.1951639,133.5678546,120.5160872,130.8884302,114.6150621,136.8624887,144.0309715,118.7346947,117.5617111,235.8687613,185.5850544,167.523774,172.993997,163.0284451,120.2706037,120.2706037,136.942041,142.1746019,130.8747389,128.4871241,145.8404016,129.6377649,137.4247406,137.4247406,137.4247406,127.2601901,123.1888091,119.3365828,119.3365828,117.5762503,140.1172263,123.5654364,123.5654364,123.5654364,138.1175357,159.5916526,170.4193578,170.4193578,133.36904,112.365755,133.36904,112.365755,196.9924133,190.4560317,148.11771,169.1451995,267.1974292,270.3349582,233.269461,295.4085871,295.4085871,295.4085871,158.6854431,108.3601063,175.5307099,163.8184704,217.2720992,217.2720992,180.9844119,238.4147,278.1129361,278.1129361,137.9727452,154.4445248,149.0087802
10,216.2257953,216.2257953,151.9446957,151.9446957,172.3624153,166.3528379,209.8133083,185.2484516,185.2484516,193.5078049,140.5141297,143.9342127,206.6055033,164.5210526,145.2486693,145.2486693,182.6298125,158.8782821,158.8782821,186.4380951,186.4380951,195.5305233,164.0149475,195.5305233,127.7302517,153.5387575,240.2818019,218.258637,264.4969666,150.1991295,136.1647698,145.6491911,130.1448598,156.6386819,165.7883527,136.326765,133.5077689,285.52798,218.6720435,194.0031849,198.9700456,185.4943588,136.0700715,136.0700715,155.1377021,160.7796728,149.059346,142.3884583,165.1674484,143.4374483,156.5974259,156.5974259,156.5974259,142.4471384,137.1890004,131.2708242,131.2708242,130.2224563,159.8506617,140.6099286,140.6099286,140.6099286,158.5069231,184.0593229,197.4824278,197.4824278,153.2376763,127.4408392,153.2376763,127.4408392,228.0833194,221.9770604,168.1722061,193.398914,320.9081883,324.5171166,273.2256222,354.9603681,354.9603681,354.9603681,180.6903135,122.1307201,199.5642256,185.4127039,258.9241731,258.9241731,208.5821409,284.903463,325.5174695,325.5174695,157.7201809,181.5440142,171.222233
20,247.4138064,247.4138064,169.168371,169.168371,194.59447,186.9068735,239.5058662,210.4576021,210.4576021,219.2917481,154.3379484,158.6240563,235.810751,185.2114991,159.7067796,159.7067796,204.6506671,175.044955,175.044955,208.4180861,208.4180861,222.911397,181.6785595,222.911397,141.5220114,172.6308873,277.1415243,251.0378375,306.0330953,166.1522478,151.1753618,159.8080674,145.0414146,175.6084813,186.6585552,153.2015011,148.8036104,333.1622948,250.4098777,219.4028715,223.8868951,207.0442025,151.2253004,151.2253004,172.5914171,178.6261034,166.5024577,155.7229518,183.7064158,156.674436,174.9883259,174.9883259,174.9883259,157.0148238,150.61832,142.7184351,142.7184351,142.3530007,178.7794468,156.9594147,156.9594147,156.9594147,178.0649129,207.5292997,223.4419743,223.4419743,172.2961493,141.901222,172.2961493,141.901222,257.906463,252.2127879,187.4089602,216.6636592,372.4288379,376.4899437,311.5525313,412.0838662,412.0838662,412.0838662,201.7979134,135.3398235,222.6177508,206.1264111,298.8778424,298.8778424,235.0545451,329.4966005,370.9890361,370.9890361,176.6623954,207.5384952,192.5299101
25,257.3070592,257.3070592,174.6319504,174.6319504,201.6467741,193.4268877,248.9247414,218.4542807,218.4542807,227.4707586,158.723048,163.2838705,245.075045,191.7747845,164.293085,164.293085,211.6359758,180.1732392,180.1732392,215.3904322,215.3904322,231.5969751,187.2816927,231.5969751,145.8969414,178.6871653,288.8339197,261.4358369,319.208909,171.2127895,155.9369217,164.2994517,149.7668004,181.6259545,193.2788616,158.5543924,153.6556552,348.2725344,260.4775418,227.4599908,231.7908519,213.8801002,156.032741,156.032741,178.1279681,184.2872291,172.0356453,159.9528309,189.5872234,160.8733849,180.8221646,180.8221646,180.8221646,161.6358878,154.8782792,146.3497699,146.3497699,146.2009711,184.7839098,162.1456896,162.1456896,162.1456896,184.2689681,214.9742891,231.6766885,231.6766885,178.341751,146.4882482,178.341751,146.4882482,267.3667618,261.8039637,193.5111151,224.0435465,388.7718747,392.9764172,323.7103377,430.2042012,430.2042012,430.2042012,208.4935255,139.5299271,229.9306363,212.6970752,311.5516789,311.5516789,243.4519446,343.6421381,385.4132232,385.4132232,182.6711183,215.7842911,199.2889893
50,287.7834876,287.7834876,191.4626521,191.4626521,223.3715844,213.5119644,277.9398368,243.0882616,243.0882616,252.6664178,172.2314638,177.6385521,273.6139486,211.9931598,178.4213204,178.4213204,233.1544047,195.9710548,195.9710548,236.8689298,236.8689298,258.3531294,204.5422933,258.3531294,159.3740295,197.3436908,324.8526542,293.4671503,359.7973534,186.8019229,170.6050335,178.1352804,164.3234768,200.1629407,213.6728915,175.0441162,168.6025082,394.8200292,291.4912486,252.2801606,256.1392009,234.9382648,170.8421896,170.8421896,195.1834608,201.7264773,189.0807766,172.9830858,207.7032074,173.8083587,198.7934596,198.7934596,198.7934596,175.8711982,168.0011967,157.5361932,157.5361932,158.0547462,203.2808175,178.1221474,178.1221474,178.1221474,203.3807247,237.9087771,257.0439445,257.0439445,196.9653876,160.6187043,196.9653876,160.6187043,296.5094634,291.3498357,212.3089653,246.7774855,439.1170341,443.7634373,361.1627837,486.024375,486.024375,486.024375,229.1195364,152.4376529,252.4581745,232.9381804,350.5937691,350.5937691,269.320357,387.2178429,429.8473149,429.8473149,201.181149,241.1856844,220.1105126
100,318.0348827,318.0348827,208.1690784,208.1690784,244.9359821,233.4487361,306.7406893,267.5403491,267.5403491,277.6760363,185.6401356,191.887241,301.9421255,232.0622457,192.4452352,192.4452352,254.5139449,211.6522218,211.6522218,258.1888335,258.1888335,284.9117204,221.6754444,284.9117204,172.751605,215.8624595,360.6054321,325.2619495,400.0860991,202.2759486,185.1648383,191.8689475,178.772669,218.5630526,233.916335,191.4120824,183.4389959,441.0238246,322.2759551,276.9170622,280.3077655,255.8409392,185.5422876,185.5422876,212.1130184,219.0369568,206.0000494,185.9171274,225.6854259,186.6478227,216.6320574,216.6320574,216.6320574,190.0013974,181.0272166,168.6400177,168.6400177,169.8209949,221.6411469,193.9806375,193.9806375,193.9806375,222.3513631,260.6739205,282.2238926,282.2238926,215.4515103,174.6448233,215.4515103,174.6448233,325.4369799,320.6775457,230.9680151,269.3435607,489.0904527,494.1754539,398.3386867,541.4323814,541.4323814,541.4323814,249.5932482,165.25007,274.8193729,253.0298286,389.3475786,389.3475786,294.9977611,430.4717915,473.9533122,473.9533122,219.5545045,266.3995178,240.7782929
