index,time,centroid_0,centroid_1,centroid_2,centroid_3,centroid_4,centroid_5,centroid_6,centroid_7,centroid_8,centroid_9,centroid_10,centroid_11,centroid_12,centroid_13,centroid_14,centroid_15,centroid_16,centroid_17,centroid_18,centroid_19,centroid_20,centroid_21,centroid_22,centroid_23,centroid_24,centroid_25,centroid_26,centroid_27,centroid_28,centroid_29,centroid_30,centroid_31,centroid_32,centroid_33,centroid_34,centroid_35,centroid_36,centroid_37,centroid_38,centroid_39,centroid_40,centroid_41,centroid_42,centroid_43,centroid_44,centroid_45,centroid_46,centroid_47,centroid_48,centroid_49,centroid_50,centroid_51,centroid_52,centroid_53,centroid_54,centroid_55,centroid_56,centroid_57,centroid_58,centroid_59,centroid_60,centroid_61,centroid_62,centroid_63,centroid_64,centroid_65,centroid_66,centroid_67,centroid_68,centroid_69,centroid_70,centroid_71,centroid_72,centroid_73,centroid_74,centroid_75,centroid_76,centroid_77,centroid_78,centroid_79,centroid_80,centroid_81,centroid_82,centroid_83,centroid_84,centroid_85,centroid_86,centroid_87,centroid_88,centroid_89,centroid_90,centroid_91,centroid_92
205,2000-12-31,481.090294406,481.090294406,213.64116303,213.64116303,207.89944666000002,186.446965586,159.093304905,198.386211013,198.386211013,432.05237081999996,268.98972810600003,164.47996765599996,164.88899274,190.94329590400002,250.63247639999997,250.63247639999997,458.557426597,299.999424191,299.999424191,266.579104399,266.579104399,210.23420775900001,280.749144096,210.23420775900001,137.65053903400002,189.14072635999997,241.865297244,223.508943114,287.519111183,200.899248591,148.848400618,165.624503951,197.13726716600002,230.90137901399999,192.537089595,182.19602695,192.714176194,297.68193523,270.636161137,252.330989216,181.497258829,259.520462616,246.904232487,246.904232487,230.703452808,287.558239651,186.03192225200002,208.57588176000002,226.06278350999997,219.157153617,191.119142741,191.119142741,191.119142741,191.297864304,214.30905956,226.87418350500002,226.87418350500002,216.42219070000002,212.824739711,170.76097291399998,170.76097291399998,170.76097291399998,252.88920940999998,217.58519309,247.66955888,247.66955888,280.18922534300003,212.446370068,280.18922534300003,212.446370068,446.80565341,444.39788185000003,492.394419112,533.983106032,578.67151037,700.312760527,650.900433246,693.215864794,693.215864794,693.215864794,249.054155371,218.94014546,341.48784471,405.460521478,233.06558925800002,233.06558925800002,419.127544314,369.60891438,424.673816148,424.673816148,174.395671609,205.57808982399996,191.29230319
570,2001-12-31,218.53615434300002,218.53615434300002,323.68768183,323.68768183,382.994471025,288.19306555799994,327.57938171999996,235.67024278899999,235.67024278899999,367.616333657,300.332778519,320.772857128,249.738788675,219.352066425,208.772158345,208.772158345,380.63780954200007,320.30418253,320.30418253,368.31852842,368.31852842,268.19896570000003,318.38146335,268.19896570000003,229.517383878,276.31800737199995,238.99935702399998,223.662651654,277.299616532,254.240911767,202.108505615,224.90992768,216.84535226,201.79476093,220.400286976,200.61234018,221.793167195,313.53427345,240.69244576,237.495227749,273.758733583,255.75219724399997,188.67952538699998,188.67952538699998,244.52413561900002,245.98197992599998,236.805498733,267.20306994,270.98224236,226.07132508400002,224.00776975899998,224.00776975899998,224.00776975899998,262.59764068100003,239.781752368,211.73181312,211.73181312,221.69671473,268.196708756,207.58086775499999,207.58086775499999,207.58086775499999,299.099869435,450.82205433999997,480.79252570000006,480.79252570000006,327.357545276,314.538886793,327.357545276,314.538886793,343.044244785,342.19258860800005,318.2176028,312.865710921,362.58631579599995,413.137032557,407.113733906,452.016884458,452.016884458,452.016884458,331.839809405,274.96762141600004,586.67425547,539.3798931199999,373.99802416299997,373.99802416299997,506.2288076399999,469.043461062,560.94967587,560.94967587,243.00316239900002,316.813925919,294.07663883000004
935,2002-12-31,187.29235479000002,187.29235479000002,195.77326754199999,195.77326754199999,184.725586395,213.31526366599996,323.905900562,235.50942438199996,235.50942438199996,306.67737145600006,233.81197431999996,223.97975662,270.113011103,166.6587227,177.23131116000002,177.23131116000002,233.76122668000005,245.99802021800002,245.99802021800002,269.41129805,269.41129805,227.118607829,240.97046344500004,227.118607829,244.027450658,225.42623976200002,267.809533183,245.291331523,314.717490956,245.27577103099998,212.338080074,276.532612384,235.28398233400003,218.505067798,204.67248170299996,202.550155288,234.95948236100003,242.649191466,166.61780185,234.228030727,257.945981752,240.01878705,210.23445136099997,210.23445136099997,328.44089796299994,233.40534440200003,175.938076515,252.09003911000002,198.545613801,256.012461953,226.592994287,226.592994287,226.592994287,198.411409692,178.647187896,215.992322806,215.992322806,168.53483828199998,189.59077392299997,164.83699334800002,164.83699334800002,164.83699334800002,247.26562270999997,251.771763132,255.901053625,255.901053625,228.595448317,228.49313229,228.595448317,228.49313229,246.695532188,270.872251141,265.844204725,381.79985778,325.937745377,235.648861566,454.206855423,397.34205845400004,397.34205845400004,397.34205845400004,212.51993840599994,201.222903986,264.3007135,324.05627158999994,335.124146224,335.124146224,300.9966390719999,332.08302573800006,506.473052026,506.473052026,217.316912802,235.34069225699997,209.08655949500002
1300,2003-12-31,204.65015645600002,204.65015645600002,311.36954121,311.36954121,234.338967185,209.94461424099998,264.687008435,214.350795549,214.350795549,199.32320282000003,243.183290835,268.783861293,139.51706931,162.66361551999998,181.61548666000002,181.61548666000002,244.02979076800005,232.05035655,232.05035655,317.568042358,317.568042358,253.65675344699997,236.86654741,253.65675344699997,205.14406510799998,178.849116866,197.969062739,208.994083681,211.08983124899999,188.77778707899998,220.908651703,226.22969654899998,172.22287561500002,233.48360667699998,258.678383747,163.83094494500003,164.31283652800002,262.962257555,255.55082736999998,254.605813143,283.275198611,254.39752651999999,175.09694469699997,175.09694469699997,244.49336359599997,234.16355465200002,283.232535591,246.307111058,329.688323225,234.42646000000002,239.95512614100002,239.95512614100002,239.95512614100002,288.31594016500003,208.30604996099999,224.753499251,224.753499251,222.918880631,224.61597042,201.694815597,201.694815597,201.694815597,292.48740062999997,323.40903595,307.781758912,307.781758912,218.35687786100002,216.429627503,218.35687786100002,216.429627503,265.18269624399994,230.73612350800002,261.5481974,284.90270367,232.16642545,289.585740976,275.24493191199997,355.01203368299997,355.01203368299997,355.01203368299997,234.05231557399995,202.037063177,333.875967647,305.974341269,394.020739253,394.020739253,394.4280978699999,325.34035808699997,446.4842290280001,446.4842290280001,269.827606524,306.89007166799996,273.991936957
1666,2004-12-31,225.55955720100002,225.55955720100002,186.996592414,186.996592414,232.22154367299999,452.794769456,327.449719462,271.5798925959999,271.5798925959999,292.47611647900004,223.967516742,270.852080216,340.845179884,264.31984802,242.34338988000002,242.34338988000002,317.79153338000003,248.39290893000003,248.39290893000003,291.730949567,291.730949567,224.86061454300003,234.51029785600002,224.86061454300003,216.55299904299997,344.86550364699997,388.317167298,300.136786197,521.892299525,275.95087487399996,261.223306251,308.71590722300004,201.419786796,245.68947080599997,259.476678697,197.484167143,174.71385915899998,430.02807337300004,387.20558662,253.825571493,275.229154585,340.627094407,193.02914050499996,193.02914050499996,290.352105915,275.69248335500004,177.89251132099997,257.601434113,261.660808346,295.65524403599994,266.756540346,266.756540346,266.756540346,246.21250968,240.00369314699998,277.43787239,277.43787239,263.315477881,265.895673947,268.650024314,268.650024314,268.650024314,246.7286062,280.817220295,202.15650942599999,202.15650942599999,149.89187595199996,142.70469613800003,149.89187595199996,142.70469613800003,180.50817210999998,183.644526551,225.03852773699998,232.13862339399998,386.48516926,209.94516298400004,299.879040444,428.50692294699996,428.50692294699996,428.50692294699996,295.8157745809999,237.59670989,501.46841964500004,411.59402950299994,240.857132911,240.857132911,334.94417538299984,399.58439547399996,329.63596474800005,329.63596474800005,255.245172423,306.06546923099995,271.75184330800005
2031,2005-12-31,561.1359931930001,561.1359931930001,199.82358938599998,199.82358938599998,206.385880702,311.218551344,277.55782925899996,276.828421138,276.828421138,233.63855065700005,203.74274236799997,211.33434313700002,308.42278648399997,305.883675546,239.79368099600003,239.79368099600003,312.14632661100006,337.06771702000003,337.06771702000003,344.748419429,344.748419429,272.737287743,343.612296271,272.737287743,219.712916405,245.71014218300002,320.03679019599997,291.648639538,330.32930312099995,200.357870332,229.091253701,216.036252715,170.46325498600004,196.575357972,210.59587219400004,161.44674322,165.61263456999998,513.025258915,312.952026693,213.33003091000003,334.56486669900005,215.94158688100003,218.320104583,218.320104583,198.584318387,216.03091441,213.84668707099996,238.96482975,183.92101310599998,216.85725931599998,234.61234586900002,234.61234586900002,234.61234586900002,190.16709055400003,175.963749371,170.05825275400002,170.05825275400002,165.23261497400003,199.313253994,157.581823011,157.581823011,157.581823011,196.79306072499998,273.439078742,314.254306511,314.254306511,248.24546670199993,213.63975105400002,248.24546670199993,213.63975105400002,309.77108930299994,304.23970145600003,242.01751037799997,252.21536187800004,551.241596811,391.72201775600007,348.071416958,231.56898569499998,231.56898569499998,231.56898569499998,287.1425970109999,194.443151719,286.618242976,297.99747039999994,985.379998402,985.379998402,262.5774956219999,277.711155298,426.928767467,426.928767467,223.57233562500002,229.045227736,233.142613525
2396,2006-12-31,269.11912671400006,269.11912671400006,249.57139329599997,249.57139329599997,248.95408947500002,464.524830184,405.98065020499996,233.97564193999997,233.97564193999997,423.06119902100005,269.59859756899993,267.05168971,234.39952932100002,229.151426043,264.54545196000004,264.54545196000004,327.94239617700003,406.12046324000005,406.12046324000005,359.56330589900006,359.56330589900006,469.514108791,415.374123374,469.514108791,365.279237927,427.457874044,358.91903132699997,303.80775934099995,409.0924400939999,233.863582606,261.30358186,205.76097858499998,230.66684002400004,220.996423667,204.53530516400002,241.08211568,216.45820490000003,363.4214106030001,268.776981402,301.094383848,420.853016146,315.545315424,211.52307112799994,211.52307112799994,248.80512630299998,220.153352693,262.96920081,265.87166253099997,208.21083349,237.20656315999997,204.511165275,204.511165275,204.511165275,212.00021392000002,204.559309746,248.258227154,248.258227154,210.19104948000003,237.919834685,177.43216271100002,177.43216271100002,177.43216271100002,217.93944339299998,213.41127829,221.734594206,221.734594206,140.36705130899995,143.02617359300004,140.36705130899995,143.02617359300004,214.63912009199998,181.902687476,280.610709816,283.71527233300003,423.375174377,367.87124316800003,318.02867314700006,403.497059758,403.497059758,403.497059758,280.6126461089999,209.64232797700004,319.25206770999995,303.662714867,230.160406616,230.160406616,302.8159878449999,274.507387823,258.204835151,258.204835151,198.721548221,179.39290948099998,197.267701195
2761,2007-12-31,284.76270594000005,284.76270594000005,205.94444620000002,205.94444620000002,265.69900086000007,281.93037856999996,314.656739256,220.13737543199997,220.13737543199997,288.15190524300004,272.79198497799996,283.177449066,192.047689931,208.311499054,215.63836285900004,215.63836285900004,300.694601632,298.82828159200005,298.82828159200005,301.88838048200006,301.88838048200006,263.76460123,286.239548432,263.76460123,262.993282115,239.44527411399997,226.243318965,219.24409447799997,243.85651744399996,241.78398634,229.79502834,237.199828955,267.337098679,341.47292898599994,326.805528338,262.04408465299997,270.51757134499996,339.7048279070001,279.87674384,299.678610816,290.64191092,269.918367468,206.86042958099995,206.86042958099995,228.09546613999998,196.40817489900002,220.59835707,229.29099015599996,256.470077367,275.63885239999996,231.443611062,231.443611062,231.443611062,220.04300950500004,190.461343462,215.88048814400003,215.88048814400003,211.39852720800005,166.74735846200005,138.670857844,138.670857844,138.670857844,251.96370729,229.64380831700004,222.15639886000002,222.15639886000002,260.20857555899994,173.28826873900002,260.20857555899994,173.28826873900002,298.76842668099994,257.376139772,205.29014287999996,204.41731330000002,242.043468088,296.78492338000007,429.28725149800005,387.6417976849999,387.6417976849999,387.6417976849999,256.3659441699999,180.893275666,264.59293271999996,265.417095805,278.025210721,278.025210721,304.3517897999999,287.92134019099996,307.21589187899997,307.21589187899997,230.23088270800002,404.801020323,225.790517479
3127,2008-12-31,300.46918329000005,300.46918329000005,276.82846472399996,276.82846472399996,344.74335250400003,175.89886260100002,231.589530503,227.21354416599993,227.21354416599993,228.62855150300007,225.49610882899998,250.530994376,216.08951337500002,196.969413225,253.792429808,253.792429808,356.220649208,204.05954088600004,204.05954088600004,280.013274975,280.013274975,257.68553761699997,231.92482109200003,257.68553761699997,173.80346633899998,202.31273888999996,286.65590491999995,254.169944241,301.27706413799996,223.90086855,236.93438526799997,206.714118733,160.44708860000003,173.213907112,178.390794601,177.891726184,154.484176693,240.2407552030001,190.101862183,240.18347248000003,187.64538132399997,247.81759019300006,239.89747167199994,239.89747167199994,207.890310243,185.82376587599998,185.04180019799998,219.62954008499997,297.033420486,276.723163587,232.29188298900002,232.29188298900002,232.29188298900002,286.92204066400006,213.29360692999998,215.521341692,215.521341692,193.70628657400005,185.25325610400003,185.32358152,185.32358152,185.32358152,188.012461772,191.20677931400002,212.900253677,212.900253677,201.22391672099997,175.375433769,201.22391672099997,175.375433769,338.734206886,337.738823026,274.4954281309999,276.85935213000005,506.032449785,999.6163653860001,336.79601572300004,349.95731266099995,349.95731266099995,349.95731266099995,366.7645471549999,168.289601177,243.47208451499995,280.14380715699997,261.276241615,261.276241615,241.29836014499983,352.00893870999994,467.870447523,467.870447523,189.494209064,181.893631723,176.107202699
3492,2009-12-31,253.52713999300008,253.52713999300008,264.07316368399995,264.07316368399995,267.94254690400004,215.99336157999997,259.603644753,160.80243047699997,160.80243047699997,264.1566112130001,173.067822445,171.62135657000005,250.47066305400003,221.25683873,206.343038326,206.343038326,208.687262549,268.56019196500006,268.56019196500006,257.919590185,257.919590185,223.480586492,236.18513006600003,223.480586492,200.59870404999998,185.98550542599997,175.30445532799996,164.43441926199995,200.60002857999996,194.729198079,176.83149077500002,253.807898907,200.768339362,218.969565703,229.512663426,178.899753092,201.57635818100002,274.8413442720001,317.52534717000003,206.05503616599998,209.789946685,207.42987656500003,147.63706325399994,147.63706325399994,197.25550697299997,198.411905563,179.39648043999998,257.485131644,208.546596688,286.25485306499996,254.242861795,254.242861795,254.242861795,207.834529276,269.140309234,225.43045315399996,225.43045315399996,306.41242129700004,322.72476342600004,183.39344616400004,183.39344616400004,183.39344616400004,281.01505799100005,241.61651119000007,249.55294260000002,249.55294260000002,184.83863926999996,172.70955281800002,184.83863926999996,172.70955281800002,253.584333804,285.660859769,321.59616971799994,630.42942535,284.098006212,786.601319172,480.241357076,416.54458358499994,416.54458358499994,416.54458358499994,232.5144835719999,230.735876488,279.66745502,246.43052587899996,291.870196867,291.870196867,278.98551844499985,283.95893806,327.994741926,327.994741926,223.052102731,208.978244446,211.588775855
