centroid_0,centroid_1,centroid_2,centroid_3,centroid_4,centroid_5,centroid_6,centroid_7,centroid_8,centroid_9,centroid_10,centroid_11,centroid_12,centroid_13,centroid_14,centroid_15,centroid_16,centroid_17,centroid_18,centroid_19,centroid_20,centroid_21,centroid_22,centroid_23,centroid_24,centroid_25,centroid_26,centroid_27,centroid_28,centroid_29,centroid_30,centroid_31,centroid_32,centroid_33,centroid_34,centroid_35,centroid_36,centroid_37,centroid_38,centroid_39,centroid_40,centroid_41,centroid_42,centroid_43,centroid_44,centroid_45,centroid_46,centroid_47,centroid_48,centroid_49,centroid_50,centroid_51,centroid_52,centroid_53,centroid_54,centroid_55,centroid_56,centroid_57,centroid_58,centroid_59,centroid_60,centroid_61,centroid_62,centroid_63,centroid_64,centroid_65,centroid_66,centroid_67,centroid_68,centroid_69,centroid_70,centroid_71,centroid_72,centroid_73,centroid_74,centroid_75,centroid_76,centroid_77,centroid_78,centroid_79,centroid_80,centroid_81,centroid_82,centroid_83,centroid_84,centroid_85,centroid_86,centroid_87,centroid_88,centroid_89,centroid_90,centroid_91,centroid_92
207.56977749358282,207.56977749358282,215.9627728951432,215.9627728951432,215.9627728951432,201.2035602462273,201.2035602462273,201.2035602462273,201.2035602462273,201.2035602462273,201.2035602462273,201.2035602462273,166.73359204353625,162.18848507021522,162.18848507021522,162.18848507021522,162.18848507021522,201.2035602462273,201.2035602462273,201.2035602462273,201.2035602462273,201.2035602462273,201.2035602462273,201.2035602462273,201.2035602462273,201.2035602462273,201.2035602462273,201.2035602462273,201.2035602462273,139.906834458221,139.906834458221,139.906834458221,139.906834458221,139.906834458221,139.906834458221,139.906834458221,139.906834458221,139.906834458221,139.906834458221,139.906834458221,139.906834458221,207.56977749358282,207.56977749358282,207.56977749358282,199.1110256062141,199.1110256062141,199.1110256062141,199.1110256062141,199.1110256062141,199.1110256062141,199.1110256062141,199.1110256062141,199.1110256062141,199.1110256062141,221.16173655319577,221.16173655319577,221.16173655319577,221.16173655319577,221.16173655319577,221.16173655319577,221.16173655319577,221.16173655319577,184.7727574394742,184.7727574394742,184.7727574394742,184.7727574394742,180.44380074403875,180.44380074403875,180.44380074403875,180.44380074403875,180.44380074403875,180.44380074403875,181.16808836651927,181.16808836651927,180.44380074403875,180.44380074403875,181.16808836651927,181.16808836651927,181.16808836651927,181.16808836651927,198.69340146844215,198.69340146844215,198.69340146844215,198.69340146844215,184.7727574394742,184.7727574394742,198.69340146844215,198.69340146844215,198.69340146844215,198.69340146844215,199.1110256062141,199.1110256062141,199.1110256062141
252.07984578581411,252.07984578581411,284.94118069476013,284.94118069476013,284.94118069476013,248.4565453357104,248.4565453357104,248.4565453357104,248.4565453357104,248.4565453357104,248.4565453357104,248.4565453357104,208.41556493150628,196.9704228887534,196.9704228887534,196.9704228887534,196.9704228887534,248.4565453357104,248.4565453357104,248.4565453357104,248.4565453357104,248.4565453357104,248.4565453357104,248.4565453357104,248.4565453357104,248.4565453357104,248.4565453357104,248.4565453357104,248.4565453357104,169.9713332247501,169.9713332247501,169.9713332247501,169.9713332247501,169.9713332247501,169.9713332247501,169.9713332247501,169.9713332247501,169.9713332247501,169.9713332247501,169.9713332247501,169.9713332247501,252.07984578581411,252.07984578581411,252.07984578581411,251.0313283904283,251.0313283904283,251.0313283904283,251.0313283904283,251.0313283904283,251.0313283904283,251.0313283904283,251.0313283904283,251.0313283904283,251.0313283904283,284.41832613475196,284.41832613475196,284.41832613475196,284.41832613475196,284.41832613475196,284.41832613475196,284.41832613475196,284.41832613475196,223.31752935995735,223.31752935995735,223.31752935995735,223.31752935995735,241.7110643228457,241.7110643228457,241.7110643228457,241.7110643228457,241.7110643228457,241.7110643228457,240.8881026063471,240.8881026063471,241.7110643228457,241.7110643228457,240.8881026063471,240.8881026063471,240.8881026063471,240.8881026063471,239.3860521410956,239.3860521410956,239.3860521410956,239.3860521410956,223.31752935995735,223.31752935995735,239.3860521410956,239.3860521410956,239.3860521410956,239.3860521410956,251.0313283904283,251.0313283904283,251.0313283904283
281.54938394410544,281.54938394410544,330.6108886674119,330.6108886674119,330.6108886674119,279.74213308284806,279.74213308284806,279.74213308284806,279.74213308284806,279.74213308284806,279.74213308284806,279.74213308284806,236.01265785147586,219.9990922008971,219.9990922008971,219.9990922008971,219.9990922008971,279.74213308284806,279.74213308284806,279.74213308284806,279.74213308284806,279.74213308284806,279.74213308284806,279.74213308284806,279.74213308284806,279.74213308284806,279.74213308284806,279.74213308284806,279.74213308284806,189.87664740654776,189.87664740654776,189.87664740654776,189.87664740654776,189.87664740654776,189.87664740654776,189.87664740654776,189.87664740654776,189.87664740654776,189.87664740654776,189.87664740654776,189.87664740654776,281.54938394410544,281.54938394410544,281.54938394410544,285.40708656819095,285.40708656819095,285.40708656819095,285.40708656819095,285.40708656819095,285.40708656819095,285.40708656819095,285.40708656819095,285.40708656819095,285.40708656819095,326.2996925752167,326.2996925752167,326.2996925752167,326.2996925752167,326.2996925752167,326.2996925752167,326.2996925752167,326.2996925752167,248.83752226258724,248.83752226258724,248.83752226258724,248.83752226258724,282.2753238525233,282.2753238525233,282.2753238525233,282.2753238525233,282.2753238525233,282.2753238525233,280.4279484430133,280.4279484430133,282.2753238525233,282.2753238525233,280.4279484430133,280.4279484430133,280.4279484430133,280.4279484430133,266.32812767075916,266.32812767075916,266.32812767075916,266.32812767075916,248.83752226258724,248.83752226258724,266.32812767075916,266.32812767075916,266.32812767075916,266.32812767075916,285.40708656819095,285.40708656819095,285.40708656819095
309.8172724663804,309.8172724663804,374.4183690181873,374.4183690181873,374.4183690181873,309.75201997145945,309.75201997145945,309.75201997145945,309.75201997145945,309.75201997145945,309.75201997145945,309.75201997145945,262.4844519464599,242.08874469003393,242.08874469003393,242.08874469003393,242.08874469003393,309.75201997145945,309.75201997145945,309.75201997145945,309.75201997145945,309.75201997145945,309.75201997145945,309.75201997145945,309.75201997145945,309.75201997145945,309.75201997145945,309.75201997145945,309.75201997145945,208.9703026674329,208.9703026674329,208.9703026674329,208.9703026674329,208.9703026674329,208.9703026674329,208.9703026674329,208.9703026674329,208.9703026674329,208.9703026674329,208.9703026674329,208.9703026674329,309.8172724663804,309.8172724663804,309.8172724663804,318.38113912436495,318.38113912436495,318.38113912436495,318.38113912436495,318.38113912436495,318.38113912436495,318.38113912436495,318.38113912436495,318.38113912436495,318.38113912436495,366.473304775736,366.473304775736,366.473304775736,366.473304775736,366.473304775736,366.473304775736,366.473304775736,366.473304775736,273.31691215278215,273.31691215278215,273.31691215278215,273.31691215278215,321.18553548239026,321.18553548239026,321.18553548239026,321.18553548239026,321.18553548239026,321.18553548239026,318.35551786385764,318.35551786385764,321.18553548239026,321.18553548239026,318.35551786385764,318.35551786385764,318.35551786385764,318.35551786385764,292.17161335894485,292.17161335894485,292.17161335894485,292.17161335894485,273.31691215278215,273.31691215278215,292.17161335894485,292.17161335894485,292.17161335894485,292.17161335894485,318.38113912436495,318.38113912436495,318.38113912436495
318.7842235293377,318.7842235293377,388.3146857589062,388.3146857589062,388.3146857589062,319.2715561378418,319.2715561378418,319.2715561378418,319.2715561378418,319.2715561378418,319.2715561378418,319.2715561378418,270.88165791433244,249.0958769246095,249.0958769246095,249.0958769246095,249.0958769246095,319.2715561378418,319.2715561378418,319.2715561378418,319.2715561378418,319.2715561378418,319.2715561378418,319.2715561378418,319.2715561378418,319.2715561378418,319.2715561378418,319.2715561378418,319.2715561378418,215.02706464321398,215.02706464321398,215.02706464321398,215.02706464321398,215.02706464321398,215.02706464321398,215.02706464321398,215.02706464321398,215.02706464321398,215.02706464321398,215.02706464321398,215.02706464321398,318.7842235293377,318.7842235293377,318.7842235293377,328.8409481541622,328.8409481541622,328.8409481541622,328.8409481541622,328.8409481541622,328.8409481541622,328.8409481541622,328.8409481541622,328.8409481541622,328.8409481541622,379.21691009809376,379.21691009809376,379.21691009809376,379.21691009809376,379.21691009809376,379.21691009809376,379.21691009809376,379.21691009809376,281.0821009472498,281.0821009472498,281.0821009472498,281.0821009472498,333.52837330203823,333.52837330203823,333.52837330203823,333.52837330203823,333.52837330203823,333.52837330203823,330.38664847574023,330.38664847574023,333.52837330203823,333.52837330203823,330.38664847574023,330.38664847574023,330.38664847574023,330.38664847574023,300.36951152454674,300.36951152454674,300.36951152454674,300.36951152454674,281.0821009472498,281.0821009472498,300.36951152454674,300.36951152454674,300.36951152454674,300.36951152454674,328.8409481541622,328.8409481541622,328.8409481541622
346.4071546019338,346.4071546019338,431.1226588142701,431.1226588142701,431.1226588142701,348.5967403081168,348.5967403081168,348.5967403081168,348.5967403081168,348.5967403081168,348.5967403081168,348.5967403081168,296.74947407886475,270.68153400841356,270.68153400841356,270.68153400841356,270.68153400841356,348.5967403081168,348.5967403081168,348.5967403081168,348.5967403081168,348.5967403081168,348.5967403081168,348.5967403081168,348.5967403081168,348.5967403081168,348.5967403081168,348.5967403081168,348.5967403081168,233.6850808859105,233.6850808859105,233.6850808859105,233.6850808859105,233.6850808859105,233.6850808859105,233.6850808859105,233.6850808859105,233.6850808859105,233.6850808859105,233.6850808859105,233.6850808859105,346.4071546019338,346.4071546019338,346.4071546019338,361.0626678707098,361.0626678707098,361.0626678707098,361.0626678707098,361.0626678707098,361.0626678707098,361.0626678707098,361.0626678707098,361.0626678707098,361.0626678707098,418.47392499249247,418.47392499249247,418.47392499249247,418.47392499249247,418.47392499249247,418.47392499249247,418.47392499249247,418.47392499249247,305.0029714113887,305.0029714113887,305.0029714113887,305.0029714113887,371.5508132527616,371.5508132527616,371.5508132527616,371.5508132527616,371.5508132527616,371.5508132527616,367.44886608840443,367.44886608840443,371.5508132527616,371.5508132527616,367.44886608840443,367.44886608840443,367.44886608840443,367.44886608840443,325.62335470699196,325.62335470699196,325.62335470699196,325.62335470699196,305.0029714113887,305.0029714113887,325.62335470699196,325.62335470699196,325.62335470699196,325.62335470699196,361.0626678707098,361.0626678707098,361.0626678707098
373.8261222874847,373.8261222874847,473.6145445161968,473.6145445161968,473.6145445161968,377.70539192167746,377.70539192167746,377.70539192167746,377.70539192167746,377.70539192167746,377.70539192167746,377.70539192167746,322.42628634933106,292.1078059886296,292.1078059886296,292.1078059886296,292.1078059886296,377.70539192167746,377.70539192167746,377.70539192167746,377.70539192167746,377.70539192167746,377.70539192167746,377.70539192167746,377.70539192167746,377.70539192167746,377.70539192167746,377.70539192167746,377.70539192167746,252.20532926543558,252.20532926543558,252.20532926543558,252.20532926543558,252.20532926543558,252.20532926543558,252.20532926543558,252.20532926543558,252.20532926543558,252.20532926543558,252.20532926543558,252.20532926543558,373.8261222874847,373.8261222874847,373.8261222874847,393.046467466741,393.046467466741,393.046467466741,393.046467466741,393.046467466741,393.046467466741,393.046467466741,393.046467466741,393.046467466741,393.046467466741,457.4410722511177,457.4410722511177,457.4410722511177,457.4410722511177,457.4410722511177,457.4410722511177,457.4410722511177,457.4410722511177,328.74721392289973,328.74721392289973,328.74721392289973,328.74721392289973,409.29250147530337,409.29250147530337,409.29250147530337,409.29250147530337,409.29250147530337,409.29250147530337,404.23742210390435,404.23742210390435,409.29250147530337,409.29250147530337,404.23742210390435,404.23742210390435,404.23742210390435,404.23742210390435,350.6907274754951,350.6907274754951,350.6907274754951,350.6907274754951,328.74721392289973,328.74721392289973,350.6907274754951,350.6907274754951,350.6907274754951,350.6907274754951,393.046467466741,393.046467466741,393.046467466741
