Longitude,Latitude,Centroid,Stasiun,time,PU GPM,CH GPM,Rasio,Kategori,PU GSMaP,CH GSMaP,Rasio.1,Kategori.1,PU Stasiun,CH Stasiun,Rasio.2,Kategori.2,Unnamed: 17,Unnamed: 18,Unnamed: 19
100.4998105,-0.865066621,centroid_0,Stasiun Maritim Teluk Bayur ,2012-07-24,156.7607651,21.227467377,0.14,Hujan Ringan,152.2699112,3.06284195,0.02,Tidak terdefenisi,257.6846354,13.0,0.05,Hujan Lebat,,,
100.4941317,-0.86808408,centroid_1,Stasiun Maritim Teluk Bayur ,2015-05-14,156.7607651,13.169929581,0.08,Tidak terdefenisi,152.2699112,12.64982955,0.08,Tidak terdefenisi,257.6846354,22.5,0.09,Hujan Lebat,,,
100.2707124,-0.457451228,centroid_2,Stasiun Klimatologi Padang Pariaman,2012-07-24,149.3043459,7.077933345999999,0.05,Tidak terdefenisi,114.1715759,0.9957301,0.01,Tidak terdefenisi,185.2794556,0.0,0.0,Tidak terdefenisi,,,
100.2707124,-0.457451228,centroid_3,Stasiun Klimatologi Padang Pariaman,2018-12-10,149.3043459,74.772720873,0.5,Hujan Lebat,114.1715759,37.46723288,0.33,Hujan Ringan,185.2794556,7.9,0.04,Hujan Ringan,,GPM,
100.1842438,-0.312075145,centroid_4,Stasiun Klimatologi Padang Pariaman,2021-01-09,153.8647045,4.045670489,0.03,Tidak terdefenisi,121.07474,11.33801571,0.09,Tidak terdefenisi,185.2794556,168.0,0.91,Hujan Lebat,,Tidak terdefenisi,25.0
103.0555409,-4.096976768,centroid_5,Stasiun Meteorologi Fatmawati Soekarno,2011-04-25,111.3930897,71.027693755,0.64,Hujan Lebat,111.2683808,38.37140763,0.34,Hujan Ringan,163.0386238,0.0,0.0,Tidak terdefenisi,,Hujan Ringan,41.0
102.6551064,-3.920483646,centroid_6,Stasiun Meteorologi Fatmawati Soekarno,2020-10-05,124.9112947,72.736825782,0.58,Hujan Lebat,156.6645958,22.43397339,0.14,Hujan Ringan,163.0386238,0.0,0.0,Tidak terdefenisi,,Hujan Lebat,27.0
103.1089597,-3.885428574,centroid_7,Stasiun Meteorologi Fatmawati Soekarno,2014-03-18,111.4883113,4.195494683,0.04,Tidak terdefenisi,139.7056795,1.12576026,0.01,Tidak terdefenisi,163.0386238,4.4,0.03,Hujan Ringan,,,
103.1089597,-3.885428574,centroid_8,Stasiun Meteorologi Fatmawati Soekarno,2020-06-21,111.4883113,1.802078714,0.02,Tidak terdefenisi,139.7056795,0.618727097,0.0,Tidak terdefenisi,163.0386238,22.7,0.14,Hujan Lebat,,GSMaP,
102.5337756,-3.713668936,centroid_9,Stasiun Meteorologi Fatmawati Soekarno,2020-11-24,116.1536209,29.228326858,0.25,Hujan Ringan,134.923244,1.38863783,0.01,Tidak terdefenisi,163.0386238,150.3,0.92,Hujan Lebat,,Tidak terdefenisi,47.0
