Tahun,centroid_0,centroid_1,centroid_2,centroid_3,centroid_4,centroid_5,centroid_6,centroid_7,centroid_8,centroid_9,centroid_10,centroid_11,centroid_12,centroid_13,centroid_14,centroid_15,centroid_16,centroid_17,centroid_18,centroid_19,centroid_20,centroid_21,centroid_22,centroid_23,centroid_24,centroid_25,centroid_26,centroid_27,centroid_28,centroid_29,centroid_30,centroid_31,centroid_32,centroid_33,centroid_34,centroid_35,centroid_36,centroid_37,centroid_38,centroid_39,centroid_40,centroid_41,centroid_42,centroid_43,centroid_44,centroid_45,centroid_46,centroid_47,centroid_48,centroid_49,centroid_50,centroid_51,centroid_52,centroid_53,centroid_54,centroid_55,centroid_56,centroid_57,centroid_58,centroid_59,centroid_60,centroid_61,centroid_62,centroid_63,centroid_64,centroid_65,centroid_66,centroid_67,centroid_68,centroid_69,centroid_70,centroid_71,centroid_72,centroid_73,centroid_74,centroid_75,centroid_76,centroid_77,centroid_78,centroid_79,centroid_80,centroid_81,centroid_82,centroid_83,centroid_84,centroid_85,centroid_86,centroid_87,centroid_88,centroid_89,centroid_90,centroid_91,centroid_92
2,127.3832457,127.3832457,87.67552961,87.67552961,87.67552961,135.3398985,135.3398985,135.3398985,135.3398985,135.3398985,135.3398985,135.3398985,106.8533574,116.6857546,116.6857546,116.6857546,116.6857546,135.3398985,135.3398985,135.3398985,135.3398985,135.3398985,135.3398985,135.3398985,135.3398985,135.3398985,135.3398985,135.3398985,135.3398985,66.83114352,66.83114352,66.83114352,66.83114352,66.83114352,66.83114352,66.83114352,66.83114352,66.83114352,66.83114352,66.83114352,66.83114352,127.3832457,127.3832457,127.3832457,88.41361312,88.41361312,88.41361312,88.41361312,88.41361312,88.41361312,88.41361312,88.41361312,88.41361312,88.41361312,104.0750704,104.0750704,104.0750704,104.0750704,104.0750704,104.0750704,104.0750704,104.0750704,131.0818118,131.0818118,131.0818118,131.0818118,121.5601589,121.5601589,121.5601589,121.5601589,121.5601589,121.5601589,161.9326976,161.9326976,121.5601589,121.5601589,161.9326976,161.9326976,161.9326976,161.9326976,132.6031112,132.6031112,132.6031112,132.6031112,131.0818118,131.0818118,132.6031112,132.6031112,132.6031112,132.6031112,88.41361312,88.41361312,88.41361312
5,175.1571296,175.1571296,113.6193593,113.6193593,113.6193593,189.7935268,189.7935268,189.7935268,189.7935268,189.7935268,189.7935268,189.7935268,141.1250509,159.9881334,159.9881334,159.9881334,159.9881334,189.7935268,189.7935268,189.7935268,189.7935268,189.7935268,189.7935268,189.7935268,189.7935268,189.7935268,189.7935268,189.7935268,189.7935268,85.51962274,85.51962274,85.51962274,85.51962274,85.51962274,85.51962274,85.51962274,85.51962274,85.51962274,85.51962274,85.51962274,85.51962274,175.1571296,175.1571296,175.1571296,115.473165,115.473165,115.473165,115.473165,115.473165,115.473165,115.473165,115.473165,115.473165,115.473165,146.2388926,146.2388926,146.2388926,146.2388926,146.2388926,146.2388926,146.2388926,146.2388926,176.0247538,176.0247538,176.0247538,176.0247538,158.8848248,158.8848248,158.8848248,158.8848248,158.8848248,158.8848248,244.2708038,244.2708038,158.8848248,158.8848248,244.2708038,244.2708038,244.2708038,244.2708038,186.8561454,186.8561454,186.8561454,186.8561454,176.0247538,176.0247538,186.8561454,186.8561454,186.8561454,186.8561454,115.473165,115.473165,115.473165
10,206.7875977,206.7875977,130.7964319,130.7964319,130.7964319,225.8465669,225.8465669,225.8465669,225.8465669,225.8465669,225.8465669,225.8465669,163.815894,188.6580761,188.6580761,188.6580761,188.6580761,225.8465669,225.8465669,225.8465669,225.8465669,225.8465669,225.8465669,225.8465669,225.8465669,225.8465669,225.8465669,225.8465669,225.8465669,97.89302212,97.89302212,97.89302212,97.89302212,97.89302212,97.89302212,97.89302212,97.89302212,97.89302212,97.89302212,97.89302212,97.89302212,206.7875977,206.7875977,206.7875977,133.3889429,133.3889429,133.3889429,133.3889429,133.3889429,133.3889429,133.3889429,133.3889429,133.3889429,133.3889429,174.1550117,174.1550117,174.1550117,174.1550117,174.1550117,174.1550117,174.1550117,174.1550117,205.7808921,205.7808921,205.7808921,205.7808921,183.5970013,183.5970013,183.5970013,183.5970013,183.5970013,183.5970013,298.7857947,298.7857947,183.5970013,183.5970013,298.7857947,298.7857947,298.7857947,298.7857947,222.7763748,222.7763748,222.7763748,222.7763748,205.7808921,205.7808921,222.7763748,222.7763748,222.7763748,222.7763748,133.3889429,133.3889429,133.3889429
20,237.1283022,237.1283022,147.2730925,147.2730925,147.2730925,260.4295085,260.4295085,260.4295085,260.4295085,260.4295085,260.4295085,260.4295085,185.5814955,216.1589734,216.1589734,216.1589734,216.1589734,260.4295085,260.4295085,260.4295085,260.4295085,260.4295085,260.4295085,260.4295085,260.4295085,260.4295085,260.4295085,260.4295085,260.4295085,109.7618839,109.7618839,109.7618839,109.7618839,109.7618839,109.7618839,109.7618839,109.7618839,109.7618839,109.7618839,109.7618839,109.7618839,237.1283022,237.1283022,237.1283022,150.5741872,150.5741872,150.5741872,150.5741872,150.5741872,150.5741872,150.5741872,150.5741872,150.5741872,150.5741872,200.9328234,200.9328234,200.9328234,200.9328234,200.9328234,200.9328234,200.9328234,200.9328234,234.3236943,234.3236943,234.3236943,234.3236943,207.3015143,207.3015143,207.3015143,207.3015143,207.3015143,207.3015143,351.0778827,351.0778827,207.3015143,207.3015143,351.0778827,351.0778827,351.0778827,351.0778827,257.2319211,257.2319211,257.2319211,257.2319211,234.3236943,234.3236943,257.2319211,257.2319211,257.2319211,257.2319211,150.5741872,150.5741872,150.5741872
25,246.7527781,246.7527781,152.4997088,152.4997088,152.4997088,271.3996786,271.3996786,271.3996786,271.3996786,271.3996786,271.3996786,271.3996786,192.4858345,224.8826246,224.8826246,224.8826246,224.8826246,271.3996786,271.3996786,271.3996786,271.3996786,271.3996786,271.3996786,271.3996786,271.3996786,271.3996786,271.3996786,271.3996786,271.3996786,113.526845,113.526845,113.526845,113.526845,113.526845,113.526845,113.526845,113.526845,113.526845,113.526845,113.526845,113.526845,246.7527781,246.7527781,246.7527781,156.0255757,156.0255757,156.0255757,156.0255757,156.0255757,156.0255757,156.0255757,156.0255757,156.0255757,156.0255757,209.4271022,209.4271022,209.4271022,209.4271022,209.4271022,209.4271022,209.4271022,209.4271022,243.3778516,243.3778516,243.3778516,243.3778516,214.8209019,214.8209019,214.8209019,214.8209019,214.8209019,214.8209019,367.6656301,367.6656301,214.8209019,214.8209019,367.6656301,367.6656301,367.6656301,367.6656301,268.1616798,268.1616798,268.1616798,268.1616798,243.3778516,243.3778516,268.1616798,268.1616798,268.1616798,268.1616798,156.0255757,156.0255757,156.0255757
50,276.4012318,276.4012318,168.6004394,168.6004394,168.6004394,305.1935792,305.1935792,305.1935792,305.1935792,305.1935792,305.1935792,305.1935792,213.7548341,251.756064,251.756064,251.756064,251.756064,305.1935792,305.1935792,305.1935792,305.1935792,305.1935792,305.1935792,305.1935792,305.1935792,305.1935792,305.1935792,305.1935792,305.1935792,125.124908,125.124908,125.124908,125.124908,125.124908,125.124908,125.124908,125.124908,125.124908,125.124908,125.124908,125.124908,276.4012318,276.4012318,276.4012318,172.8187231,172.8187231,172.8187231,172.8187231,172.8187231,172.8187231,172.8187231,172.8187231,172.8187231,172.8187231,235.5939539,235.5939539,235.5939539,235.5939539,235.5939539,235.5939539,235.5939539,235.5939539,271.269424,271.269424,271.269424,271.269424,237.984575,237.984575,237.984575,237.984575,237.984575,237.984575,418.7646268,418.7646268,237.984575,237.984575,418.7646268,418.7646268,418.7646268,418.7646268,301.8310917,301.8310917,301.8310917,301.8310917,271.269424,271.269424,301.8310917,301.8310917,301.8310917,301.8310917,172.8187231,172.8187231,172.8187231
100,305.8307661,305.8307661,184.5822847,184.5822847,184.5822847,338.7379509,338.7379509,338.7379509,338.7379509,338.7379509,338.7379509,338.7379509,234.8667867,278.4310742,278.4310742,278.4310742,278.4310742,338.7379509,338.7379509,338.7379509,338.7379509,338.7379509,338.7379509,338.7379509,338.7379509,338.7379509,338.7379509,338.7379509,338.7379509,136.6373326,136.6373326,136.6373326,136.6373326,136.6373326,136.6373326,136.6373326,136.6373326,136.6373326,136.6373326,136.6373326,136.6373326,305.8307661,305.8307661,305.8307661,189.4878725,189.4878725,189.4878725,189.4878725,189.4878725,189.4878725,189.4878725,189.4878725,189.4878725,189.4878725,261.5675937,261.5675937,261.5675937,261.5675937,261.5675937,261.5675937,261.5675937,261.5675937,298.9550494,298.9550494,298.9550494,298.9550494,260.9772112,260.9772112,260.9772112,260.9772112,260.9772112,260.9772112,469.4863166,469.4863166,260.9772112,260.9772112,469.4863166,469.4863166,469.4863166,469.4863166,335.251894,335.251894,335.251894,335.251894,298.9550494,298.9550494,335.251894,335.251894,335.251894,335.251894,189.4878725,189.4878725,189.4878725
