Tahun,centroid_0,centroid_1,centroid_2,centroid_3,centroid_4,centroid_5,centroid_6,centroid_7,centroid_8,centroid_9,centroid_10,centroid_11,centroid_12,centroid_13,centroid_14,centroid_15,centroid_16,centroid_17,centroid_18,centroid_19,centroid_20,centroid_21,centroid_22,centroid_23,centroid_24,centroid_25,centroid_26,centroid_27,centroid_28,centroid_29,centroid_30,centroid_31,centroid_32,centroid_33,centroid_34,centroid_35,centroid_36,centroid_37,centroid_38,centroid_39,centroid_40,centroid_41,centroid_42,centroid_43,centroid_44,centroid_45,centroid_46,centroid_47,centroid_48,centroid_49,centroid_50,centroid_51,centroid_52,centroid_53,centroid_54,centroid_55,centroid_56,centroid_57,centroid_58,centroid_59,centroid_60,centroid_61,centroid_62,centroid_63,centroid_64,centroid_65,centroid_66,centroid_67,centroid_68,centroid_69,centroid_70,centroid_71,centroid_72,centroid_73,centroid_74,centroid_75,centroid_76,centroid_77,centroid_78,centroid_79,centroid_80,centroid_81,centroid_82,centroid_83,centroid_84,centroid_85,centroid_86,centroid_87,centroid_88,centroid_89,centroid_90,centroid_91,centroid_92
2,184.8833917,184.8833917,160.7981927,160.7981927,164.3261219,183.8721663,199.8592411,180.9727086,180.9727086,187.428142,162.1351876,160.6103834,182.2844116,163.2905046,165.9058123,165.9058123,200.3283671,194.1362327,194.1362327,201.8804601,201.8804601,181.5501089,192.4084993,181.5501089,152.4040278,166.3982421,213.4171631,197.3329389,223.6071554,167.3387313,152.6757375,165.8045902,145.2305398,167.8081173,170.9250778,146.6309104,146.9232958,225.0606231,184.5422453,188.9864517,186.9785195,191.285264,149.5601179,149.5601179,162.4791119,164.4329608,155.6044034,169.1698643,173.2373455,163.4906782,156.647657,156.647657,156.647657,165.9758948,144.6615129,151.7432688,151.7432688,138.8852451,156.5513438,138.6777313,138.6777313,138.6777313,166.7730053,182.5863559,189.4301665,189.4301665,146.881107,131.8401009,146.881107,131.8401009,199.001624,190.5426563,175.3339372,194.4790501,242.8818087,261.177889,233.5984463,255.8740531,255.8740531,255.8740531,188.720368,136.0347907,199.4759574,199.0516349,223.6305583,223.6305583,191.7628002,236.4924982,287.7715231,287.7715231,159.0339527,162.0502815,164.2217063
5,235.5127146,235.5127146,190.1702976,190.1702976,201.8334744,229.5552813,252.0996639,222.3196479,222.3196479,234.7402287,186.4847879,189.404933,234.1224048,197.289816,199.8786775,199.8786775,244.9885756,231.9492357,231.9492357,252.0105792,252.0105792,222.3286021,231.2931049,222.3286021,184.0817372,196.4053476,278.5972979,253.6220075,295.3160519,197.8193535,183.7529668,203.7831491,179.2007235,207.0139969,216.6934992,182.7705207,179.5197424,296.9630269,234.3557739,237.5715548,231.5908841,228.0741595,174.4218082,174.4218082,193.1295819,196.953111,188.31858,198.8993583,206.7246869,191.531656,193.1218547,193.1218547,193.1218547,192.2073966,166.3483614,174.6073129,174.6073129,170.7069821,193.9070057,168.3213434,168.3213434,168.3213434,200.1927521,235.2358602,243.7768606,243.7768606,182.1528804,156.3600212,182.1528804,156.3600212,251.6186116,240.6352853,213.62146,256.6794086,326.5438852,374.5227754,312.0778036,346.6767825,346.6767825,346.6767825,233.9378078,164.4473707,239.5331015,236.0496387,304.3219385,304.3219385,233.7536296,312.2986374,367.5604268,367.5604268,194.0322979,204.9073915,201.7086508
10,269.0337318,269.0337318,209.6171868,209.6171868,226.6666054,259.8014785,286.6873693,249.6949195,249.6949195,266.0649468,202.606342,208.4694303,268.4436669,219.8003185,222.3716703,222.3716703,274.5575196,256.9847339,256.9847339,285.20108,285.20108,249.3275129,257.0380973,249.3275129,205.0551372,216.2726624,321.7522186,290.8902688,342.793581,218.0001777,204.3287967,228.9282597,201.691941,232.9717006,246.9961767,206.6980873,201.1014264,344.5686746,267.3366643,269.7391206,261.1281513,252.4316095,190.8824105,190.8824105,213.4228601,218.4842801,209.9782114,218.5828701,228.8962207,210.0972232,217.2709473,217.2709473,217.2709473,209.5749333,180.7069422,189.7452996,189.7452996,191.7757409,218.6397044,187.947994,187.947994,187.947994,222.3195324,270.0944133,279.759101,279.759101,205.5058635,172.594342,205.5058635,172.594342,286.4556357,273.8009644,238.9711315,297.8614582,381.9354595,449.5669527,364.0379668,406.7960904,406.7960904,406.7960904,263.8756875,183.2589709,266.0544164,260.5455366,357.7466534,357.7466534,261.5552123,362.4888976,420.3876236,420.3876236,217.2042477,233.2825274,226.5282699
20,301.1878962,301.1878962,228.2711098,228.2711098,250.4871408,288.8143571,319.8647268,275.9539372,275.9539372,296.1123685,218.0705238,226.7565538,301.3654455,241.3929329,243.947489,243.947489,302.9207606,280.9993849,280.9993849,317.0382053,317.0382053,275.2255163,281.7333121,275.2255163,225.173326,235.3298678,363.1474547,326.6388798,388.3351668,237.3581087,224.0656267,253.0480535,223.2660567,257.8709532,276.0632324,229.6499836,221.8030958,390.2331548,298.9727262,300.595022,289.4610072,275.7958602,206.6718154,206.6718154,232.8886597,239.1374945,230.75465,237.4637672,250.1636882,227.905761,240.4353366,240.4353366,240.4353366,226.2342915,194.4800376,204.2660199,204.2660199,211.9854002,242.3639027,206.7743485,206.7743485,206.7743485,243.5440712,303.5315743,314.2741298,314.2741298,227.9066055,188.1666923,227.9066055,188.1666923,319.8721457,305.6142801,263.2871451,337.3642689,435.0683874,521.5511292,413.8794028,464.4639738,464.4639738,464.4639738,292.5928204,201.3035095,291.4942984,284.0425899,408.9929226,408.9929226,288.223158,410.6326002,471.0607392,471.0607392,239.4313382,260.500639,250.3358444
25,311.3876258,311.3876258,234.1883828,234.1883828,258.0433322,298.0176289,330.3890268,284.2836477,284.2836477,305.6438112,222.9759684,232.5574732,311.8086726,248.2423981,250.7916263,250.7916263,311.9179588,288.6171523,288.6171523,327.1373658,327.1373658,283.4407082,289.5669634,283.4407082,231.5550837,241.3750673,376.2785753,337.9788157,402.7815649,243.4987025,230.3264123,260.6991736,230.1096539,265.769328,285.2836899,236.9306311,228.3699413,404.7185366,309.0081068,310.3829253,298.4485667,283.2073121,211.6804251,211.6804251,239.0634708,245.6889694,237.3452132,243.4530395,256.9100124,233.5548666,247.7833897,247.7833897,247.7833897,231.518862,198.8490471,208.872186,208.872186,218.3961735,249.8895346,212.7463191,212.7463191,212.7463191,250.2767779,314.1382875,325.2227571,325.2227571,235.0124195,193.1064494,235.0124195,193.1064494,330.4723081,315.7058879,271.0005088,349.895087,451.9228604,544.3854696,429.6897707,482.7569952,482.7569952,482.7569952,301.7022778,207.0274777,299.5641681,291.4961684,425.2489223,425.2489223,296.6825859,425.9044244,487.1349269,487.1349269,246.4820677,269.1345869,257.8879244
50,342.8081639,342.8081639,252.4166997,252.4166997,281.3203806,326.3685523,362.8094129,309.9435422,309.9435422,335.0056738,238.0873208,250.4273595,343.979311,269.3423575,271.8751733,271.8751733,339.6340668,312.0838873,312.0838873,358.2480983,358.2480983,308.7478253,313.6987345,308.7478253,251.2142579,259.9974653,416.7293416,372.9117898,447.2840782,262.4149648,249.6129287,284.2686525,251.1915367,290.1004817,313.6875545,259.3588592,248.5992834,449.3411404,339.9223633,340.5348214,326.1349829,306.0384863,227.1095804,227.1095804,258.0851406,265.870962,257.6476185,261.9031519,277.6922435,250.9570865,270.4192626,270.4192626,270.4192626,247.7981219,212.3078968,223.0616029,223.0616029,238.1447311,273.0724439,231.1431332,231.1431332,231.1431332,271.0170598,346.8125494,358.9502943,358.9502943,256.9020683,208.3235024,256.9020683,208.3235024,363.1263902,346.7933539,294.7617305,388.4966054,503.8435125,614.727262,478.3940293,539.1091338,539.1091338,539.1091338,329.7642034,224.6603138,324.4236162,314.4571152,475.3259615,475.3259615,322.7420782,472.9496849,536.6518895,536.6518895,268.202027,295.7316926,281.1523075
100,373.9966977,373.9966977,270.5104216,270.5104216,304.4255549,354.510137,394.9904119,335.4139681,335.4139681,364.150733,253.0870935,268.1652973,375.9124065,290.2865182,292.8030426,292.8030426,367.1455235,335.3773475,335.3773475,389.129114,389.129114,333.8680785,337.6523204,333.8680785,270.7282718,278.4823585,456.8814258,407.5868243,491.457992,281.1915524,268.7570365,307.6640981,272.1177542,314.2519779,341.8816894,281.6214807,268.6792553,493.6342579,370.6083538,370.4640807,353.6169668,328.7010788,242.4248093,242.4248093,276.9663574,285.9039339,277.800114,280.2170315,298.3210218,268.2308111,292.8879958,292.8879958,292.8879958,263.9571782,225.6673686,237.1462474,237.1462474,257.7474685,296.0841742,249.4041082,249.4041082,249.4041082,291.6041986,379.2455497,392.4287927,392.4287927,278.6300874,223.4281951,278.6300874,223.4281951,395.5393596,377.651275,318.3475031,426.8130961,555.3807907,684.5496616,526.7386633,595.045177,595.045177,595.045177,357.6189241,242.1629518,349.099506,337.248522,525.0332397,525.0332397,348.6091514,519.6475706,585.8032266,585.8032266,289.7616096,322.1324096,304.2449101
