index,time,centroid_0,centroid_1,centroid_2,centroid_3,centroid_4,centroid_5,centroid_6,centroid_7,centroid_8,centroid_9,centroid_10,centroid_11,centroid_12,centroid_13,centroid_14,centroid_15,centroid_16,centroid_17,centroid_18,centroid_19,centroid_20,centroid_21,centroid_22,centroid_23,centroid_24,centroid_25,centroid_26,centroid_27,centroid_28,centroid_29,centroid_30,centroid_31,centroid_32,centroid_33,centroid_34,centroid_35,centroid_36,centroid_37,centroid_38,centroid_39,centroid_40,centroid_41,centroid_42,centroid_43,centroid_44,centroid_45,centroid_46,centroid_47,centroid_48,centroid_49,centroid_50,centroid_51,centroid_52,centroid_53,centroid_54,centroid_55,centroid_56,centroid_57,centroid_58,centroid_59,centroid_60,centroid_61,centroid_62,centroid_63,centroid_64,centroid_65,centroid_66,centroid_67,centroid_68,centroid_69,centroid_70,centroid_71,centroid_72,centroid_73,centroid_74,centroid_75,centroid_76,centroid_77,centroid_78,centroid_79,centroid_80,centroid_81,centroid_82,centroid_83,centroid_84,centroid_85,centroid_86,centroid_87,centroid_88,centroid_89,centroid_90,centroid_91,centroid_92
213,2000-12-31,274.0,274.0,90.7,90.7,90.7,161.0,161.0,161.0,161.0,161.0,161.0,161.0,63.3,85.5,85.5,85.5,85.5,161.0,161.0,161.0,161.0,161.0,161.0,161.0,161.0,161.0,161.0,161.0,161.0,89.4,89.4,89.4,89.4,89.4,89.4,89.4,89.4,89.4,89.4,89.4,89.4,274.0,274.0,274.0,233.0,233.0,233.0,233.0,233.0,233.0,233.0,233.0,233.0,233.0,357.0,357.0,357.0,357.0,357.0,357.0,357.0,357.0,108.7,108.7,108.7,108.7,330.0,330.0,330.0,330.0,330.0,330.0,374.0,374.0,330.0,330.0,374.0,374.0,374.0,374.0,153.0,153.0,153.0,153.0,108.7,108.7,153.0,153.0,153.0,153.0,233.0,233.0,233.0
578,2001-12-31,277.0,277.0,207.0,207.0,207.0,212.0,212.0,212.0,212.0,212.0,212.0,212.0,102.9,128.5,128.5,128.5,128.5,212.0,212.0,212.0,212.0,212.0,212.0,212.0,212.0,212.0,212.0,212.0,212.0,87.5,87.5,87.5,87.5,87.5,87.5,87.5,87.5,87.5,87.5,87.5,87.5,277.0,277.0,277.0,232.0,232.0,232.0,232.0,232.0,232.0,232.0,232.0,232.0,232.0,186.0,186.0,186.0,186.0,186.0,186.0,186.0,186.0,124.2,124.2,124.2,124.2,152.0,152.0,152.0,152.0,152.0,152.0,261.0,261.0,152.0,152.0,261.0,261.0,261.0,261.0,200.0,200.0,200.0,200.0,124.2,124.2,200.0,200.0,200.0,200.0,232.0,232.0,232.0
943,2002-12-31,262.0,262.0,195.5,195.5,195.5,229.0,229.0,229.0,229.0,229.0,229.0,229.0,145.9,286.5,286.5,286.5,286.5,229.0,229.0,229.0,229.0,229.0,229.0,229.0,229.0,229.0,229.0,229.0,229.0,123.2,123.2,123.2,123.2,123.2,123.2,123.2,123.2,123.2,123.2,123.2,123.2,262.0,262.0,262.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,99.4,99.4,99.4,99.4,88.0,88.0,88.0,88.0,88.0,88.0,84.0,84.0,88.0,88.0,84.0,84.0,84.0,84.0,148.0,148.0,148.0,148.0,99.4,99.4,148.0,148.0,148.0,148.0,140.0,140.0,140.0
1308,2003-12-31,298.0,298.0,169.0,169.0,169.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,134.9,93.5,93.5,93.5,93.5,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,109.19999999999999,109.19999999999999,109.19999999999999,109.19999999999999,109.19999999999999,109.19999999999999,109.19999999999999,109.19999999999999,109.19999999999999,109.19999999999999,109.19999999999999,109.19999999999999,298.0,298.0,298.0,141.0,141.0,141.0,141.0,141.0,141.0,141.0,141.0,141.0,141.0,363.0,363.0,363.0,363.0,363.0,363.0,363.0,363.0,92.5,92.5,92.5,92.5,92.0,92.0,92.0,92.0,92.0,92.0,86.0,86.0,92.0,92.0,86.0,86.0,86.0,86.0,122.0,122.0,122.0,122.0,92.5,92.5,122.0,122.0,122.0,122.0,141.0,141.0,141.0
1674,2004-12-31,236.0,236.0,329.0,329.0,329.0,162.0,162.0,162.0,162.0,162.0,162.0,162.0,156.8,127.5,127.5,127.5,127.5,162.0,162.0,162.0,162.0,162.0,162.0,162.0,162.0,162.0,162.0,162.0,162.0,89.79999999999998,89.79999999999998,89.79999999999998,89.79999999999998,89.79999999999998,89.79999999999998,89.79999999999998,89.79999999999998,89.79999999999998,89.79999999999998,89.79999999999998,89.79999999999998,236.0,236.0,236.0,208.0,208.0,208.0,208.0,208.0,208.0,208.0,208.0,208.0,208.0,134.0,134.0,134.0,134.0,134.0,134.0,134.0,134.0,109.0,109.0,109.0,109.0,106.0,106.0,106.0,106.0,106.0,106.0,103.0,103.0,106.0,106.0,103.0,103.0,103.0,103.0,120.0,120.0,120.0,120.0,109.0,109.0,120.0,120.0,120.0,120.0,208.0,208.0,208.0
2039,2005-12-31,325.0,325.0,176.70000000000002,176.70000000000002,176.70000000000002,197.0,197.0,197.0,197.0,197.0,197.0,197.0,117.4,78.0,78.0,78.0,78.0,197.0,197.0,197.0,197.0,197.0,197.0,197.0,197.0,197.0,197.0,197.0,197.0,87.79999999999998,87.79999999999998,87.79999999999998,87.79999999999998,87.79999999999998,87.79999999999998,87.79999999999998,87.79999999999998,87.79999999999998,87.79999999999998,87.79999999999998,87.79999999999998,325.0,325.0,325.0,158.0,158.0,158.0,158.0,158.0,158.0,158.0,158.0,158.0,158.0,275.0,275.0,275.0,275.0,275.0,275.0,275.0,275.0,103.0,103.0,103.0,103.0,172.0,172.0,172.0,172.0,172.0,172.0,101.0,101.0,172.0,172.0,101.0,101.0,101.0,101.0,192.0,192.0,192.0,192.0,103.0,103.0,192.0,192.0,192.0,192.0,158.0,158.0,158.0
2404,2006-12-31,420.0,420.0,231.7,231.7,231.7,157.0,157.0,157.0,157.0,157.0,157.0,157.0,105.0,153.7,153.7,153.7,153.7,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,103.9,103.9,103.9,103.9,103.9,103.9,103.9,103.9,103.9,103.9,103.9,103.9,420.0,420.0,420.0,116.0,116.0,116.0,116.0,116.0,116.0,116.0,116.0,116.0,116.0,204.0,204.0,204.0,204.0,204.0,204.0,204.0,204.0,94.5,94.5,94.5,94.5,167.0,167.0,167.0,167.0,167.0,167.0,88.0,88.0,167.0,167.0,88.0,88.0,88.0,88.0,197.0,197.0,197.0,197.0,94.5,94.5,197.0,197.0,197.0,197.0,116.0,116.0,116.0
2769,2007-12-31,236.0,236.0,173.7,173.7,173.7,136.0,136.0,136.0,136.0,136.0,136.0,136.0,105.0,123.50000000000001,123.50000000000001,123.50000000000001,123.50000000000001,136.0,136.0,136.0,136.0,136.0,136.0,136.0,136.0,136.0,136.0,136.0,136.0,139.9,139.9,139.9,139.9,139.9,139.9,139.9,139.9,139.9,139.9,139.9,139.9,236.0,236.0,236.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,447.0,447.0,447.0,447.0,447.0,447.0,447.0,447.0,126.0,126.0,126.0,126.0,78.0,78.0,78.0,78.0,78.0,78.0,162.0,162.0,78.0,78.0,162.0,162.0,162.0,162.0,226.0,226.0,226.0,226.0,126.0,126.0,226.0,226.0,226.0,226.0,0.0,0.0,0.0
3135,2008-12-31,294.4,294.4,200.0,200.0,200.0,239.0,239.0,239.0,239.0,239.0,239.0,239.0,145.5,97.50000000000001,97.50000000000001,97.50000000000001,97.50000000000001,239.0,239.0,239.0,239.0,239.0,239.0,239.0,239.0,239.0,239.0,239.0,239.0,99.30000000000001,99.30000000000001,99.30000000000001,99.30000000000001,99.30000000000001,99.30000000000001,99.30000000000001,99.30000000000001,99.30000000000001,99.30000000000001,99.30000000000001,99.30000000000001,294.4,294.4,294.4,117.0,117.0,117.0,117.0,117.0,117.0,117.0,117.0,117.0,117.0,181.0,181.0,181.0,181.0,181.0,181.0,181.0,181.0,133.0,133.0,133.0,133.0,154.0,154.0,154.0,154.0,154.0,154.0,104.0,104.0,154.0,154.0,104.0,104.0,104.0,104.0,124.0,124.0,124.0,124.0,133.0,133.0,124.0,124.0,124.0,124.0,117.0,117.0,117.0
3500,2009-12-31,250.0,250.0,246.1,246.1,246.1,136.0,136.0,136.0,136.0,136.0,136.0,136.0,193.9,99.60000000000002,99.60000000000002,99.60000000000002,99.60000000000002,136.0,136.0,136.0,136.0,136.0,136.0,136.0,136.0,136.0,136.0,136.0,136.0,74.5,74.5,74.5,74.5,74.5,74.5,74.5,74.5,74.5,74.5,74.5,74.5,250.0,250.0,250.0,197.0,197.0,197.0,197.0,197.0,197.0,197.0,197.0,197.0,197.0,252.0,252.0,252.0,252.0,252.0,252.0,252.0,252.0,122.7,122.7,122.7,122.7,128.0,128.0,128.0,128.0,128.0,128.0,110.0,110.0,128.0,128.0,110.0,110.0,110.0,110.0,102.0,102.0,102.0,102.0,122.7,122.7,102.0,102.0,102.0,102.0,197.0,197.0,197.0
