Tahun,centroid_0,centroid_1,centroid_2,centroid_3,centroid_4,centroid_5,centroid_6,centroid_7,centroid_8,centroid_9,centroid_10,centroid_11,centroid_12,centroid_13,centroid_14,centroid_15,centroid_16,centroid_17,centroid_18,centroid_19,centroid_20,centroid_21,centroid_22,centroid_23,centroid_24,centroid_25,centroid_26,centroid_27,centroid_28,centroid_29,centroid_30,centroid_31,centroid_32,centroid_33,centroid_34,centroid_35,centroid_36,centroid_37,centroid_38,centroid_39,centroid_40,centroid_41,centroid_42,centroid_43,centroid_44,centroid_45,centroid_46,centroid_47,centroid_48,centroid_49,centroid_50,centroid_51,centroid_52,centroid_53,centroid_54,centroid_55,centroid_56,centroid_57,centroid_58,centroid_59,centroid_60,centroid_61,centroid_62,centroid_63,centroid_64,centroid_65,centroid_66,centroid_67,centroid_68,centroid_69,centroid_70,centroid_71,centroid_72,centroid_73,centroid_74,centroid_75,centroid_76,centroid_77,centroid_78,centroid_79,centroid_80,centroid_81,centroid_82,centroid_83,centroid_84,centroid_85,centroid_86,centroid_87,centroid_88,centroid_89,centroid_90,centroid_91,centroid_92
2,274.2312184,274.2312184,281.340234,281.340234,290.0673258,245.9896249,260.8439592,247.7395943,247.7395943,259.2018328,266.0671513,267.9970753,214.3985607,214.4665403,225.1658867,225.1658867,231.6080033,271.8857112,271.8857112,211.3508004,211.3508004,231.3317749,246.407368,231.3317749,239.0462089,239.3111865,260.4822496,251.5926033,265.7438057,230.9506856,215.2748024,225.7754334,215.2060152,212.3820199,223.6964278,250.9666803,220.662588,259.3881545,245.9062864,258.6817512,251.4090411,257.7027641,251.781757,251.781757,242.3216717,243.8644218,261.357726,242.6375331,278.8000975,257.521113,241.5657946,241.5657946,241.5657946,268.4957175,276.5520771,258.1391684,258.1391684,234.3616147,248.3816707,260.1710543,260.1710543,260.1710543,216.8901269,212.5247135,217.1866042,217.1866042,215.2692002,206.0715819,215.2692002,206.0715819,212.6923688,212.0091022,215.3913235,214.9243665,211.7111882,238.2018004,216.0198649,238.4705237,238.4705237,238.4705237,223.2517554,195.8927756,217.5453642,233.2420212,222.6564584,222.6564584,238.3135846,260.3944611,256.6357246,256.6357246,252.5245,251.914299,252.1699562
5,328.1484967,328.1484967,334.4444025,334.4444025,359.1062742,284.5383195,304.1457369,293.3725202,293.3725202,303.9501839,307.3841284,308.2353091,256.0453804,262.0773502,272.2139579,272.2139579,266.2437474,317.400164,317.400164,251.5161595,251.5161595,274.4355308,297.0906951,274.4355308,277.0755901,261.6781405,311.9997572,295.8216778,316.3755258,267.2178067,257.2805973,266.6641441,260.7910702,255.4565853,269.293322,290.6247632,261.3326504,299.8879024,286.0893049,295.0502069,290.5746054,291.436802,306.8265225,306.8265225,286.3907265,281.3525254,301.7124511,289.8973669,348.6961868,305.1303149,289.7375405,289.7375405,289.7375405,331.9829917,341.30582,311.5123587,311.5123587,283.6083289,296.7786173,315.5790238,315.5790238,315.5790238,256.3510157,251.0899099,253.7006192,253.7006192,257.6106723,246.2094479,257.6106723,246.2094479,259.727792,259.5148823,247.7121106,247.7989607,264.609018,294.2250621,257.9877037,286.506288,286.506288,286.506288,271.9965319,233.0258729,250.16403,272.8641242,259.046832,259.046832,282.8743923,309.2674557,298.2951497,298.2951497,297.8837611,298.3299474,300.5750937
10,363.8464264,363.8464264,369.6039827,369.6039827,404.8160653,310.0609096,332.8152816,323.5854878,323.5854878,333.577486,334.7395623,334.8765211,283.6191989,293.5998491,303.3638748,303.3638748,289.1756238,347.5346921,347.5346921,278.1091221,278.1091221,302.9739678,330.6474678,302.9739678,302.2543494,276.4870103,346.1088298,325.1051736,349.8981301,291.2297966,285.0920887,293.7360285,290.9723431,283.9756957,299.4824334,316.8818648,288.2597705,326.7022595,312.6939596,319.129289,316.5056169,313.7716705,343.2709468,343.2709468,315.5682753,306.172912,328.4307905,321.187489,394.9734798,336.6517492,321.6314279,321.6314279,321.6314279,374.0170914,384.1784321,346.8500548,346.8500548,316.2139388,328.8216071,352.2639209,352.2639209,352.2639209,282.4775577,276.6234257,277.8760743,277.8760743,285.6444112,272.7842077,285.6444112,272.7842077,290.8693349,290.9678423,269.1112841,269.5648025,299.6319841,331.3173362,285.7740647,318.3101437,318.3101437,318.3101437,304.2698153,257.6112145,271.760425,299.0974041,283.1404258,283.1404258,312.3775244,341.6256308,325.877314,325.877314,327.9155388,329.0611453,332.6235066
20,398.0887377,398.0887377,403.3298962,403.3298962,448.6619944,334.5427907,360.3157971,352.5664918,352.5664918,361.9967055,360.9795513,360.4314112,310.0686676,323.8369868,333.243623,333.243623,311.1724302,376.440455,376.440455,303.6177303,303.6177303,330.3487217,362.8359298,330.3487217,326.4064199,290.6920337,378.8270713,353.1946058,382.053817,314.2626738,311.7695388,319.7040299,319.9229446,311.331911,328.4405539,342.0683071,314.0889106,352.4232346,338.2137831,342.2265227,341.3792656,335.1958125,378.2293136,378.2293136,343.5560807,329.9812226,354.0596631,351.2017255,439.3637703,366.8878657,352.2248104,352.2248104,352.2248104,414.337209,425.3028711,380.7468213,380.7468213,347.4900226,359.5580122,387.4529549,387.4529549,387.4529549,307.538764,301.1157869,301.0657513,301.0657513,312.5350465,298.2753553,312.5350465,298.2753553,320.7410505,321.1382766,289.637885,290.4431206,333.226854,366.897136,312.4274093,348.8171656,348.8171656,348.8171656,335.2271236,281.1940643,292.4762055,324.260996,306.2515794,306.2515794,340.677637,372.6643692,352.3347882,352.3347882,356.722741,358.5392482,363.3651136
25,408.9508552,408.9508552,414.0282056,414.0282056,462.5705076,342.3087697,369.0393272,361.7596525,361.7596525,371.0116608,369.3032256,368.537763,318.4587917,333.42861,342.7218775,342.7218775,318.1501104,385.6097483,385.6097483,311.7094008,311.7094008,339.0323586,373.046539,339.0323586,334.0677786,295.1980565,389.2057336,362.1049482,392.2540295,321.5690095,320.2319816,327.9414261,329.1064614,320.0096672,337.6264557,350.0577823,322.2822582,360.5822708,346.3090114,349.5532731,349.2695186,341.9918359,389.3185736,389.3185736,352.4341856,337.5335362,362.1894831,360.7226414,453.4449622,376.479165,361.9294391,361.9294391,361.9294391,427.1272878,438.3480913,391.4993275,391.4993275,357.4112133,369.3080096,398.6153855,398.6153855,398.6153855,315.4885127,308.8850904,308.4218259,308.4218259,321.0651145,306.3614872,321.0651145,306.3614872,330.2167569,330.7087406,296.1491965,297.0660014,343.8835946,378.1835227,320.8822055,358.4943997,358.4943997,358.4943997,345.0471945,288.6748587,299.0475273,332.2432227,313.5827454,313.5827454,349.6548099,382.5102707,360.7274517,360.7274517,365.8607695,367.8900954,373.1167612
50,442.4118972,442.4118972,446.9846318,446.9846318,505.4160521,366.2320746,395.9123936,390.0794286,390.0794286,398.78247,394.9445255,393.5095953,344.3047919,362.9758601,371.9198922,371.9198922,339.6450397,413.856,413.856,336.6360071,336.6360071,365.7825328,404.5005922,365.7825328,357.6687978,309.0789795,421.1774787,389.5534946,423.6760553,344.0763707,346.3007617,353.3169441,357.3965288,346.7417257,365.9238705,374.6695731,347.5220831,385.7163986,371.246577,372.1235226,373.5756525,362.9271667,423.4793337,423.4793337,379.7834239,360.7986387,387.2336098,390.0520758,496.8224481,406.0254172,391.8248059,391.8248059,391.8248059,466.5274654,478.5342389,424.6227086,424.6227086,387.973705,399.3431358,433.0015499,433.0015499,433.0015499,339.977925,332.8186364,331.0824095,331.0824095,347.3422157,331.2710312,347.3422157,331.2710312,359.4069223,360.1908092,316.2074644,317.4679617,376.7119672,412.9515372,346.92743,388.3053763,388.3053763,388.3053763,375.2981838,311.7196445,319.2906586,356.8326845,336.1665971,336.1665971,377.3092299,412.8408322,386.5812747,386.5812747,394.0107093,396.6956287,403.1569707
100,475.625868,475.625868,479.697713,479.697713,547.9452319,389.9787336,422.5870335,418.1900959,418.1900959,426.348224,420.3964941,418.2970394,369.9599492,392.304938,400.9023133,400.9023133,360.9812539,441.8936859,441.8936859,361.3785591,361.3785591,392.3351878,435.7223935,392.3351878,381.0955507,322.857408,452.9131495,416.7993653,454.8660658,366.4175412,372.1770539,378.5050933,385.4777067,373.2763989,394.0123416,399.0996344,372.5755411,410.6649399,396.0000076,394.5271168,397.7023138,383.7079143,457.387856,457.387856,406.9307196,383.8919553,412.0928146,419.1649464,539.8796414,435.3535045,421.49943,421.49943,421.49943,505.6367183,518.4236583,457.5015119,457.5015119,418.310528,429.1564874,467.1338122,467.1338122,467.1338122,364.2865112,356.5754607,353.5756708,353.5756708,373.4252908,355.996647,373.4252908,355.996647,388.3815521,389.4551869,336.1176253,337.7192772,409.2979403,447.4628301,372.7803406,417.8962334,417.8962334,417.8962334,405.3258045,334.5942712,339.3843177,381.2405815,358.5836932,358.5836932,404.7594539,442.9474376,412.2441971,412.2441971,421.9527944,425.2884665,432.975368
