Tahun,centroid_0,centroid_1,centroid_2,centroid_3,centroid_4,centroid_5,centroid_6,centroid_7,centroid_8,centroid_9,centroid_10,centroid_11,centroid_12,centroid_13,centroid_14,centroid_15,centroid_16,centroid_17,centroid_18,centroid_19,centroid_20,centroid_21,centroid_22,centroid_23,centroid_24,centroid_25,centroid_26,centroid_27,centroid_28,centroid_29,centroid_30,centroid_31,centroid_32,centroid_33,centroid_34,centroid_35,centroid_36,centroid_37,centroid_38,centroid_39,centroid_40,centroid_41,centroid_42,centroid_43,centroid_44,centroid_45,centroid_46,centroid_47,centroid_48,centroid_49,centroid_50,centroid_51,centroid_52,centroid_53,centroid_54,centroid_55,centroid_56,centroid_57,centroid_58,centroid_59,centroid_60,centroid_61,centroid_62,centroid_63,centroid_64,centroid_65,centroid_66,centroid_67,centroid_68,centroid_69,centroid_70,centroid_71,centroid_72,centroid_73,centroid_74,centroid_75,centroid_76,centroid_77,centroid_78,centroid_79,centroid_80,centroid_81,centroid_82,centroid_83,centroid_84,centroid_85,centroid_86,centroid_87,centroid_88,centroid_89,centroid_90,centroid_91,centroid_92
2,446.9939254,446.9939254,387.7276335,387.7276335,387.7276335,324.0747915,324.0747915,324.0747915,324.0747915,324.0747915,324.0747915,324.0747915,214.4429461,245.1584516,245.1584516,245.1584516,245.1584516,324.0747915,324.0747915,324.0747915,324.0747915,324.0747915,324.0747915,324.0747915,324.0747915,324.0747915,324.0747915,324.0747915,324.0747915,185.4891928,185.4891928,185.4891928,185.4891928,185.4891928,185.4891928,185.4891928,185.4891928,185.4891928,185.4891928,185.4891928,185.4891928,446.9939254,446.9939254,446.9939254,339.1611996,339.1611996,339.1611996,339.1611996,339.1611996,339.1611996,339.1611996,339.1611996,339.1611996,339.1611996,435.6149955,435.6149955,435.6149955,435.6149955,435.6149955,435.6149955,435.6149955,435.6149955,175.3808149,175.3808149,175.3808149,175.3808149,219.3625871,219.3625871,219.3625871,219.3625871,219.3625871,219.3625871,217.2665068,217.2665068,219.3625871,219.3625871,217.2665068,217.2665068,217.2665068,217.2665068,304.48539,304.48539,304.48539,304.48539,175.3808149,175.3808149,304.48539,304.48539,304.48539,304.48539,339.1611996,339.1611996,339.1611996
5,560.2281774,560.2281774,500.9131363,500.9131363,500.9131363,383.7847141,383.7847141,383.7847141,383.7847141,383.7847141,383.7847141,383.7847141,272.2086938,323.1961031,323.1961031,323.1961031,323.1961031,383.7847141,383.7847141,383.7847141,383.7847141,383.7847141,383.7847141,383.7847141,383.7847141,383.7847141,383.7847141,383.7847141,383.7847141,233.9919099,233.9919099,233.9919099,233.9919099,233.9919099,233.9919099,233.9919099,233.9919099,233.9919099,233.9919099,233.9919099,233.9919099,560.2281774,560.2281774,560.2281774,444.1705659,444.1705659,444.1705659,444.1705659,444.1705659,444.1705659,444.1705659,444.1705659,444.1705659,444.1705659,564.6174718,564.6174718,564.6174718,564.6174718,564.6174718,564.6174718,564.6174718,564.6174718,301.6877135,301.6877135,301.6877135,301.6877135,307.6997712,307.6997712,307.6997712,307.6997712,307.6997712,307.6997712,279.2984912,279.2984912,307.6997712,307.6997712,279.2984912,279.2984912,279.2984912,279.2984912,376.1460898,376.1460898,376.1460898,376.1460898,301.6877135,301.6877135,376.1460898,376.1460898,376.1460898,376.1460898,444.1705659,444.1705659,444.1705659
10,635.1991051,635.1991051,575.8517878,575.8517878,575.8517878,423.3178784,423.3178784,423.3178784,423.3178784,423.3178784,423.3178784,423.3178784,310.4546452,374.8638187,374.8638187,374.8638187,374.8638187,423.3178784,423.3178784,423.3178784,423.3178784,423.3178784,423.3178784,423.3178784,423.3178784,423.3178784,423.3178784,423.3178784,423.3178784,266.1049289,266.1049289,266.1049289,266.1049289,266.1049289,266.1049289,266.1049289,266.1049289,266.1049289,266.1049289,266.1049289,266.1049289,635.1991051,635.1991051,635.1991051,513.6959036,513.6959036,513.6959036,513.6959036,513.6959036,513.6959036,513.6959036,513.6959036,513.6959036,513.6959036,650.0283361,650.0283361,650.0283361,650.0283361,650.0283361,650.0283361,650.0283361,650.0283361,385.3138707,385.3138707,385.3138707,385.3138707,366.1866736,366.1866736,366.1866736,366.1866736,366.1866736,366.1866736,320.3690625,320.3690625,366.1866736,366.1866736,320.3690625,320.3690625,320.3690625,320.3690625,423.5917084,423.5917084,423.5917084,423.5917084,385.3138707,385.3138707,423.5917084,423.5917084,423.5917084,423.5917084,513.6959036,513.6959036,513.6959036
20,707.1130189,707.1130189,647.7347415,647.7347415,647.7347415,461.2390387,461.2390387,461.2390387,461.2390387,461.2390387,461.2390387,461.2390387,347.1410799,424.424732,424.424732,424.424732,424.424732,461.2390387,461.2390387,461.2390387,461.2390387,461.2390387,461.2390387,461.2390387,461.2390387,461.2390387,461.2390387,461.2390387,461.2390387,296.9085078,296.9085078,296.9085078,296.9085078,296.9085078,296.9085078,296.9085078,296.9085078,296.9085078,296.9085078,296.9085078,296.9085078,707.1130189,707.1130189,707.1130189,580.3862767,580.3862767,580.3862767,580.3862767,580.3862767,580.3862767,580.3862767,580.3862767,580.3862767,580.3862767,731.9564877,731.9564877,731.9564877,731.9564877,731.9564877,731.9564877,731.9564877,731.9564877,465.5300885,465.5300885,465.5300885,465.5300885,422.2887145,422.2887145,422.2887145,422.2887145,422.2887145,422.2887145,359.7649405,359.7649405,422.2887145,422.2887145,359.7649405,359.7649405,359.7649405,359.7649405,469.1026849,469.1026849,469.1026849,469.1026849,465.5300885,465.5300885,469.1026849,469.1026849,469.1026849,469.1026849,580.3862767,580.3862767,580.3862767
25,729.925071,729.925071,670.5369726,670.5369726,670.5369726,473.2681363,473.2681363,473.2681363,473.2681363,473.2681363,473.2681363,473.2681363,358.7785061,440.1461143,440.1461143,440.1461143,440.1461143,473.2681363,473.2681363,473.2681363,473.2681363,473.2681363,473.2681363,473.2681363,473.2681363,473.2681363,473.2681363,473.2681363,473.2681363,306.6798136,306.6798136,306.6798136,306.6798136,306.6798136,306.6798136,306.6798136,306.6798136,306.6798136,306.6798136,306.6798136,306.6798136,729.925071,729.925071,729.925071,601.5413521,601.5413521,601.5413521,601.5413521,601.5413521,601.5413521,601.5413521,601.5413521,601.5413521,601.5413521,757.9451895,757.9451895,757.9451895,757.9451895,757.9451895,757.9451895,757.9451895,757.9451895,490.975742,490.975742,490.975742,490.975742,440.0850298,440.0850298,440.0850298,440.0850298,440.0850298,440.0850298,372.2618382,372.2618382,440.0850298,440.0850298,372.2618382,372.2618382,372.2618382,372.2618382,483.5393734,483.5393734,483.5393734,483.5393734,490.975742,490.975742,483.5393734,483.5393734,483.5393734,483.5393734,601.5413521,601.5413521,601.5413521
50,800.1982038,800.1982038,740.7798516,740.7798516,740.7798516,510.3240911,510.3240911,510.3240911,510.3240911,510.3240911,510.3240911,510.3240911,394.6279066,488.5762505,488.5762505,488.5762505,488.5762505,510.3240911,510.3240911,510.3240911,510.3240911,510.3240911,510.3240911,510.3240911,510.3240911,510.3240911,510.3240911,510.3240911,510.3240911,336.780581,336.780581,336.780581,336.780581,336.780581,336.780581,336.780581,336.780581,336.780581,336.780581,336.780581,336.780581,800.1982038,800.1982038,800.1982038,666.710124,666.710124,666.710124,666.710124,666.710124,666.710124,666.710124,666.710124,666.710124,666.710124,838.0040762,838.0040762,838.0040762,838.0040762,838.0040762,838.0040762,838.0040762,838.0040762,569.3617542,569.3617542,569.3617542,569.3617542,494.9070519,494.9070519,494.9070519,494.9070519,494.9070519,494.9070519,410.7588636,410.7588636,494.9070519,494.9070519,410.7588636,410.7588636,410.7588636,410.7588636,528.0119758,528.0119758,528.0119758,528.0119758,569.3617542,569.3617542,528.0119758,528.0119758,528.0119758,528.0119758,666.710124,666.710124,666.710124
100,869.9524509,869.9524509,810.5040683,810.5040683,810.5040683,547.1064305,547.1064305,547.1064305,547.1064305,547.1064305,547.1064305,547.1064305,430.2126008,536.6487861,536.6487861,536.6487861,536.6487861,547.1064305,547.1064305,547.1064305,547.1064305,547.1064305,547.1064305,547.1064305,547.1064305,547.1064305,547.1064305,547.1064305,547.1064305,366.659089,366.659089,366.659089,366.659089,366.659089,366.659089,366.659089,366.659089,366.659089,366.659089,366.659089,366.659089,869.9524509,869.9524509,869.9524509,731.3977,731.3977,731.3977,731.3977,731.3977,731.3977,731.3977,731.3977,731.3977,731.3977,917.4718206,917.4718206,917.4718206,917.4718206,917.4718206,917.4718206,917.4718206,917.4718206,647.1689763,647.1689763,647.1689763,647.1689763,549.3242768,549.3242768,549.3242768,549.3242768,549.3242768,549.3242768,448.9716331,448.9716331,549.3242768,549.3242768,448.9716331,448.9716331,448.9716331,448.9716331,572.1561995,572.1561995,572.1561995,572.1561995,647.1689763,647.1689763,572.1561995,572.1561995,572.1561995,572.1561995,731.3977,731.3977,731.3977
