index,time,centroid_0,centroid_1,centroid_2,centroid_3,centroid_4,centroid_5,centroid_6,centroid_7,centroid_8,centroid_9,centroid_10,centroid_11,centroid_12,centroid_13,centroid_14,centroid_15,centroid_16,centroid_17,centroid_18,centroid_19,centroid_20,centroid_21,centroid_22,centroid_23,centroid_24,centroid_25,centroid_26,centroid_27,centroid_28,centroid_29,centroid_30,centroid_31,centroid_32,centroid_33,centroid_34,centroid_35,centroid_36,centroid_37,centroid_38,centroid_39,centroid_40,centroid_41,centroid_42,centroid_43,centroid_44,centroid_45,centroid_46,centroid_47,centroid_48,centroid_49,centroid_50,centroid_51,centroid_52,centroid_53,centroid_54,centroid_55,centroid_56,centroid_57,centroid_58,centroid_59,centroid_60,centroid_61,centroid_62,centroid_63,centroid_64,centroid_65,centroid_66,centroid_67,centroid_68,centroid_69,centroid_70,centroid_71,centroid_72,centroid_73,centroid_74,centroid_75,centroid_76,centroid_77,centroid_78,centroid_79,centroid_80,centroid_81,centroid_82,centroid_83,centroid_84,centroid_85,centroid_86,centroid_87,centroid_88,centroid_89,centroid_90,centroid_91,centroid_92
205,2000-12-31,597.0,597.0,275.9,275.9,275.9,318.0,318.0,318.0,318.0,318.0,318.0,318.0,112.5,119.0,119.0,119.0,119.0,318.0,318.0,318.0,318.0,318.0,318.0,318.0,318.0,318.0,318.0,318.0,318.0,218.3,218.3,218.3,218.3,218.3,218.3,218.3,218.3,218.3,218.3,218.3,218.3,597.0,597.0,597.0,590.0,590.0,590.0,590.0,590.0,590.0,590.0,590.0,590.0,590.0,627.0,627.0,627.0,627.0,627.0,627.0,627.0,627.0,281.1,281.1,281.1,281.1,526.0,526.0,526.0,526.0,526.0,526.0,564.0,564.0,526.0,526.0,564.0,564.0,564.0,564.0,352.0,352.0,352.0,352.0,281.1,281.1,352.0,352.0,352.0,352.0,590.0,590.0,590.0
570,2001-12-31,496.0,496.0,360.59999999999997,360.59999999999997,360.59999999999997,319.0,319.0,319.0,319.0,319.0,319.0,319.0,244.6,164.10000000000002,164.10000000000002,164.10000000000002,164.10000000000002,319.0,319.0,319.0,319.0,319.0,319.0,319.0,319.0,319.0,319.0,319.0,319.0,152.20000000000002,152.20000000000002,152.20000000000002,152.20000000000002,152.20000000000002,152.20000000000002,152.20000000000002,152.20000000000002,152.20000000000002,152.20000000000002,152.20000000000002,152.20000000000002,496.0,496.0,496.0,367.0,367.0,367.0,367.0,367.0,367.0,367.0,367.0,367.0,367.0,373.0,373.0,373.0,373.0,373.0,373.0,373.0,373.0,179.1,179.1,179.1,179.1,239.0,239.0,239.0,239.0,239.0,239.0,320.0,320.0,239.0,239.0,320.0,320.0,320.0,320.0,615.0,615.0,615.0,615.0,179.1,179.1,615.0,615.0,615.0,615.0,367.0,367.0,367.0
935,2002-12-31,584.0,584.0,350.09999999999997,350.09999999999997,350.09999999999997,427.0,427.0,427.0,427.0,427.0,427.0,427.0,285.4,382.6,382.6,382.6,382.6,427.0,427.0,427.0,427.0,427.0,427.0,427.0,427.0,427.0,427.0,427.0,427.0,231.3,231.3,231.3,231.3,231.3,231.3,231.3,231.3,231.3,231.3,231.3,231.3,584.0,584.0,584.0,258.0,258.0,258.0,258.0,258.0,258.0,258.0,258.0,258.0,258.0,710.0,710.0,710.0,710.0,710.0,710.0,710.0,710.0,236.3,236.3,236.3,236.3,237.0,237.0,237.0,237.0,237.0,237.0,151.0,151.0,237.0,237.0,151.0,151.0,151.0,151.0,289.0,289.0,289.0,289.0,236.3,236.3,289.0,289.0,289.0,289.0,258.0,258.0,258.0
1300,2003-12-31,439.0,439.0,396.0999999999999,396.0999999999999,396.0999999999999,321.0,321.0,321.0,321.0,321.0,321.0,321.0,254.5,243.8,243.8,243.8,243.8,321.0,321.0,321.0,321.0,321.0,321.0,321.0,321.0,321.0,321.0,321.0,321.0,253.20000000000005,253.20000000000005,253.20000000000005,253.20000000000005,253.20000000000005,253.20000000000005,253.20000000000005,253.20000000000005,253.20000000000005,253.20000000000005,253.20000000000005,253.20000000000005,439.0,439.0,439.0,364.0,364.0,364.0,364.0,364.0,364.0,364.0,364.0,364.0,364.0,676.0,676.0,676.0,676.0,676.0,676.0,676.0,676.0,225.3,225.3,225.3,225.3,151.0,151.0,151.0,151.0,151.0,151.0,191.0,191.0,151.0,151.0,191.0,191.0,191.0,191.0,281.0,281.0,281.0,281.0,225.3,225.3,281.0,281.0,281.0,281.0,364.0,364.0,364.0
1666,2004-12-31,338.0,338.0,391.5,391.5,391.5,415.0,415.0,415.0,415.0,415.0,415.0,415.0,248.60000000000002,190.0,190.0,190.0,190.0,415.0,415.0,415.0,415.0,415.0,415.0,415.0,415.0,415.0,415.0,415.0,415.0,147.40000000000003,147.40000000000003,147.40000000000003,147.40000000000003,147.40000000000003,147.40000000000003,147.40000000000003,147.40000000000003,147.40000000000003,147.40000000000003,147.40000000000003,147.40000000000003,338.0,338.0,338.0,475.0,475.0,475.0,475.0,475.0,475.0,475.0,475.0,475.0,475.0,268.0,268.0,268.0,268.0,268.0,268.0,268.0,268.0,272.9,272.9,272.9,272.9,190.0,190.0,190.0,190.0,190.0,190.0,178.0,178.0,190.0,190.0,178.0,178.0,178.0,178.0,296.0,296.0,296.0,296.0,272.9,272.9,296.0,296.0,296.0,296.0,475.0,475.0,475.0
2031,2005-12-31,663.0,663.0,402.4,402.4,402.4,462.0,462.0,462.0,462.0,462.0,462.0,462.0,198.39999999999998,179.60000000000002,179.60000000000002,179.60000000000002,179.60000000000002,462.0,462.0,462.0,462.0,462.0,462.0,462.0,462.0,462.0,462.0,462.0,462.0,129.40000000000003,129.40000000000003,129.40000000000003,129.40000000000003,129.40000000000003,129.40000000000003,129.40000000000003,129.40000000000003,129.40000000000003,129.40000000000003,129.40000000000003,129.40000000000003,663.0,663.0,663.0,315.0,315.0,315.0,315.0,315.0,315.0,315.0,315.0,315.0,315.0,606.0,606.0,606.0,606.0,606.0,606.0,606.0,606.0,223.2,223.2,223.2,223.2,277.0,277.0,277.0,277.0,277.0,277.0,235.0,235.0,277.0,277.0,235.0,235.0,235.0,235.0,356.0,356.0,356.0,356.0,223.2,223.2,356.0,356.0,356.0,356.0,315.0,315.0,315.0
2396,2006-12-31,723.0,723.0,426.2,426.2,426.2,361.0,361.0,361.0,361.0,361.0,361.0,361.0,205.99999999999997,251.00000000000003,251.00000000000003,251.00000000000003,251.00000000000003,361.0,361.0,361.0,361.0,361.0,361.0,361.0,361.0,361.0,361.0,361.0,361.0,172.50000000000006,172.50000000000006,172.50000000000006,172.50000000000006,172.50000000000006,172.50000000000006,172.50000000000006,172.50000000000006,172.50000000000006,172.50000000000006,172.50000000000006,172.50000000000006,723.0,723.0,723.0,246.0,246.0,246.0,246.0,246.0,246.0,246.0,246.0,246.0,246.0,331.0,331.0,331.0,331.0,331.0,331.0,331.0,331.0,178.79999999999998,178.79999999999998,178.79999999999998,178.79999999999998,223.0,223.0,223.0,223.0,223.0,223.0,172.0,172.0,223.0,223.0,172.0,172.0,172.0,172.0,312.0,312.0,312.0,312.0,178.79999999999998,178.79999999999998,312.0,312.0,312.0,312.0,246.0,246.0,246.0
2761,2007-12-31,489.0,489.0,450.3,450.3,450.3,314.0,314.0,314.0,314.0,314.0,314.0,314.0,148.49999999999997,394.20000000000005,394.20000000000005,394.20000000000005,394.20000000000005,314.0,314.0,314.0,314.0,314.0,314.0,314.0,314.0,314.0,314.0,314.0,314.0,188.10000000000008,188.10000000000008,188.10000000000008,188.10000000000008,188.10000000000008,188.10000000000008,188.10000000000008,188.10000000000008,188.10000000000008,188.10000000000008,188.10000000000008,188.10000000000008,489.0,489.0,489.0,159.0,159.0,159.0,159.0,159.0,159.0,159.0,159.0,159.0,159.0,1007.0,1007.0,1007.0,1007.0,1007.0,1007.0,1007.0,1007.0,308.09999999999997,308.09999999999997,308.09999999999997,308.09999999999997,179.0,179.0,179.0,179.0,179.0,179.0,190.0,190.0,179.0,179.0,190.0,190.0,190.0,190.0,408.0,408.0,408.0,408.0,308.09999999999997,308.09999999999997,408.0,408.0,408.0,408.0,159.0,159.0,159.0
3127,2008-12-31,474.1,474.1,935.2,935.2,935.2,410.0,410.0,410.0,410.0,410.0,410.0,410.0,244.09999999999997,253.5,253.5,253.5,253.5,410.0,410.0,410.0,410.0,410.0,410.0,410.0,410.0,410.0,410.0,410.0,410.0,240.40000000000006,240.40000000000006,240.40000000000006,240.40000000000006,240.40000000000006,240.40000000000006,240.40000000000006,240.40000000000006,240.40000000000006,240.40000000000006,240.40000000000006,240.40000000000006,474.1,474.1,474.1,311.0,311.0,311.0,311.0,311.0,311.0,311.0,311.0,311.0,311.0,392.0,392.0,392.0,392.0,392.0,392.0,392.0,392.0,240.69999999999996,240.69999999999996,240.69999999999996,240.69999999999996,339.0,339.0,339.0,339.0,339.0,339.0,271.0,271.0,339.0,339.0,271.0,271.0,271.0,271.0,344.0,344.0,344.0,344.0,240.69999999999996,240.69999999999996,344.0,344.0,344.0,344.0,311.0,311.0,311.0
3492,2009-12-31,401.7,401.7,504.4,504.4,504.4,392.0,392.0,392.0,392.0,392.0,392.0,392.0,255.29999999999995,222.60000000000002,222.60000000000002,222.60000000000002,222.60000000000002,392.0,392.0,392.0,392.0,392.0,392.0,392.0,392.0,392.0,392.0,392.0,392.0,126.30000000000007,126.30000000000007,126.30000000000007,126.30000000000007,126.30000000000007,126.30000000000007,126.30000000000007,126.30000000000007,126.30000000000007,126.30000000000007,126.30000000000007,126.30000000000007,401.7,401.7,401.7,422.0,422.0,422.0,422.0,422.0,422.0,422.0,422.0,422.0,422.0,427.0,427.0,427.0,427.0,427.0,427.0,427.0,427.0,235.59999999999997,235.59999999999997,235.59999999999997,235.59999999999997,221.0,221.0,221.0,221.0,221.0,221.0,164.0,164.0,221.0,221.0,164.0,164.0,164.0,164.0,295.0,295.0,295.0,295.0,235.59999999999997,235.59999999999997,295.0,295.0,295.0,295.0,422.0,422.0,422.0
