centroid_0,centroid_1,centroid_2,centroid_3,centroid_4,centroid_5,centroid_6,centroid_7,centroid_8,centroid_9,centroid_10,centroid_11,centroid_12,centroid_13,centroid_14,centroid_15,centroid_16,centroid_17,centroid_18,centroid_19,centroid_20,centroid_21,centroid_22,centroid_23,centroid_24,centroid_25,centroid_26,centroid_27,centroid_28,centroid_29,centroid_30,centroid_31,centroid_32,centroid_33,centroid_34,centroid_35,centroid_36,centroid_37,centroid_38,centroid_39,centroid_40,centroid_41,centroid_42,centroid_43,centroid_44,centroid_45,centroid_46,centroid_47,centroid_48,centroid_49,centroid_50,centroid_51,centroid_52,centroid_53,centroid_54,centroid_55,centroid_56,centroid_57,centroid_58,centroid_59,centroid_60,centroid_61,centroid_62,centroid_63,centroid_64,centroid_65,centroid_66,centroid_67,centroid_68,centroid_69,centroid_70,centroid_71,centroid_72,centroid_73,centroid_74,centroid_75,centroid_76,centroid_77,centroid_78,centroid_79,centroid_80,centroid_81,centroid_82,centroid_83,centroid_84,centroid_85,centroid_86,centroid_87,centroid_88,centroid_89,centroid_90,centroid_91,centroid_92
152.55018156586584,152.55018156586584,161.2330611163504,161.2330611163504,161.2330611163504,139.88421617209175,139.88421617209175,139.88421617209175,139.88421617209175,139.88421617209175,139.88421617209175,139.88421617209175,119.83061499265287,113.38142671767024,113.38142671767024,113.38142671767024,113.38142671767024,139.88421617209175,139.88421617209175,139.88421617209175,139.88421617209175,139.88421617209175,139.88421617209175,139.88421617209175,139.88421617209175,139.88421617209175,139.88421617209175,139.88421617209175,139.88421617209175,86.57760935483249,86.57760935483249,86.57760935483249,86.57760935483249,86.57760935483249,86.57760935483249,86.57760935483249,86.57760935483249,86.57760935483249,86.57760935483249,86.57760935483249,86.57760935483249,152.55018156586584,152.55018156586584,152.55018156586584,134.87950331207244,134.87950331207244,134.87950331207244,134.87950331207244,134.87950331207244,134.87950331207244,134.87950331207244,134.87950331207244,134.87950331207244,134.87950331207244,156.50911565884184,156.50911565884184,156.50911565884184,156.50911565884184,156.50911565884184,156.50911565884184,156.50911565884184,156.50911565884184,134.94491390092972,134.94491390092972,134.94491390092972,134.94491390092972,125.71546121218915,125.71546121218915,125.71546121218915,125.71546121218915,125.71546121218915,125.71546121218915,120.54497695801949,120.54497695801949,125.71546121218915,125.71546121218915,120.54497695801949,120.54497695801949,120.54497695801949,120.54497695801949,133.1179945447852,133.1179945447852,133.1179945447852,133.1179945447852,134.94491390092972,134.94491390092972,133.1179945447852,133.1179945447852,133.1179945447852,133.1179945447852,134.87950331207244,134.87950331207244,134.87950331207244
194.4354705038499,194.4354705038499,222.46476271724055,222.46476271724055,222.46476271724055,181.6332507441109,181.6332507441109,181.6332507441109,181.6332507441109,181.6332507441109,181.6332507441109,181.6332507441109,152.65392212772642,141.6502185210892,141.6502185210892,141.6502185210892,141.6502185210892,181.6332507441109,181.6332507441109,181.6332507441109,181.6332507441109,181.6332507441109,181.6332507441109,181.6332507441109,181.6332507441109,181.6332507441109,181.6332507441109,181.6332507441109,181.6332507441109,104.32387152945718,104.32387152945718,104.32387152945718,104.32387152945718,104.32387152945718,104.32387152945718,104.32387152945718,104.32387152945718,104.32387152945718,104.32387152945718,104.32387152945718,104.32387152945718,194.4354705038499,194.4354705038499,194.4354705038499,182.32640572859006,182.32640572859006,182.32640572859006,182.32640572859006,182.32640572859006,182.32640572859006,182.32640572859006,182.32640572859006,182.32640572859006,182.32640572859006,200.6742467724762,200.6742467724762,200.6742467724762,200.6742467724762,200.6742467724762,200.6742467724762,200.6742467724762,200.6742467724762,170.71923876830965,170.71923876830965,170.71923876830965,170.71923876830965,168.79325931793636,168.79325931793636,168.79325931793636,168.79325931793636,168.79325931793636,168.79325931793636,160.8380588608933,160.8380588608933,168.79325931793636,168.79325931793636,160.8380588608933,160.8380588608933,160.8380588608933,160.8380588608933,156.99407458668352,156.99407458668352,156.99407458668352,156.99407458668352,170.71923876830965,170.71923876830965,156.99407458668352,156.99407458668352,156.99407458668352,156.99407458668352,182.32640572859006,182.32640572859006,182.32640572859006
222.16717634004203,222.16717634004203,263.00547712318746,263.00547712318746,263.00547712318746,209.27474433415068,209.27474433415068,209.27474433415068,209.27474433415068,209.27474433415068,209.27474433415068,209.27474433415068,174.38580750133738,160.3666184436894,160.3666184436894,160.3666184436894,160.3666184436894,209.27474433415068,209.27474433415068,209.27474433415068,209.27474433415068,209.27474433415068,209.27474433415068,209.27474433415068,209.27474433415068,209.27474433415068,209.27474433415068,209.27474433415068,209.27474433415068,116.07344124228153,116.07344124228153,116.07344124228153,116.07344124228153,116.07344124228153,116.07344124228153,116.07344124228153,116.07344124228153,116.07344124228153,116.07344124228153,116.07344124228153,116.07344124228153,222.16717634004203,222.16717634004203,222.16717634004203,213.74038361952802,213.74038361952802,213.74038361952802,213.74038361952802,213.74038361952802,213.74038361952802,213.74038361952802,213.74038361952802,213.74038361952802,213.74038361952802,229.91540650456216,229.91540650456216,229.91540650456216,229.91540650456216,229.91540650456216,229.91540650456216,229.91540650456216,229.91540650456216,194.40495465723296,194.40495465723296,194.40495465723296,194.40495465723296,197.3145099868342,197.3145099868342,197.3145099868342,197.3145099868342,197.3145099868342,197.3145099868342,187.51558509733695,187.51558509733695,197.3145099868342,197.3145099868342,187.51558509733695,187.51558509733695,187.51558509733695,187.51558509733695,172.80211710069486,172.80211710069486,172.80211710069486,172.80211710069486,194.40495465723296,194.40495465723296,172.80211710069486,172.80211710069486,172.80211710069486,172.80211710069486,213.74038361952802,213.74038361952802,213.74038361952802
248.76809437612746,248.76809437612746,301.8931037050877,301.8931037050877,301.8931037050877,235.7891286178617,235.7891286178617,235.7891286178617,235.7891286178617,235.7891286178617,235.7891286178617,235.7891286178617,195.23155370273327,178.31983860304643,178.31983860304643,178.31983860304643,178.31983860304643,235.7891286178617,235.7891286178617,235.7891286178617,235.7891286178617,235.7891286178617,235.7891286178617,235.7891286178617,235.7891286178617,235.7891286178617,235.7891286178617,235.7891286178617,235.7891286178617,127.34391060093927,127.34391060093927,127.34391060093927,127.34391060093927,127.34391060093927,127.34391060093927,127.34391060093927,127.34391060093927,127.34391060093927,127.34391060093927,127.34391060093927,127.34391060093927,248.76809437612746,248.76809437612746,248.76809437612746,243.87342541653362,243.87342541653362,243.87342541653362,243.87342541653362,243.87342541653362,243.87342541653362,243.87342541653362,243.87342541653362,243.87342541653362,243.87342541653362,257.9642289573863,257.9642289573863,257.9642289573863,257.9642289573863,257.9642289573863,257.9642289573863,257.9642289573863,257.9642289573863,217.12486199755148,217.12486199755148,217.12486199755148,217.12486199755148,224.6727783822765,224.6727783822765,224.6727783822765,224.6727783822765,224.6727783822765,224.6727783822765,213.10530875202147,213.10530875202147,224.6727783822765,224.6727783822765,213.10530875202147,213.10530875202147,213.10530875202147,213.10530875202147,187.965571008293,187.965571008293,187.965571008293,187.965571008293,217.12486199755148,217.12486199755148,187.965571008293,187.965571008293,187.965571008293,187.965571008293,243.87342541653362,243.87342541653362,243.87342541653362
257.2062601793977,257.2062601793977,314.2287772464517,314.2287772464517,314.2287772464517,244.19984476134488,244.19984476134488,244.19984476134488,244.19984476134488,244.19984476134488,244.19984476134488,244.19984476134488,201.8441022810061,184.01483936210906,184.01483936210906,184.01483936210906,184.01483936210906,244.19984476134488,244.19984476134488,244.19984476134488,244.19984476134488,244.19984476134488,244.19984476134488,244.19984476134488,244.19984476134488,244.19984476134488,244.19984476134488,244.19984476134488,244.19984476134488,130.91905372194057,130.91905372194057,130.91905372194057,130.91905372194057,130.91905372194057,130.91905372194057,130.91905372194057,130.91905372194057,130.91905372194057,130.91905372194057,130.91905372194057,130.91905372194057,257.2062601793977,257.2062601793977,257.2062601793977,253.43202796156902,253.43202796156902,253.43202796156902,253.43202796156902,253.43202796156902,253.43202796156902,253.43202796156902,253.43202796156902,253.43202796156902,253.43202796156902,266.86168934286434,266.86168934286434,266.86168934286434,266.86168934286434,266.86168934286434,266.86168934286434,266.86168934286434,266.86168934286434,224.33191947250305,224.33191947250305,224.33191947250305,224.33191947250305,233.35118581535627,233.35118581535627,233.35118581535627,233.35118581535627,233.35118581535627,233.35118581535627,221.22271021783456,221.22271021783456,233.35118581535627,233.35118581535627,221.22271021783456,221.22271021783456,221.22271021783456,221.22271021783456,192.77562072345648,192.77562072345648,192.77562072345648,192.77562072345648,224.33191947250305,224.33191947250305,192.77562072345648,192.77562072345648,192.77562072345648,192.77562072345648,253.43202796156902,253.43202796156902,253.43202796156902
283.20025420550087,283.20025420550087,352.2291474475097,352.2291474475097,352.2291474475097,270.10927938091834,270.10927938091834,270.10927938091834,270.10927938091834,270.10927938091834,270.10927938091834,270.10927938091834,222.2142339243457,201.5584405618336,201.5584405618336,201.5584405618336,201.5584405618336,270.10927938091834,270.10927938091834,270.10927938091834,270.10927938091834,270.10927938091834,270.10927938091834,270.10927938091834,270.10927938091834,270.10927938091834,270.10927938091834,270.10927938091834,270.10927938091834,141.93237712615195,141.93237712615195,141.93237712615195,141.93237712615195,141.93237712615195,141.93237712615195,141.93237712615195,141.93237712615195,141.93237712615195,141.93237712615195,141.93237712615195,141.93237712615195,283.20025420550087,283.20025420550087,283.20025420550087,282.877557149589,282.877557149589,282.877557149589,282.877557149589,282.877557149589,282.877557149589,282.877557149589,282.877557149589,282.877557149589,282.877557149589,294.27055253656613,294.27055253656613,294.27055253656613,294.27055253656613,294.27055253656613,294.27055253656613,294.27055253656613,294.27055253656613,246.53345157288794,246.53345157288794,246.53345157288794,246.53345157288794,260.08525056721726,260.08525056721726,260.08525056721726,260.08525056721726,260.08525056721726,260.08525056721726,246.2285811771432,246.2285811771432,260.08525056721726,260.08525056721726,246.2285811771432,246.2285811771432,246.2285811771432,246.2285811771432,207.59310671226717,207.59310671226717,207.59310671226717,207.59310671226717,246.53345157288794,246.53345157288794,207.59310671226717,207.59310671226717,207.59310671226717,207.59310671226717,282.877557149589,282.877557149589,282.877557149589
309.0023126600146,309.0023126600146,389.9489288799533,389.9489288799533,389.9489288799533,295.8274028022867,295.8274028022867,295.8274028022867,295.8274028022867,295.8274028022867,295.8274028022867,295.8274028022867,242.43395571314767,218.97250256413326,218.97250256413326,218.97250256413326,218.97250256413326,295.8274028022867,295.8274028022867,295.8274028022867,295.8274028022867,295.8274028022867,295.8274028022867,295.8274028022867,295.8274028022867,295.8274028022867,295.8274028022867,295.8274028022867,295.8274028022867,152.86437987911728,152.86437987911728,152.86437987911728,152.86437987911728,152.86437987911728,152.86437987911728,152.86437987911728,152.86437987911728,152.86437987911728,152.86437987911728,152.86437987911728,152.86437987911728,309.0023126600146,309.0023126600146,309.0023126600146,312.10566517217427,312.10566517217427,312.10566517217427,312.10566517217427,312.10566517217427,312.10566517217427,312.10566517217427,312.10566517217427,312.10566517217427,312.10566517217427,321.477032986838,321.477032986838,321.477032986838,321.477032986838,321.477032986838,321.477032986838,321.477032986838,321.477032986838,268.5710510452368,268.5710510452368,268.5710510452368,268.5710510452368,286.62191518141924,286.62191518141924,286.62191518141924,286.62191518141924,286.62191518141924,286.62191518141924,271.0498127104811,271.0498127104811,286.62191518141924,286.62191518141924,271.0498127104811,271.0498127104811,271.0498127104811,271.0498127104811,222.30118271044978,222.30118271044978,222.30118271044978,222.30118271044978,268.5710510452368,268.5710510452368,222.30118271044978,222.30118271044978,222.30118271044978,222.30118271044978,312.10566517217427,312.10566517217427,312.10566517217427
