Tahun,centroid_0,centroid_1,centroid_2,centroid_3,centroid_4,centroid_5,centroid_6,centroid_7,centroid_8,centroid_9,centroid_10,centroid_11,centroid_12,centroid_13,centroid_14,centroid_15,centroid_16,centroid_17,centroid_18,centroid_19,centroid_20,centroid_21,centroid_22,centroid_23,centroid_24,centroid_25,centroid_26,centroid_27,centroid_28,centroid_29,centroid_30,centroid_31,centroid_32,centroid_33,centroid_34,centroid_35,centroid_36,centroid_37,centroid_38,centroid_39,centroid_40,centroid_41,centroid_42,centroid_43,centroid_44,centroid_45,centroid_46,centroid_47,centroid_48,centroid_49,centroid_50,centroid_51,centroid_52,centroid_53,centroid_54,centroid_55,centroid_56,centroid_57,centroid_58,centroid_59,centroid_60,centroid_61,centroid_62,centroid_63,centroid_64,centroid_65,centroid_66,centroid_67,centroid_68,centroid_69,centroid_70,centroid_71,centroid_72,centroid_73,centroid_74,centroid_75,centroid_76,centroid_77,centroid_78,centroid_79,centroid_80,centroid_81,centroid_82,centroid_83,centroid_84,centroid_85,centroid_86,centroid_87,centroid_88,centroid_89,centroid_90,centroid_91,centroid_92
2,259.2992187,259.2992187,181.4013758,181.4013758,181.4013758,169.7857502,169.7857502,169.7857502,169.7857502,169.7857502,169.7857502,169.7857502,115.3580921,121.5424995,121.5424995,121.5424995,121.5424995,169.7857502,169.7857502,169.7857502,169.7857502,169.7857502,169.7857502,169.7857502,169.7857502,169.7857502,169.7857502,169.7857502,169.7857502,89.67770257,89.67770257,89.67770257,89.67770257,89.67770257,89.67770257,89.67770257,89.67770257,89.67770257,89.67770257,89.67770257,89.67770257,259.2992187,259.2992187,259.2992187,162.3943125,162.3943125,162.3943125,162.3943125,162.3943125,162.3943125,162.3943125,162.3943125,162.3943125,162.3943125,230.9621274,230.9621274,230.9621274,230.9621274,230.9621274,230.9621274,230.9621274,230.9621274,83.01791235,83.01791235,83.01791235,83.01791235,120.0263923,120.0263923,120.0263923,120.0263923,120.0263923,120.0263923,117.2205572,117.2205572,120.0263923,120.0263923,117.2205572,117.2205572,117.2205572,117.2205572,157.2895875,157.2895875,157.2895875,157.2895875,83.01791235,83.01791235,157.2895875,157.2895875,157.2895875,157.2895875,162.3943125,162.3943125,162.3943125
5,322.1759269,322.1759269,233.4647581,233.4647581,233.4647581,200.1755179,200.1755179,200.1755179,200.1755179,200.1755179,200.1755179,200.1755179,146.3962706,153.5859745,153.5859745,153.5859745,153.5859745,200.1755179,200.1755179,200.1755179,200.1755179,200.1755179,200.1755179,200.1755179,200.1755179,200.1755179,200.1755179,200.1755179,200.1755179,108.072396,108.072396,108.072396,108.072396,108.072396,108.072396,108.072396,108.072396,108.072396,108.072396,108.072396,108.072396,322.1759269,322.1759269,322.1759269,240.6257738,240.6257738,240.6257738,240.6257738,240.6257738,240.6257738,240.6257738,240.6257738,240.6257738,240.6257738,312.0545353,312.0545353,312.0545353,312.0545353,312.0545353,312.0545353,312.0545353,312.0545353,146.3624163,146.3624163,146.3624163,146.3624163,162.2495247,162.2495247,162.2495247,162.2495247,162.2495247,162.2495247,157.4188455,157.4188455,162.2495247,162.2495247,157.4188455,157.4188455,157.4188455,157.4188455,197.6505797,197.6505797,197.6505797,197.6505797,146.3624163,146.3624163,197.6505797,197.6505797,197.6505797,197.6505797,240.6257738,240.6257738,240.6257738
10,363.8057788,363.8057788,267.9352474,267.9352474,267.9352474,220.2961885,220.2961885,220.2961885,220.2961885,220.2961885,220.2961885,220.2961885,166.9462454,174.8015432,174.8015432,174.8015432,174.8015432,220.2961885,220.2961885,220.2961885,220.2961885,220.2961885,220.2961885,220.2961885,220.2961885,220.2961885,220.2961885,220.2961885,220.2961885,120.2512836,120.2512836,120.2512836,120.2512836,120.2512836,120.2512836,120.2512836,120.2512836,120.2512836,120.2512836,120.2512836,120.2512836,363.8057788,363.8057788,363.8057788,292.4218083,292.4218083,292.4218083,292.4218083,292.4218083,292.4218083,292.4218083,292.4218083,292.4218083,292.4218083,365.7447655,365.7447655,365.7447655,365.7447655,365.7447655,365.7447655,365.7447655,365.7447655,188.3019897,188.3019897,188.3019897,188.3019897,190.2049123,190.2049123,190.2049123,190.2049123,190.2049123,190.2049123,184.0336101,184.0336101,190.2049123,190.2049123,184.0336101,184.0336101,184.0336101,184.0336101,224.3730684,224.3730684,224.3730684,224.3730684,188.3019897,188.3019897,224.3730684,224.3730684,224.3730684,224.3730684,292.4218083,292.4218083,292.4218083
20,403.7381322,403.7381322,301.0001682,301.0001682,301.0001682,239.5964187,239.5964187,239.5964187,239.5964187,239.5964187,239.5964187,239.5964187,186.6582747,195.1520261,195.1520261,195.1520261,195.1520261,239.5964187,239.5964187,239.5964187,239.5964187,239.5964187,239.5964187,239.5964187,239.5964187,239.5964187,239.5964187,239.5964187,239.5964187,131.933565,131.933565,131.933565,131.933565,131.933565,131.933565,131.933565,131.933565,131.933565,131.933565,131.933565,131.933565,403.7381322,403.7381322,403.7381322,342.1058081,342.1058081,342.1058081,342.1058081,342.1058081,342.1058081,342.1058081,342.1058081,342.1058081,342.1058081,417.2457233,417.2457233,417.2457233,417.2457233,417.2457233,417.2457233,417.2457233,417.2457233,228.5314354,228.5314354,228.5314354,228.5314354,217.0203912,217.0203912,217.0203912,217.0203912,217.0203912,217.0203912,209.5631314,209.5631314,217.0203912,217.0203912,209.5631314,209.5631314,209.5631314,209.5631314,250.0059212,250.0059212,250.0059212,250.0059212,228.5314354,228.5314354,250.0059212,250.0059212,250.0059212,250.0059212,342.1058081,342.1058081,342.1058081
25,416.405207,416.405207,311.4888019,311.4888019,311.4888019,245.718709,245.718709,245.718709,245.718709,245.718709,245.718709,245.718709,192.9111931,201.6074705,201.6074705,201.6074705,201.6074705,245.718709,245.718709,245.718709,245.718709,245.718709,245.718709,245.718709,245.718709,245.718709,245.718709,245.718709,245.718709,135.6393404,135.6393404,135.6393404,135.6393404,135.6393404,135.6393404,135.6393404,135.6393404,135.6393404,135.6393404,135.6393404,135.6393404,416.405207,416.405207,416.405207,357.8662351,357.8662351,357.8662351,357.8662351,357.8662351,357.8662351,357.8662351,357.8662351,357.8662351,357.8662351,433.5825136,433.5825136,433.5825136,433.5825136,433.5825136,433.5825136,433.5825136,433.5825136,241.2927519,241.2927519,241.2927519,241.2927519,225.5266186,225.5266186,225.5266186,225.5266186,225.5266186,225.5266186,217.6614358,217.6614358,225.5266186,225.5266186,217.6614358,217.6614358,217.6614358,217.6614358,258.1370038,258.1370038,258.1370038,258.1370038,241.2927519,241.2927519,258.1370038,258.1370038,258.1370038,258.1370038,357.8662351,357.8662351,357.8662351
50,455.4264676,455.4264676,343.7993167,343.7993167,343.7993167,264.5785871,264.5785871,264.5785871,264.5785871,264.5785871,264.5785871,264.5785871,212.1734746,221.4936387,221.4936387,221.4936387,221.4936387,264.5785871,264.5785871,264.5785871,264.5785871,264.5785871,264.5785871,264.5785871,264.5785871,264.5785871,264.5785871,264.5785871,264.5785871,147.0550799,147.0550799,147.0550799,147.0550799,147.0550799,147.0550799,147.0550799,147.0550799,147.0550799,147.0550799,147.0550799,147.0550799,455.4264676,455.4264676,455.4264676,406.4166495,406.4166495,406.4166495,406.4166495,406.4166495,406.4166495,406.4166495,406.4166495,406.4166495,406.4166495,483.9084305,483.9084305,483.9084305,483.9084305,483.9084305,483.9084305,483.9084305,483.9084305,280.6043264,280.6043264,280.6043264,280.6043264,251.7302782,251.7302782,251.7302782,251.7302782,251.7302782,251.7302782,242.6084779,242.6084779,251.7302782,251.7302782,242.6084779,242.6084779,242.6084779,242.6084779,283.1850198,283.1850198,283.1850198,283.1850198,280.6043264,280.6043264,283.1850198,283.1850198,283.1850198,283.1850198,406.4166495,406.4166495,406.4166495
100,494.1596014,494.1596014,375.8712557,375.8712557,375.8712557,283.2992068,283.2992068,283.2992068,283.2992068,283.2992068,283.2992068,283.2992068,231.2935264,241.2329705,241.2329705,241.2329705,241.2329705,283.2992068,283.2992068,283.2992068,283.2992068,283.2992068,283.2992068,283.2992068,283.2992068,283.2992068,283.2992068,283.2992068,283.2992068,158.3865275,158.3865275,158.3865275,158.3865275,158.3865275,158.3865275,158.3865275,158.3865275,158.3865275,158.3865275,158.3865275,158.3865275,494.1596014,494.1596014,494.1596014,454.6085753,454.6085753,454.6085753,454.6085753,454.6085753,454.6085753,454.6085753,454.6085753,454.6085753,454.6085753,533.8627486,533.8627486,533.8627486,533.8627486,533.8627486,533.8627486,533.8627486,533.8627486,319.6256304,319.6256304,319.6256304,319.6256304,277.740454,277.740454,277.740454,277.740454,277.740454,277.740454,267.3713149,267.3713149,277.740454,277.740454,267.3713149,267.3713149,267.3713149,267.3713149,308.0480853,308.0480853,308.0480853,308.0480853,319.6256304,319.6256304,308.0480853,308.0480853,308.0480853,308.0480853,454.6085753,454.6085753,454.6085753
