Tahun,centroid_0,centroid_1,centroid_2,centroid_3,centroid_4,centroid_5,centroid_6,centroid_7,centroid_8,centroid_9,centroid_10,centroid_11,centroid_12,centroid_13,centroid_14,centroid_15,centroid_16,centroid_17,centroid_18,centroid_19,centroid_20,centroid_21,centroid_22,centroid_23,centroid_24,centroid_25,centroid_26,centroid_27,centroid_28,centroid_29,centroid_30,centroid_31,centroid_32,centroid_33,centroid_34,centroid_35,centroid_36,centroid_37,centroid_38,centroid_39,centroid_40,centroid_41,centroid_42,centroid_43,centroid_44,centroid_45,centroid_46,centroid_47,centroid_48,centroid_49,centroid_50,centroid_51,centroid_52,centroid_53,centroid_54,centroid_55,centroid_56,centroid_57,centroid_58,centroid_59,centroid_60,centroid_61,centroid_62,centroid_63,centroid_64,centroid_65,centroid_66,centroid_67,centroid_68,centroid_69,centroid_70,centroid_71,centroid_72,centroid_73,centroid_74,centroid_75,centroid_76,centroid_77,centroid_78,centroid_79,centroid_80,centroid_81,centroid_82,centroid_83,centroid_84,centroid_85,centroid_86,centroid_87,centroid_88,centroid_89,centroid_90,centroid_91,centroid_92
2,345.1903355,345.1903355,269.5533706,269.5533706,269.5533706,242.2883304,242.2883304,242.2883304,242.2883304,242.2883304,242.2883304,242.2883304,155.1959684,165.7622547,165.7622547,165.7622547,165.7622547,242.2883304,242.2883304,242.2883304,242.2883304,242.2883304,242.2883304,242.2883304,242.2883304,242.2883304,242.2883304,242.2883304,242.2883304,128.1977593,128.1977593,128.1977593,128.1977593,128.1977593,128.1977593,128.1977593,128.1977593,128.1977593,128.1977593,128.1977593,128.1977593,345.1903355,345.1903355,345.1903355,250.5509653,250.5509653,250.5509653,250.5509653,250.5509653,250.5509653,250.5509653,250.5509653,250.5509653,250.5509653,337.871316,337.871316,337.871316,337.871316,337.871316,337.871316,337.871316,337.871316,126.3869143,126.3869143,126.3869143,126.3869143,166.1401205,166.1401205,166.1401205,166.1401205,166.1401205,166.1401205,168.8221167,168.8221167,166.1401205,166.1401205,168.8221167,168.8221167,168.8221167,168.8221167,218.904599,218.904599,218.904599,218.904599,126.3869143,126.3869143,218.904599,218.904599,218.904599,218.904599,250.5509653,250.5509653,250.5509653
5,424.2126395,424.2126395,353.9013174,353.9013174,353.9013174,290.4296852,290.4296852,290.4296852,290.4296852,290.4296852,290.4296852,290.4296852,196.3817371,210.2736381,210.2736381,210.2736381,210.2736381,290.4296852,290.4296852,290.4296852,290.4296852,290.4296852,290.4296852,290.4296852,290.4296852,290.4296852,290.4296852,290.4296852,290.4296852,159.6286919,159.6286919,159.6286919,159.6286919,159.6286919,159.6286919,159.6286919,159.6286919,159.6286919,159.6286919,159.6286919,159.6286919,424.2126395,424.2126395,424.2126395,353.727823,353.727823,353.727823,353.727823,353.727823,353.727823,353.727823,353.727823,353.727823,353.727823,453.4477347,453.4477347,453.4477347,453.4477347,453.4477347,453.4477347,453.4477347,453.4477347,219.9307866,219.9307866,219.9307866,219.9307866,232.524054,232.524054,232.524054,232.524054,232.524054,232.524054,225.3295964,225.3295964,232.524054,232.524054,225.3295964,225.3295964,225.3295964,225.3295964,265.9435281,265.9435281,265.9435281,265.9435281,219.9307866,219.9307866,265.9435281,265.9435281,265.9435281,265.9435281,353.727823,353.727823,353.727823
10,476.5322807,476.5322807,409.7469975,409.7469975,409.7469975,322.303451,322.303451,322.303451,322.303451,322.303451,322.303451,322.303451,223.6502996,239.744047,239.744047,239.744047,239.744047,322.303451,322.303451,322.303451,322.303451,322.303451,322.303451,322.303451,322.303451,322.303451,322.303451,322.303451,322.303451,180.4387042,180.4387042,180.4387042,180.4387042,180.4387042,180.4387042,180.4387042,180.4387042,180.4387042,180.4387042,180.4387042,180.4387042,476.5322807,476.5322807,476.5322807,422.0398804,422.0398804,422.0398804,422.0398804,422.0398804,422.0398804,422.0398804,422.0398804,422.0398804,422.0398804,529.9693805,529.9693805,529.9693805,529.9693805,529.9693805,529.9693805,529.9693805,529.9693805,281.8649697,281.8649697,281.8649697,281.8649697,276.4759943,276.4759943,276.4759943,276.4759943,276.4759943,276.4759943,262.7424649,262.7424649,276.4759943,276.4759943,262.7424649,262.7424649,262.7424649,262.7424649,297.0873921,297.0873921,297.0873921,297.0873921,281.8649697,281.8649697,297.0873921,297.0873921,297.0873921,297.0873921,422.0398804,422.0398804,422.0398804
20,526.7185367,526.7185367,463.3155147,463.3155147,463.3155147,352.8775325,352.8775325,352.8775325,352.8775325,352.8775325,352.8775325,352.8775325,249.8069595,268.0127707,268.0127707,268.0127707,268.0127707,352.8775325,352.8775325,352.8775325,352.8775325,352.8775325,352.8775325,352.8775325,352.8775325,352.8775325,352.8775325,352.8775325,352.8775325,200.4001675,200.4001675,200.4001675,200.4001675,200.4001675,200.4001675,200.4001675,200.4001675,200.4001675,200.4001675,200.4001675,200.4001675,526.7185367,526.7185367,526.7185367,487.5664461,487.5664461,487.5664461,487.5664461,487.5664461,487.5664461,487.5664461,487.5664461,487.5664461,487.5664461,603.3707804,603.3707804,603.3707804,603.3707804,603.3707804,603.3707804,603.3707804,603.3707804,341.273725,341.273725,341.273725,341.273725,318.6357506,318.6357506,318.6357506,318.6357506,318.6357506,318.6357506,298.6297865,298.6297865,318.6357506,318.6357506,298.6297865,298.6297865,298.6297865,298.6297865,326.9613342,326.9613342,326.9613342,326.9613342,341.273725,341.273725,326.9613342,326.9613342,326.9613342,326.9613342,487.5664461,487.5664461,487.5664461
25,542.6382861,542.6382861,480.3081625,480.3081625,480.3081625,362.5760387,362.5760387,362.5760387,362.5760387,362.5760387,362.5760387,362.5760387,258.1042007,276.9799867,276.9799867,276.9799867,276.9799867,362.5760387,362.5760387,362.5760387,362.5760387,362.5760387,362.5760387,362.5760387,362.5760387,362.5760387,362.5760387,362.5760387,362.5760387,206.7322098,206.7322098,206.7322098,206.7322098,206.7322098,206.7322098,206.7322098,206.7322098,206.7322098,206.7322098,206.7322098,206.7322098,542.6382861,542.6382861,542.6382861,508.3523462,508.3523462,508.3523462,508.3523462,508.3523462,508.3523462,508.3523462,508.3523462,508.3523462,508.3523462,626.6546829,626.6546829,626.6546829,626.6546829,626.6546829,626.6546829,626.6546829,626.6546829,360.1189741,360.1189741,360.1189741,360.1189741,332.0093873,332.0093873,332.0093873,332.0093873,332.0093873,332.0093873,310.0137233,310.0137233,332.0093873,332.0093873,310.0137233,310.0137233,310.0137233,310.0137233,336.4377469,336.4377469,336.4377469,336.4377469,360.1189741,360.1189741,336.4377469,336.4377469,336.4377469,336.4377469,508.3523462,508.3523462,508.3523462
50,591.6794972,591.6794972,532.6544655,532.6544655,532.6544655,392.4525447,392.4525447,392.4525447,392.4525447,392.4525447,392.4525447,392.4525447,283.6640728,304.6037339,304.6037339,304.6037339,304.6037339,392.4525447,392.4525447,392.4525447,392.4525447,392.4525447,392.4525447,392.4525447,392.4525447,392.4525447,392.4525447,392.4525447,392.4525447,226.2382343,226.2382343,226.2382343,226.2382343,226.2382343,226.2382343,226.2382343,226.2382343,226.2382343,226.2382343,226.2382343,226.2382343,591.6794972,591.6794972,591.6794972,572.3838639,572.3838639,572.3838639,572.3838639,572.3838639,572.3838639,572.3838639,572.3838639,572.3838639,572.3838639,698.3813634,698.3813634,698.3813634,698.3813634,698.3813634,698.3813634,698.3813634,698.3813634,418.172265,418.172265,418.172265,418.172265,373.2072306,373.2072306,373.2072306,373.2072306,373.2072306,373.2072306,345.0822433,345.0822433,373.2072306,373.2072306,345.0822433,345.0822433,345.0822433,345.0822433,365.630088,365.630088,365.630088,365.630088,418.172265,418.172265,365.630088,365.630088,365.630088,365.630088,572.3838639,572.3838639,572.3838639
100,640.3585958,640.3585958,584.6142516,584.6142516,584.6142516,422.1084474,422.1084474,422.1084474,422.1084474,422.1084474,422.1084474,422.1084474,309.0352147,332.0235118,332.0235118,332.0235118,332.0235118,422.1084474,422.1084474,422.1084474,422.1084474,422.1084474,422.1084474,422.1084474,422.1084474,422.1084474,422.1084474,422.1084474,422.1084474,245.6002295,245.6002295,245.6002295,245.6002295,245.6002295,245.6002295,245.6002295,245.6002295,245.6002295,245.6002295,245.6002295,245.6002295,640.3585958,640.3585958,640.3585958,635.942583,635.942583,635.942583,635.942583,635.942583,635.942583,635.942583,635.942583,635.942583,635.942583,769.5784253,769.5784253,769.5784253,769.5784253,769.5784253,769.5784253,769.5784253,769.5784253,475.7968994,475.7968994,475.7968994,475.7968994,414.1008755,414.1008755,414.1008755,414.1008755,414.1008755,414.1008755,379.8918227,379.8918227,414.1008755,414.1008755,379.8918227,379.8918227,379.8918227,379.8918227,394.6068775,394.6068775,394.6068775,394.6068775,475.7968994,475.7968994,394.6068775,394.6068775,394.6068775,394.6068775,635.942583,635.942583,635.942583
